ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	16-1-1-1	7311315783375890	Archi	arch1244	the world	WORLD	965		dunil	dunil 
2	16-1-21-1	731131565348173	Archi	arch1244	the land	LAND	626		naq'ʷ	naq'ʷ 
3	16-1-212-1	7311315542037029	Archi	arch1244	the soil	EARTH (SOIL)	1228		naqʼʷ	naqʼʷ 
4	16-1-213-1	7311315770678842	Archi	arch1244	the dust	DUST	2		gun	gun 
5	16-1-214-1	7311315740126641	Archi	arch1244	the mud	MUD	640		oˤbo	oˤbo 
6	16-1-215-1	7311315585815674	Archi	arch1244	the sand	SAND	671		sarsi	sarsi 
7	16-1-22-1	7311315990366404	Archi	arch1244	the mountain or hill	MOUNTAIN OR HILL	2118		mul	mul 
8	16-1-222-1	7311315156027274	Archi	arch1244	the cliff or precipice	PRECIPICE	618		metːe	metːe 
9	16-1-23-1	7311315164267213	Archi	arch1244	the plain	PLAIN	652		q’akul	q’akul 
10	16-1-24-1	7311315164267213	Archi	arch1244	the valley	VALLEY	921		q’akul	q’akul 
11	16-1-28-1	7311315359793332	Archi	arch1244	the cave	CAVE	1155		noχ	noχ 
12	16-1-31-1	731131560302177	Archi	arch1244	the water	WATER	948		ɬːan	ɬːan 
13	16-1-32-1	7311315988257025	Archi	arch1244	the sea	SEA	1474		ɬat	ɬat 
14	16-1-322-1	7311315852430640	Archi	arch1244	calm	CALM	258		oɬːutːut	oɬːutːut 
15	16-1-323-1	7311315696495833	Archi	arch1244	rough(2)	ROUGH (OF SEA)	259		χːiriχ e<b>tːit:ub	χːiriχ e<b>tːit:ub 
16	16-1-324-1	7311315163824255	Archi	arch1244	the foam	FOAM	1768		moɬ	moɬ 
17	16-1-33-1	7311315139664261	Archi	arch1244	the lake	LAKE	624		baˤri	baˤri 
18	16-1-35-1	7311315438515014	Archi	arch1244	the wave	WAVE	978		šːʷaˤltʼ	šːʷaˤltʼ 
19	16-1-36-1	731131525884004	Archi	arch1244	the river or stream	RIVER	666		haˤtəra	haˤtəra 
20	16-1-362-1	7311315308125678	Archi	arch1244	the whirlpool	WHIRLPOOL	1982		bikɬʷ	bikɬʷ 
21	16-1-37-1	731131518922350	Archi	arch1244	the spring or well	SPRING OR WELL	2144		zulu	zulu 
22	16-1-38-1	7311315701684347	Archi	arch1244	the swamp	SWAMP	1145		ɬamc'a	ɬamc'a 
23	16-1-39-1	7311315285031847	Archi	arch1244	the waterfall	WATERFALL	943		ɬːan čaχːˤartːut mačʼ	ɬːan čaχːˤartːut mačʼ 
24	16-1-41-1	7311315303312908	Archi	arch1244	the woods or forest	FOREST	420		χːʷak	χːʷak 
25	16-1-43-1	7311315545228463	Archi	arch1244	the wood	WOOD	1803		cʼaħan	cʼaħan 
26	16-1-44-1	7311315726526669	Archi	arch1244	the stone or rock	STONE OR ROCK	2125		qʷˤen	qʷˤen 
27	16-1-45-1	7311315626014628	Archi	arch1244	the earthquake	EARTHQUAKE	6		dunil χiriχkumul	dunil χiriχkumul 
28	16-1-51-1	7311315783375890	Archi	arch1244	the sky	SKY	1732		dunil	dunil 
29	16-1-52-1	7311315517581135	Archi	arch1244	the sun	SUN	1343		barq	barq 
30	16-1-53-1	7311315748993004	Archi	arch1244	the moon	MOON	1313		bac	bac 
31	16-1-54-1	7311315649329691	Archi	arch1244	the star	STAR	1430		χːˤološqˤan	χːˤološqˤan 
32	16-1-55-1	7311315740471938	Archi	arch1244	the lightning	LIGHTNING	1654		parəla	parəla 
33	16-1-56-1	7311315994247388	Archi	arch1244	the thunder	THUNDER	1150		qut'i	qut'i 
