ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	15-1-1-1	7591835918096643	Bezhta	bezh1248	the world	WORLD	965		dunnal	dunnal 
2	15-1-21-1	7591835758838929	Bezhta	bezh1248	the land	LAND	626		raƛ’	raƛ’ 
3	15-1-21-2	7591835674925352	Bezhta	bezh1248	the land	LAND	626		ulka	ulka 
4	15-1-212-1	7591835812730684	Bezhta	bezh1248	the soil	EARTH (SOIL)	1228		mizo	mizo 
5	15-1-212-2	7591835331257894	Bezhta	bezh1248	the soil	EARTH (SOIL)	1228		mäče	mäče 
6	15-1-213-1	7591835466477468	Bezhta	bezh1248	the dust	DUST	2		pax	pax 
7	15-1-213-2	91281518386136654	Bezhta	bezh1248	the dust	DUST	2		got’	got’ 
8	15-1-214-1	7591835432133807	Bezhta	bezh1248	the mud	MUD	640		tato	tato 
9	15-1-215-1	7591835599827837	Bezhta	bezh1248	the sand	SAND	671		miso	miso 
10	15-1-22-1	7591835972347805	Bezhta	bezh1248	the mountain or hill	MOUNTAIN OR HILL	2118		mǟ	mǟ 
11	15-1-22-2	91281519893137967	Bezhta	bezh1248	the mountain or hill	MOUNTAIN OR HILL	2118		bizo	bizo 
12	15-1-222-1	7591835207246393	Bezhta	bezh1248	the cliff or precipice	PRECIPICE	618		šed	šed 
13	15-1-23-1	7591835801325939	Bezhta	bezh1248	the plain	PLAIN	652		ät’iraƛ’	ät’iraƛ’ 
14	15-1-23-2	91281519586427543	Bezhta	bezh1248	the plain	PLAIN	652		ät’iɬi	ät’iɬi 
15	15-1-23-3	91281521497001922	Bezhta	bezh1248	the plain	PLAIN	652		ɬäräʔɬi	ɬäräʔɬi 
16	15-1-24-1	7591835616519671	Bezhta	bezh1248	the valley	VALLEY	921		maydan	maydan 
17	15-1-24-2	91281523882824897	Bezhta	bezh1248	the valley	VALLEY	921		ko	ko 
18	15-1-25-1	7591835165899934	Bezhta	bezh1248	the island	ISLAND	622		č’ink’ilɬi	č’ink’ilɬi 
19	15-1-26-1	7591835167630671	Bezhta	bezh1248	the mainland	MAINLAND	166		kantinent	kantinent 
20	15-1-27-1	7591835357187762	Bezhta	bezh1248	the shore	SHORE	113		räʔäl	räʔäl 
21	15-1-27-2	91281524143131455	Bezhta	bezh1248	the shore	SHORE	113		cumri	cumri 
22	15-1-28-1	7591835319645743	Bezhta	bezh1248	the cave	CAVE	1155		onox	onox 
23	15-1-31-1	7591835929887547	Bezhta	bezh1248	the water	WATER	948		ɬi	ɬi 
24	15-1-32-1	7591835986821238	Bezhta	bezh1248	the sea	SEA	1474		raɬad	raɬad 
25	15-1-322-1	7591835914121461	Bezhta	bezh1248	calm	CALM	258		soyyā gäččo	soyyā gäččo 
26	15-1-323-1	7591835264800584	Bezhta	bezh1248	rough(2)	ROUGH (OF SEA)	259		halagab	halagab 
27	15-1-324-1	759183520098168	Bezhta	bezh1248	the foam	FOAM	1768		pöp	pöp 
28	15-1-329-1	7591835487987709	Bezhta	bezh1248	the ocean	OCEAN	645		akean	akean 
29	15-1-33-1	7591835757431703	Bezhta	bezh1248	the lake	LAKE	624		k’ā	k’ā 
30	15-1-35-1	7591835623834954	Bezhta	bezh1248	the wave	WAVE	978		soyya	soyya 
31	15-1-36-1	7591835762063009	Bezhta	bezh1248	the river or stream	RIVER	666		ẽxe	ẽxe 
32	15-1-36-2	9128177932185569	Bezhta	bezh1248	the river or stream	RIVER	666		xay	xay 
33	15-1-362-1	7591835129620242	Bezhta	bezh1248	the whirlpool	WHIRLPOOL	1982		ẽxe k’äyƛöčäš mäče	ẽxe k’äyƛöčäš mäče 
34	15-1-37-1	7591835359033168	Bezhta	bezh1248	the spring or well	SPRING OR WELL	2144		moh	moh 
35	15-1-38-1	7591835364800318	Bezhta	bezh1248	the swamp	SWAMP	1145		q’ica	q’ica 
36	15-1-39-1	7591835319944349	Bezhta	bezh1248	the waterfall	WATERFALL	943		ƛišiyo	ƛišiyo 
37	15-1-41-1	7591835538655128	Bezhta	bezh1248	the woods or forest	FOREST	420		wan	wan 
38	15-1-43-1	7591835564419453	Bezhta	bezh1248	the wood	WOOD	1803		häžä	häžä 
39	15-1-44-1	7591835972319311	Bezhta	bezh1248	the stone or rock	STONE OR ROCK	2125		ƛ’alo	ƛ’alo 
40	15-1-45-1	75918353391980	Bezhta	bezh1248	the earthquake	EARTHQUAKE	6		mäče laxƛōɬi	mäče laxƛōɬi 
41	15-1-51-1	7591835597889770	Bezhta	bezh1248	the sky	SKY	1732		has	has 
42	15-1-52-1	7591835431810219	Bezhta	bezh1248	the sun	SUN	1343		boq	boq 
43	15-1-53-1	7591835866613893	Bezhta	bezh1248	the moon	MOON	1313		boco	boco 
44	15-1-54-1	7591835354230037	Bezhta	bezh1248	the star	STAR	1430		cã (1)	cã (1) 
45	15-1-55-1	7591835767889678	Bezhta	bezh1248	the lightning	LIGHTNING	1654		kayƛoyo	kayƛoyo 
46	15-1-56-1	7591835371786884	Bezhta	bezh1248	the thunder	THUNDER	1150		hasa qäƛeyoɬi	hasa qäƛeyoɬi 
47	15-1-57-1	7591835767889678	Bezhta	bezh1248	the bolt of lightning	BOLT (OF LIGHTNING)	2007		kayƛoyo	kayƛoyo 
48	15-1-58-1	7591835372864217	Bezhta	bezh1248	the storm	STORM	858		yuk’o zaƛo	yuk’o zaƛo 
49	15-1-59-1	7591835267122986	Bezhta	bezh1248	the rainbow	RAINBOW	1733		mašola	mašola 
50	15-1-61-1	7591835692295944	Bezhta	bezh1248	the light	LIGHT (RADIATION)	630		kanɬi	kanɬi 
51	15-1-62-1	7591835346465876	Bezhta	bezh1248	the darkness	DARKNESS	11		koƛƛoɬi	koƛƛoɬi 
52	15-1-63-1	7591835962780850	Bezhta	bezh1248	the shade or shadow	SHADE	1388		hidoci	hidoci 
53	15-1-64-1	7591835610111411	Bezhta	bezh1248	the dew	DEW	1977		xida	xida 
54	15-1-71-1	7591835665828554	Bezhta	bezh1248	the air	AIR	27		hawa	hawa 
55	15-1-71-2	9128178147966728	Bezhta	bezh1248	the air	AIR	27		hayri	hayri 
56	15-1-72-1	7591835372131654	Bezhta	bezh1248	the wind	WIND	960		zaƛo	zaƛo 
57	15-1-73-1	7591835597889770	Bezhta	bezh1248	the cloud	CLOUD	1489		has	has 
58	15-1-74-1	7591835629084924	Bezhta	bezh1248	the fog	FOG	249		has-mus	has-mus 
59	15-1-75-1	7591835190890993	Bezhta	bezh1248	the rain	RAIN (PRECIPITATION)	658		wodo	wodo 
60	15-1-76-1	7591835898050285	Bezhta	bezh1248	the snow	SNOW	784		õz	õz 
61	15-1-77-1	759183544938828	Bezhta	bezh1248	the ice	ICE	617		bolo	bolo 
62	15-1-78-1	7591835875909416	Bezhta	bezh1248	the weather	WEATHER	952		wodo-boq	wodo-boq 
63	15-1-78-2	9128179287555478	Bezhta	bezh1248	the weather	WEATHER	952		hawa-baq	hawa-baq 
64	15-1-81-1	7591835127628738	Bezhta	bezh1248	the fire	FIRE	221		c’o	c’o 
65	15-1-82-1	7591835436136170	Bezhta	bezh1248	the flame	FLAME	889		c’oys mic	c’oys mic 
66	15-1-83-1	7591835617543071	Bezhta	bezh1248	the smoke	SMOKE (EXHAUST)	778		qo	qo 
67	15-1-83-2	91281518386136654	Bezhta	bezh1248	the smoke	SMOKE (EXHAUST)	778		got’	got’ 
68	15-1-84-1	759183533679958	Bezhta	bezh1248	the ash	ASH	646		tit	tit 
69	15-1-841-1	7591835929362541	Bezhta	bezh1248	the embers	EMBERS	67		ɣadri	ɣadri 
70	15-1-851-1	7591835427216276	Bezhta	bezh1248	to burn(1)	BURN (SOMETHING)	141		-ek’el-	-ek’el- 
71	15-1-852-1	759183569608141	Bezhta	bezh1248	to burn(2)	BURNING	1428		-ek’e-	-ek’e- 
72	15-1-86-1	759183514771990	Bezhta	bezh1248	to light	LIGHT (IGNITE)	737		ɬišel- (1)	ɬišel- (1) 
73	15-1-861-1	7591835580178013	Bezhta	bezh1248	to extinguish	EXTINGUISH	127		-edl-	-edl- 
74	15-1-87-1	7591835275462703	Bezhta	bezh1248	the match	MATCH	1133		picka	picka 
75	15-1-88-1	7591835346528985	Bezhta	bezh1248	the firewood	FIREWOOD	10		hudo	hudo 
76	15-1-89-1	7591835121484802	Bezhta	bezh1248	the charcoal	CHARCOAL	1188		hǟmö	hǟmö 
77	15-2-1-1	7591835956447283	Bezhta	bezh1248	the person	PERSON	683		suk’o	suk’o 
78	15-2-1-2	91281712131605260	Bezhta	bezh1248	the person	PERSON	683		ädäm	ädäm 
79	15-2-1-3	91281713845387503	Bezhta	bezh1248	the person	PERSON	683		insan	insan 
80	15-2-21-1	7591835838669581	Bezhta	bezh1248	the man	MAN	1554		abo	abo 
81	15-2-21-2	7591835956447283	Bezhta	bezh1248	the man	MAN	1554		suk’o	suk’o 
82	15-2-22-1	7591835303404958	Bezhta	bezh1248	the woman	WOMAN	962		iyo	iyo 
83	15-2-22-2	7591835641847848	Bezhta	bezh1248	the woman	WOMAN	962		aqo	aqo 
84	15-2-23-1	7591835836956857	Bezhta	bezh1248	male(1)	MALE (OF ANIMAL)	2263		aboddās	aboddās 
85	15-2-23-2	9128171690035457	Bezhta	bezh1248	male(1)	MALE (OF ANIMAL)	2263		bikinab	bikinab 
86	15-2-24-1	7591835379753810	Bezhta	bezh1248	female(1)	FEMALE (OF PERSON)	2260		iyoddās	iyoddās 
87	15-2-24-2	91281717179906213	Bezhta	bezh1248	female(1)	FEMALE (OF PERSON)	2260		c’uyab	c’uyab 
88	15-2-25-1	7591835978042890	Bezhta	bezh1248	the boy	BOY	1366		öžö	öžö 
89	15-2-251-1	7591835625308274	Bezhta	bezh1248	the young man	YOUNG MAN	76		ölöqän	ölöqän 
90	15-2-26-1	7591835173666977	Bezhta	bezh1248	the girl	GIRL	1646		kid	kid 
91	15-2-261-1	7591835173666977	Bezhta	bezh1248	the young woman	YOUNG WOMAN	77		kid	kid 
92	15-2-261-2	91281720601869828	Bezhta	bezh1248	the young woman	YOUNG WOMAN	77		aqo-qowa	aqo-qowa 
93	15-2-27-1	7591835251246320	Bezhta	bezh1248	the child(1)	CHILD (YOUNG HUMAN)	1304		q’owa	q’owa 
94	15-2-31-1	759183578296453	Bezhta	bezh1248	the husband	HUSBAND	1200		bet’erhan	bet’erhan 
95	15-2-31-2	91281721545853095	Bezhta	bezh1248	the husband	HUSBAND	1200		nuzo	nuzo 
96	15-2-32-1	7591835641847848	Bezhta	bezh1248	the wife	WIFE	1199		aqo	aqo 
97	15-2-33-1	7591835404810136	Bezhta	bezh1248	to marry	MARRY	203		aq’o y-ẽƛe-	aq’o y-ẽƛe- 
98	15-2-34-1	7591835694868014	Bezhta	bezh1248	the wedding	WEDDING	1259		beyten	beyten 
99	15-2-341-1	759183544426468	Bezhta	bezh1248	the divorce	DIVORCE	1134		atabākiyoɬi	atabākiyoɬi 
100	15-2-341-2	91281718977776559	Bezhta	bezh1248	the divorce	DIVORCE	1134		mahar kešeyoɬi	mahar kešeyoɬi 
101	15-2-35-1	7591835838669581	Bezhta	bezh1248	the father	FATHER	1217		abo	abo 
102	15-2-36-1	7591835303404958	Bezhta	bezh1248	the mother	MOTHER	1216		iyo	iyo 
103	15-2-37-1	7591835136159844	Bezhta	bezh1248	the parents	PARENTS	505		iyo-abo	iyo-abo 
104	15-2-38-1	7591835852761524	Bezhta	bezh1248	the married man	MARRIED MAN	424		aqo y-õq’o-yo	aqo y-õq’o-yo 
105	15-2-39-1	7591835122343538	Bezhta	bezh1248	the married woman	MARRIED WOMAN	426		aqo y-ẽƛe-yo	aqo y-ẽƛe-yo 
106	15-2-41-1	7591835978042890	Bezhta	bezh1248	the son	SON	1620		öžö	öžö 
107	15-2-42-1	7591835173666977	Bezhta	bezh1248	the daughter	DAUGHTER	1357		kid	kid 
108	15-3-662-1	7591835950887985	Bezhta	bezh1248	the porpoise or dolphin	DOLPHIN	1479		delfin	delfin 
109	15-2-43-1	7591835251246320	Bezhta	bezh1248	the child(2)	CHILD (DESCENDANT)	1801		q’owa	q’owa 
110	15-2-44-1	7591835404643565	Bezhta	bezh1248	the brother	BROTHER	1262		is	is 
111	15-2-444-1	7591835898062472	Bezhta	bezh1248	the older brother	OLDER BROTHER	1759		uq’o is	uq’o is 
112	15-2-445-1	7591835301513897	Bezhta	bezh1248	the younger brother	YOUNGER BROTHER	1760		it’ino is	it’ino is 
113	15-2-45-1	7591835737350995	Bezhta	bezh1248	the sister	SISTER	1263		isi	isi 
114	15-2-454-1	759183513818310	Bezhta	bezh1248	the older sister	OLDER SISTER	1758		yuq’o isi	yuq’o isi 
115	15-2-455-1	7591835332613858	Bezhta	bezh1248	the younger sister	YOUNGER SISTER	1761		it’ino isi	it’ino isi 
116	15-2-458-1	7591835804828896	Bezhta	bezh1248	the twins	TWINS	1005		q’unƛella	q’unƛella 
117	15-2-461-1	7591835920058757	Bezhta	bezh1248	the old man	OLD MAN	406		icilo	icilo 
118	15-2-471-1	7591835787073121	Bezhta	bezh1248	the old woman	OLD WOMAN	907		icilo iyo	icilo iyo 
119	15-2-51-1	7591835404643565	Bezhta	bezh1248	the uncle	UNCLE	1327		is	is 
120	15-2-52-1	7591835737350995	Bezhta	bezh1248	the aunt	AUNT	1272		isi	isi 
121	15-2-55-1	7591835411623514	Bezhta	bezh1248	the cousin	COUSIN	1643		waccal	waccal 
122	15-2-55-2	91281722955102213	Bezhta	bezh1248	the cousin	COUSIN	1643		yaccal	yaccal 
123	15-2-56-1	7591835656281686	Bezhta	bezh1248	the ancestors	ANCESTORS	1669		umumal	umumal 
124	15-2-57-1	7591835163425433	Bezhta	bezh1248	the descendants	DESCENDANTS	490		naslo	naslo 
125	15-2-61-1	75918353513747	Bezhta	bezh1248	the father-in-law (of a man)	FATHER-IN-LAW (OF MAN)	2255		uq’o abo	uq’o abo 
126	15-2-611-1	75918353513747	Bezhta	bezh1248	the father-in-law (of a woman)	FATHER-IN-LAW (OF WOMAN)	2254		uq’o abo	uq’o abo 
127	15-2-62-1	7591835456656830	Bezhta	bezh1248	the mother-in-law (of a man)	MOTHER-IN-LAW (OF WOMAN)	2256		y-uq’o iyo	y-uq’o iyo 
128	15-2-621-1	7591835590628450	Bezhta	bezh1248	the mother-in-law (of a woman)	MOTHER-IN-LAW (OF MAN)	2257		yuq’o iyo	yuq’o iyo 
129	15-2-63-1	7591835622949152	Bezhta	bezh1248	the son-in-law (of a man)	SON-IN-LAW (OF MAN)	2267		dursa	dursa 
