Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
á	á	káláktə́, wátə́	Kanuri	467	U+00e1
à	à	fàntə́, kàràùjí	Kanuri	445	U+00e0
^k	k	kə̀sâì, kə̀sáì	Kanuri	396	U+005e U+006b
t	t	fàntə́, ngótə́	Kanuri	387	U+0074
r	r	kə̀rámì, kùrúwù	Kanuri	340	U+0072
n	n	fàntə́, góngóng	Kanuri	304	U+006e
l	l	kə̀lî, máltə́	Kanuri	275	U+006c
g	g	ngótə́, ngə̀mtógóràm	Kanuri	261	U+0067
ə̀	ə̀	kə̀sâì, kə̀sáì	Kanuri	249	U+0259 U+0300
à$	à	tásà, gà	Kanuri	243	U+00e0 U+0024
m	m	kə̀rámì, nzə̀mbòràm	Kanuri	242	U+006d
ə́$	ə́	fàntə́, ngótə́	Kanuri	225	U+0259 U+0301 U+0024
ə́	ə́	fə́lə́tə́gə́, kə́rgə́n	Kanuri	203	U+0259 U+0301
d	d	tádà, cídíyà	Kanuri	195	U+0064
ú	ú	dúkúrkúr, kùwúì	Kanuri	187	U+00fa
^n	n	ngótə́, nzə̀mbòràm	Kanuri	163	U+005e U+006e
í	í	cídíyà, shíllà shítíbè	Kanuri	155	U+00ed
b	b	nzə̀mbòràm, lámbà mótàbè	Kanuri	153	U+0062
ù	ù	tùngùrùmtə́, gùdùgùdú	Kanuri	144	U+00f9
_	_	jóngò mààrá njîbè, mààrá njîbè	Kanuri	138	U+005f
k	k	kàká, nə̀kə̀lmə́skə̀	Kanuri	135	U+006b
ì	ì	ínjìn, yìntà	Kanuri	127	U+00ec
ì$	ì	kə̀sâì, kə̀sáì	Kanuri	126	U+00ec U+0024
ò$	ò	kùsótò, kàsò	Kanuri	122	U+00f2 U+0024
^b	b	báttà, bî	Kanuri	117	U+005e U+0062
ò	ò	nzə̀mbòràm, fátò ngúdòbè	Kanuri	110	U+00f2
ó	ó	ngótə́, cóncón	Kanuri	105	U+00f3
^t	t	tásà, tádà	Kanuri	101	U+005e U+0074
m$	m	nzə̀mbòràm, hówùm	Kanuri	100	U+006d U+0024
w	w	kùrúwù, báwànráwàngànà	Kanuri	95	U+0077
^d	d	dátə̀à, dìò	Kanuri	92	U+005e U+0064
^f	f	fàntə́, fê	Kanuri	87	U+005e U+0066
á$	á	kàká, gàná	Kanuri	86	U+00e1 U+0024
í$	í	cídí, kàjílí	Kanuri	86	U+00ed U+0024
^s	s	sâ, sàmî	Kanuri	85	U+005e U+0073
â	â	kə̀sâì, yâànà	Kanuri	78	U+00e2
s	s	kə̀sâì, kə̀sáì	Kanuri	74	U+0073
ù$	ù	kùrúwù, nə̀mjàù	Kanuri	73	U+00f9 U+0024
j	j	ínjìn, nə̀mjàù	Kanuri	72	U+006a
é	é	féfétò, férò	Kanuri	69	U+00e9
y	y	cídíyà, nyìyàtə́	Kanuri	69	U+0079
è$	è	mààrá njîbè, kùndúlì dímìbè	Kanuri	67	U+00e8 U+0024
^l	l	-làn, líwùlà	Kanuri	65	U+005e U+006c
^m	m	máltə́, mbàl	Kanuri	65	U+005e U+006d
^g	g	gà, gàná	Kanuri	59	U+005e U+0067
n$	n	ínjìn, -làn	Kanuri	55	U+006e U+0024
^c	c	cídíyà, cídí	Kanuri	55	U+005e U+0063
r$	r	mùsùwár, báhàr	Kanuri	54	U+0072 U+0024
