ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	5-1-1-1	73101856881480411	Kanuri	cent2050	the world	WORLD	965		dúnyâ	dúnyâ 
2	5-1-21-1	73101856945911387	Kanuri	cent2050	the land	LAND	626		cídí	cídí 
3	5-1-21-2	7310185695473116	Kanuri	cent2050	the land	LAND	626		lárdə̀	lárdə̀ 
4	5-1-212-1	73101856945911387	Kanuri	cent2050	the soil	EARTH (SOIL)	1228		cídí	cídí 
5	5-1-213-1	73101856774362872	Kanuri	cent2050	the dust	DUST	2		bə́rbə̀r	bə́rbə̀r 
6	5-1-214-1	73101856961386720	Kanuri	cent2050	the mud	MUD	640		tóló	tóló 
7	5-1-215-1	73101856744017773	Kanuri	cent2050	the sand	SAND	671		césà	césà 
8	5-1-215-2	73101856169673024	Kanuri	cent2050	the sand	SAND	671		kàttî	kàttî 
9	5-1-22-1	7310185687267415	Kanuri	cent2050	the mountain or hill	MOUNTAIN OR HILL	2118		kâu	kâu 
10	5-1-22-2	73101856813675580	Kanuri	cent2050	the mountain or hill	MOUNTAIN OR HILL	2118		kə̀rî	kə̀rî 
11	5-1-222-1	73101856128245144	Kanuri	cent2050	the cliff or precipice	PRECIPICE	618		jòró	jòró 
12	5-1-23-1	73101856378777718	Kanuri	cent2050	the plain	PLAIN	652		fárák	fárák 
13	5-1-23-2	73101856139239087	Kanuri	cent2050	the plain	PLAIN	652		fáyà	fáyà 
14	5-1-24-1	73101856998616994	Kanuri	cent2050	the valley	VALLEY	921		ngôr	ngôr 
15	5-1-25-1	73101856539982124	Kanuri	cent2050	the island	ISLAND	622		kə́rtá	kə́rtá 
16	5-1-25-2	73101856482956967	Kanuri	cent2050	the island	ISLAND	622		cúkú (1)	cúkú (1) 
17	5-1-27-1	7310185681443367	Kanuri	cent2050	the shore	SHORE	113		cî njîbè	cî njîbè 
18	5-1-27-2	73101856777140637	Kanuri	cent2050	the shore	SHORE	113		fòwòlí	fòwòlí 
19	5-1-28-1	73101856349662597	Kanuri	cent2050	the cave	CAVE	1155		ngòrə̂m	ngòrə̂m 
20	5-1-31-1	73101856877506116	Kanuri	cent2050	the water	WATER	948		njî	njî 
21	5-1-32-1	73101856244248080	Kanuri	cent2050	the sea	SEA	1474		báhàr	báhàr 
22	5-1-32-2	73101856262835774	Kanuri	cent2050	the sea	SEA	1474		njî kúrà	njî kúrà 
23	5-1-324-1	73101856659298409	Kanuri	cent2050	the foam	FOAM	1768		bílwù	bílwù 
24	5-1-329-1	73101856244248080	Kanuri	cent2050	the ocean	OCEAN	645		báhàr	báhàr 
25	5-1-329-2	73101856262835774	Kanuri	cent2050	the ocean	OCEAN	645		njî kúrà	njî kúrà 
26	5-1-33-1	73101856110439834	Kanuri	cent2050	the lake	LAKE	624		kùlúwù	kùlúwù 
27	5-1-35-1	73101856103913615	Kanuri	cent2050	the wave	WAVE	978		kàzáà njîbè	kàzáà njîbè 
28	5-1-36-1	73101856936961012	Kanuri	cent2050	the river or stream	RIVER	666		bə́rə̀m	bə́rə̀m 
29	5-1-36-2	73101856817104984	Kanuri	cent2050	the river or stream	RIVER	666		ngàdà	ngàdà 
30	5-1-36-3	7310185639589573	Kanuri	cent2050	the river or stream	RIVER	666		kə̀múdù	kə̀múdù 
31	5-1-362-1	73101856888917512	Kanuri	cent2050	the whirlpool	WHIRLPOOL	1982		shîm njîbè	shîm njîbè 
32	5-1-37-1	73101856820713573	Kanuri	cent2050	the spring or well	SPRING OR WELL	2144		báràm	báràm 
33	5-1-38-1	73101856465002244	Kanuri	cent2050	the swamp	SWAMP	1145		njìbòné	njìbòné 
34	5-1-41-1	73101856543452380	Kanuri	cent2050	the woods or forest	FOREST	420		kàráà sə́lə́m	kàráà sə́lə́m 
35	5-1-41-2	73101856909984903	Kanuri	cent2050	the woods or forest	FOREST	420		də̂r	də̂r 
36	5-1-43-1	7310185636419104	Kanuri	cent2050	the wood	WOOD	1803		kə̀ská	kə̀ská 
37	5-1-44-1	7310185687267415	Kanuri	cent2050	the stone or rock	STONE OR ROCK	2125		kâu	kâu 
38	5-1-45-1	73101856544582526	Kanuri	cent2050	the earthquake	EARTHQUAKE	6		cə́dí lólójì	cə́dí lólójì 
39	5-1-51-1	73101856113679342	Kanuri	cent2050	the sky	SKY	1732		sàmî	sàmî 
40	5-1-52-1	73101856565671824	Kanuri	cent2050	the sun	SUN	1343		kə́ngâl	kə́ngâl 
41	5-1-53-1	73101856274352138	Kanuri	cent2050	the moon	MOON	1313		kə́mbàl	kə́mbàl 
42	5-1-53-2	73101856518558133	Kanuri	cent2050	the moon	MOON	1313		kə̀ndáwù	kə̀ndáwù 
43	5-1-54-1	73101856906181991	Kanuri	cent2050	the star	STAR	1430		shílówù	shílówù 
44	5-1-55-1	73101856578932828	Kanuri	cent2050	the lightning	LIGHTNING	1654		rádə̀	rádə̀ 
45	5-1-56-1	73101856376003559	Kanuri	cent2050	the thunder	THUNDER	1150		kégə́rà ngə̀rjî	kégə́rà ngə̀rjî 
46	5-1-57-1	73101856578932828	Kanuri	cent2050	the bolt of lightning	BOLT (OF LIGHTNING)	2007		rádə̀	rádə̀ 
47	5-1-58-1	73101856558747014	Kanuri	cent2050	the storm	STORM	858		kàrwàcìmé	kàrwàcìmé 
48	5-1-59-1	73101856422851447	Kanuri	cent2050	the rainbow	RAINBOW	1733		kə̀mármà	kə̀mármà 
49	5-1-61-1	73101856471349784	Kanuri	cent2050	the light	LIGHT (RADIATION)	630		nûr	nûr 
50	5-1-61-2	73101856705544580	Kanuri	cent2050	the light	LIGHT (RADIATION)	630		kánnú	kánnú 
51	5-1-62-1	73101856384262586	Kanuri	cent2050	the darkness	DARKNESS	11		nə̀kə̀lmə́skə̀	nə̀kə̀lmə́skə̀ 
52	5-1-62-2	73101856528933562	Kanuri	cent2050	the darkness	DARKNESS	11		nə̀mcə́lə́m	nə̀mcə́lə́m 
53	5-1-63-1	73101856776171299	Kanuri	cent2050	the shade or shadow	SHADE	1388		kàùdí	kàùdí 
54	5-1-63-2	73101856349236224	Kanuri	cent2050	the shade or shadow	SHADE	1388		kàfíà	kàfíà 
55	5-1-64-1	73101856712908651	Kanuri	cent2050	the dew	DEW	1977		kùlóngù	kùlóngù 
56	5-1-71-1	73101856504437254	Kanuri	cent2050	the air	AIR	27		kàsâm	kàsâm 
57	5-1-72-1	73101856205223918	Kanuri	cent2050	the wind	WIND	960		kàrwâ	kàrwâ 
58	5-1-73-1	73101856180564727	Kanuri	cent2050	the cloud	CLOUD	1489		fówó	fówó 
59	5-1-74-1	73101856992395891	Kanuri	cent2050	the fog	FOG	249		bàntə̀gə̀né	bàntə̀gə̀né 
60	5-1-75-1	7310185652590414	Kanuri	cent2050	the rain	RAIN (PRECIPITATION)	658		də̀lágə̀	də̀lágə̀ 
61	5-1-75-2	73101856977247455	Kanuri	cent2050	the rain	RAIN (PRECIPITATION)	658		njî sámìbè	njî sámìbè 
62	5-1-76-1	73101856672306652	Kanuri	cent2050	the snow	SNOW	784		máfì	máfì 
