Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	blajar, saraŋ lway	Ceq Wong	482	U+0061
ʔ$	ʔ	bajuʔ, wəʔ	Ceq Wong	164	U+0294 U+0024
u	u	suduʔ, bajuʔ	Ceq Wong	142	U+0075
i	i	tiŋgiʔ, piŋan	Ceq Wong	141	U+0069
ə	ə	wəʔ, ləy	Ceq Wong	128	U+0259
^k	k	kəs, kuy	Ceq Wong	126	U+005e U+006b
ŋ$	ŋ	tarəŋ, daraŋ	Ceq Wong	111	U+014b U+0024
o	o	yow, pok	Ceq Wong	101	U+006f
t$	t	buat, bət	Ceq Wong	94	U+0074 U+0024
^b	b	buat, blajar	Ceq Wong	93	U+005e U+0062
_	_	cɨp baləy cɑn, saraŋ lway	Ceq Wong	92	U+005f
l	l	blajar, slaloʔ	Ceq Wong	91	U+006c
^t	t	tɑm, tɛʔ	Ceq Wong	88	U+005e U+0074
n	n	manɛ̃k, pnjam	Ceq Wong	87	U+006e
t	t	ktɔʔ satuʔ, ktuət	Ceq Wong	85	U+0074
e	e	yey, bayek	Ceq Wong	84	U+0065
^p	p	piŋan, pnjam	Ceq Wong	81	U+005e U+0070
ɑ	ɑ	ŋɑlɑŋ, tɑm	Ceq Wong	80	U+0251
^s	s	saraŋ lway, suduʔ	Ceq Wong	73	U+005e U+0073
ɔ	ɔ	ʔɔs, gɔs	Ceq Wong	68	U+0254
r	r	saraŋ lway, harən	Ceq Wong	67	U+0072
^h	h	harən, hɑ̃n	Ceq Wong	67	U+005e U+0068
k$	k	bayek, manɛ̃k	Ceq Wong	67	U+006b U+0024
k	k	baŋkoʔ kəhɛr, skoʔ	Ceq Wong	66	U+006b
s$	s	ʔɔs, gɔs	Ceq Wong	64	U+0073 U+0024
ŋ	ŋ	piŋan, saraŋ lway	Ceq Wong	61	U+014b
ʔ	ʔ	coʔ ʔay, cɛʔ ʔɛ̃ŋ	Ceq Wong	61	U+0294
h$	h	cɑh, pilɑh	Ceq Wong	59	U+0068 U+0024
y$	y	yey, kuy	Ceq Wong	59	U+0079 U+0024
n$	n	piŋan, harən	Ceq Wong	58	U+006e U+0024
^c	c	cɨp, caceŋ	Ceq Wong	56	U+005e U+0063
ɛ̃	ɛ̃	manɛ̃k, wɛ̃ŋ	Ceq Wong	55	U+025b U+0303
m	m	tɑm mɛ̃t, kmɨ̃t hmɛ̃c	Ceq Wong	55	U+006d
^l	l	ləy, lac	Ceq Wong	51	U+005e U+006c
b	b	jabuc, labuʔ	Ceq Wong	51	U+0062
m$	m	tɑm, pnjam	Ceq Wong	46	U+006d U+0024
y	y	bayek, hyhuay	Ceq Wong	46	U+0079
r$	r	blajar, ʔasəkar	Ceq Wong	45	U+0072 U+0024
^ʔ	ʔ	ʔɔs, ʔɑl	Ceq Wong	45	U+005e U+0294
p	p	bapaʔ, hapɔy	Ceq Wong	43	U+0070
l$	l	ʔɑl, tiŋkol	Ceq Wong	42	U+006c U+0024
^m	m	manɛ̃k, mnɨ̃ʔ	Ceq Wong	41	U+005e U+006d
d	d	suduʔ, kadaŋ kadaŋ	Ceq Wong	37	U+0064
ɛ	ɛ	tɛʔ, kcɛʔ	Ceq Wong	37	U+025b
ɨ	ɨ	kbɨs, cɨp	Ceq Wong	34	U+0268
c	c	kcɛʔ, ʔac cəŋ	Ceq Wong	34	U+0063
