ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	26-1-21-1	7215141494083357	Ceq Wong	chew1245	the land	LAND	626		tɛʔ	tɛʔ 
2	26-1-212-1	7215141494083357	Ceq Wong	chew1245	the soil	EARTH (SOIL)	1228		tɛʔ	tɛʔ 
3	26-1-213-1	7215141758812963	Ceq Wong	chew1245	the dust	DUST	2		hmɛ̃c	hmɛ̃c 
4	26-1-214-1	7215141419935501	Ceq Wong	chew1245	the mud	MUD	640		gaʔɛ̃c	gaʔɛ̃c 
5	26-1-215-1	7215141125914219	Ceq Wong	chew1245	the sand	SAND	671		pasir	pasir 
6	26-1-22-1	7215141598256055	Ceq Wong	chew1245	the mountain or hill	MOUNTAIN OR HILL	2118		mnĩm	mnĩm 
7	26-1-22-2	7215141555798156	Ceq Wong	chew1245	the mountain or hill	MOUNTAIN OR HILL	2118		cbɑʔ	cbɑʔ 
8	26-1-222-1	7215141997430959	Ceq Wong	chew1245	the cliff or precipice	PRECIPICE	618		trɛh	trɛh 
9	26-1-24-1	7215141706714629	Ceq Wong	chew1245	the valley	VALLEY	921		taɲoŋ	taɲoŋ 
10	26-1-25-1	7215141616440756	Ceq Wong	chew1245	the island	ISLAND	622		pulaw	pulaw 
11	26-1-28-1	7215141993621750	Ceq Wong	chew1245	the cave	CAVE	1155		daraŋ	daraŋ 
12	26-1-31-1	7215141963271947	Ceq Wong	chew1245	the water	WATER	948		tɑm	tɑm 
13	26-1-32-1	7215141851822256	Ceq Wong	chew1245	the sea	SEA	1474		lawot	lawot 
14	26-1-324-1	7215141344657167	Ceq Wong	chew1245	the foam	FOAM	1768		cucuk	cucuk 
15	26-1-329-1	7215141851822256	Ceq Wong	chew1245	the ocean	OCEAN	645		lawot	lawot 
16	26-1-36-1	7215141963271947	Ceq Wong	chew1245	the river or stream	RIVER	666		tɑm	tɑm 
17	26-1-37-1	721514161380356	Ceq Wong	chew1245	the spring or well	SPRING OR WELL	2144		ncɔk tɑm	ncɔk tɑm 
18	26-1-38-1	7215141660074820	Ceq Wong	chew1245	the swamp	SWAMP	1145		payaʔ	payaʔ 
19	26-1-39-1	7215141345754638	Ceq Wong	chew1245	the waterfall	WATERFALL	943		jrəm	jrəm 
20	26-1-41-1	7215141181943689	Ceq Wong	chew1245	the woods or forest	FOREST	420		brtɛʔ	brtɛʔ 
21	26-1-43-1	7215141364851030	Ceq Wong	chew1245	the wood	WOOD	1803		lɨŋ	lɨŋ 
22	26-1-43-2	8211453875844292	Ceq Wong	chew1245	the wood	WOOD	1803		jəhũʔ	jəhũʔ 
23	26-1-44-1	7215141362686217	Ceq Wong	chew1245	the stone or rock	STONE OR ROCK	2125		tmɔ̃ʔ	tmɔ̃ʔ 
24	26-1-51-1	7215141631554548	Ceq Wong	chew1245	the sky	SKY	1732		laŋĩt	laŋĩt 
25	26-1-52-1	7215141807321236	Ceq Wong	chew1245	the sun	SUN	1343		mɛ̃t ktɔʔ	mɛ̃t ktɔʔ 
26	26-1-53-1	7215141471244876	Ceq Wong	chew1245	the moon	MOON	1313		kcɛʔ	kcɛʔ 
27	26-1-54-1	7215141956047187	Ceq Wong	chew1245	the star	STAR	1430		bintaŋ	bintaŋ 
28	26-1-55-1	7215141591511441	Ceq Wong	chew1245	the lightning	LIGHTNING	1654		kilɑt	kilɑt 
29	26-1-56-1	7215141961812208	Ceq Wong	chew1245	the thunder	THUNDER	1150		karay	karay 
30	26-1-57-1	7215141787740636	Ceq Wong	chew1245	the bolt of lightning	BOLT (OF LIGHTNING)	2007		klantãr	klantãr 
31	26-1-59-1	7215141405397362	Ceq Wong	chew1245	the rainbow	RAINBOW	1733		bayaŋ talon	bayaŋ talon 
32	26-1-61-1	7215141902685092	Ceq Wong	chew1245	the light	LIGHT (RADIATION)	630		cinhəy	cinhəy 
33	26-1-62-1	7215141114149141	Ceq Wong	chew1245	the darkness	DARKNESS	11		saŋkuy	saŋkuy 
34	26-1-63-1	7215141251173784	Ceq Wong	chew1245	the shade or shadow	SHADE	1388		bayaŋ	bayaŋ 
35	26-1-64-1	721514146636826	Ceq Wong	chew1245	the dew	DEW	1977		mon	mon 
36	26-1-72-1	7215141478303189	Ceq Wong	chew1245	the wind	WIND	960		hɔŋ	hɔŋ 
37	26-1-73-1	7215141459225504	Ceq Wong	chew1245	the cloud	CLOUD	1489		ʔɑl	ʔɑl 
38	26-1-74-1	7215141459225504	Ceq Wong	chew1245	the fog	FOG	249		ʔɑl	ʔɑl 
39	26-1-75-1	7215141395933265	Ceq Wong	chew1245	the rain	RAIN (PRECIPITATION)	658		səm	səm 
40	26-1-77-1	7215141880811282	Ceq Wong	chew1245	the ice	ICE	617		tɑm batuʔ	tɑm batuʔ 
41	26-1-81-1	7215141768000666	Ceq Wong	chew1245	the fire	FIRE	221		ʔɔs	ʔɔs 
42	26-1-82-1	7215141768000666	Ceq Wong	chew1245	the flame	FLAME	889		ʔɔs	ʔɔs 
43	26-1-83-1	7215141466624455	Ceq Wong	chew1245	the smoke	SMOKE (EXHAUST)	778		siyay	siyay 
44	26-1-84-1	7215141744585578	Ceq Wong	chew1245	the ash	ASH	646		habuʔ	habuʔ 
45	26-1-841-1	721514164071852	Ceq Wong	chew1245	the embers	EMBERS	67		cikɛh	cikɛh 
46	26-1-851-1	7215141210007254	Ceq Wong	chew1245	to burn(1)	BURN (SOMETHING)	141		siut	siut 
47	26-1-851-2	721514171179344	Ceq Wong	chew1245	to burn(1)	BURN (SOMETHING)	141		jəʔ (1)	jəʔ (1) 
48	26-1-852-1	7215141659871919	Ceq Wong	chew1245	to burn(2)	BURNING	1428		ŋəc	ŋəc 
49	26-1-86-1	7215141876697301	Ceq Wong	chew1245	to light	LIGHT (IGNITE)	737		cŋɔ̃ɲ	cŋɔ̃ɲ 
50	26-1-86-2	7215141580671876	Ceq Wong	chew1245	to light	LIGHT (IGNITE)	737		cos	cos 
51	26-1-861-1	721514196791524	Ceq Wong	chew1245	to extinguish	EXTINGUISH	127		pilɨt	pilɨt 
52	26-1-87-1	7215141768000666	Ceq Wong	chew1245	the match	MATCH	1133		ʔɔs	ʔɔs 
53	26-1-88-1	7215141768000666	Ceq Wong	chew1245	the firewood	FIREWOOD	10		ʔɔs	ʔɔs 
54	26-2-1-1	7215141775291821	Ceq Wong	chew1245	the person	PERSON	683		biʔ (1)	biʔ (1) 
55	26-2-1-2	7215141642141774	Ceq Wong	chew1245	the person	PERSON	683		briʔ	briʔ 
56	26-2-21-1	7215141943157207	Ceq Wong	chew1245	the man	MAN	1554		tuŋkal (1)	tuŋkal (1) 
57	26-2-22-1	81221528223784295	Ceq Wong	chew1245	the woman	WOMAN	962		koŋ (1)	koŋ (1) 
58	26-2-23-1	721514173599776	Ceq Wong	chew1245	male(1)	MALE (OF ANIMAL)	2263		tuŋkal (2)	tuŋkal (2) 
59	26-2-24-1	81221533376924059	Ceq Wong	chew1245	female(1)	FEMALE (OF PERSON)	2260		koŋ (2)	koŋ (2) 
60	26-2-251-1	7215141889474332	Ceq Wong	chew1245	the young man	YOUNG MAN	76		bujaŋ	bujaŋ 
61	26-2-261-1	7215141144351483	Ceq Wong	chew1245	the young woman	YOUNG WOMAN	77		kdɑh	kdɑh 
62	26-2-27-1	7215141656613334	Ceq Wong	chew1245	the child(1)	CHILD (YOUNG HUMAN)	1304		budak	budak 
63	26-2-31-1	7215141472232400	Ceq Wong	chew1245	the husband	HUSBAND	1200		teʔ (1)	teʔ (1) 
64	26-2-32-1	7215141816463972	Ceq Wong	chew1245	the wife	WIFE	1199		jəʔ (2)	jəʔ (2) 
65	26-2-33-1	7215141414253181	Ceq Wong	chew1245	to marry	MARRY	203		ʔɑm	ʔɑm 
66	26-2-35-1	7215141851947932	Ceq Wong	chew1245	the father	FATHER	1217		bap	bap 
