Grapheme	IPA	Languages
^aalscholver$	aː l s x ɔ l v ə r	Dutch
^aambeeld$	aː m b eː l t	Dutch
^aan land gaan$	aː n # l ɑ n t # x aː n	Dutch
^aanbidden$	aː m b ɪ d ə	Dutch
^aanklager$	aː ŋ k l aː ɣ ə r	Dutch
^aankomen$	aː ŋ k oː m ə	Dutch
^aankondigen$	aː ŋ k ɔ n d ə ɣ ə	Dutch
^aanraken$	aː n r aː k ə	Dutch
^aanranding$	aː n r ɑ n d ɪ ŋ	Dutch
^aansteken$	aː n s t eː k ə	Dutch
^aanstellen$	aː n s t ɛ l ə	Dutch
^aantrekken$	aː n t r ɛ k ə	Dutch
^aanval$	aː n v ɑ l	Dutch
^aap$	aː p	Dutch
^aardappel$	aː r d ɑ p ə l	Dutch
^aardbeving$	aː r d b eː v ɪ ŋ	Dutch
^aardolie$	aː r d oː l iː	Dutch
^aas$	aː s	Dutch
^acht$	ɑ x t	Dutch
^achter$	ɑ x t ə r	Dutch
^achtervolgen$	ɑ x t ə r v ɔ l ɣ ə	Dutch
^adelaar$	aː d ə l aː r	Dutch
^ademen$	aː d ə m ə	Dutch
^ader$	aː d ə r	Dutch
^adres$	ɑ d r ɛ s	Dutch
^afgod$	ɑ f x ɔ t	Dutch
^afgunst$	ɑ f x ʏ n s t	Dutch
^afmaken$	ɑ f m aː k ə	Dutch
^afvegen$	ɑ f eː ɣ ə	Dutch
^akker$	ɑ k ə r	Dutch
^alcoholische drank$	ɑ l k oː h oː l iː s ə # d r ɑ ŋ k	Dutch
^alle$	ɑ l ə	Dutch
^alleen$	ɑ l eː n	Dutch
^alligator$	ɑ l iː ɣ aː t ɔ r	Dutch
^als$	ɑ l s	Dutch
^altaar$	ɑ l t aː r	Dutch
^altijd$	ɑ l t ɛi t	Dutch
^andere$	ɑ n d ə r ə	Dutch
^angst$	ɑ ŋ s t	Dutch
^anker$	ɑ ŋ k ə r	Dutch
^antwoorden$	ɑ n t ʋ oː r d ə	Dutch
^arm (1)$	ɑ r m	Dutch
^arm (2)$	ɑ r m	Dutch
^armband$	ɑ r m b ɑ n t	Dutch
^arts$	ɑ r t s	Dutch
^as (1)$	ɑ s	Dutch
^as (2)$	ɑ s	Dutch
