ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	12-1-1-1	72181920638650235	Dutch	dutc1256	the world	WORLD	965		wereld	wereld 
2	12-1-21-1	72181920189967087	Dutch	dutc1256	the land	LAND	626		land	land 
3	12-1-212-1	72181920781775959	Dutch	dutc1256	the soil	EARTH (SOIL)	1228		bodem	bodem 
4	12-1-213-1	72181920148349588	Dutch	dutc1256	the dust	DUST	2		stof (1)	stof (1) 
5	12-1-214-1	72181920932085874	Dutch	dutc1256	the mud	MUD	640		modder	modder 
6	12-1-215-1	72181920700791591	Dutch	dutc1256	the sand	SAND	671		zand	zand 
7	12-1-22-1	72181920121058476	Dutch	dutc1256	the mountain or hill	MOUNTAIN OR HILL	2118		berg	berg 
8	12-1-22-2	72181920489408821	Dutch	dutc1256	the mountain or hill	MOUNTAIN OR HILL	2118		heuvel	heuvel 
9	12-1-222-1	72181920764082778	Dutch	dutc1256	the cliff or precipice	PRECIPICE	618		klif	klif 
10	12-1-23-1	72181920415437984	Dutch	dutc1256	the plain	PLAIN	652		vlakte	vlakte 
11	12-1-24-1	7218192031505143	Dutch	dutc1256	the valley	VALLEY	921		vallei	vallei 
12	12-1-24-2	72181920325500396	Dutch	dutc1256	the valley	VALLEY	921		dal	dal 
13	12-1-25-1	72181920833072587	Dutch	dutc1256	the island	ISLAND	622		eiland	eiland 
14	12-1-26-1	72181920968877708	Dutch	dutc1256	the mainland	MAINLAND	166		vasteland	vasteland 
15	12-1-27-1	72181920442858156	Dutch	dutc1256	the shore	SHORE	113		oever	oever 
16	12-1-28-1	72181920344789019	Dutch	dutc1256	the cave	CAVE	1155		grot	grot 
17	12-1-31-1	72181920580604126	Dutch	dutc1256	the water	WATER	948		water	water 
18	12-1-32-1	72181920499158014	Dutch	dutc1256	the sea	SEA	1474		zee	zee 
19	12-1-322-1	72181920878218931	Dutch	dutc1256	calm	CALM	258		kalm	kalm 
20	12-1-322-2	7424613898751702	Dutch	dutc1256	calm	CALM	258		rustig	rustig 
21	12-1-323-1	72181920557155350	Dutch	dutc1256	rough(2)	ROUGH (OF SEA)	259		ruw	ruw 
22	12-1-324-1	72181920572759556	Dutch	dutc1256	the foam	FOAM	1768		schuim	schuim 
23	12-1-329-1	72181920696029275	Dutch	dutc1256	the ocean	OCEAN	645		oceaan	oceaan 
24	12-1-33-1	72181920482634506	Dutch	dutc1256	the lake	LAKE	624		meer (1)	meer (1) 
25	12-1-34-1	72181920537218984	Dutch	dutc1256	the bay	BAY	663		baai	baai 
26	12-1-341-1	72181920674240965	Dutch	dutc1256	the lagoon	LAGOON	623		lagune	lagune 
27	12-1-342-1	72181920536664408	Dutch	dutc1256	the reef	REEF	660		rif	rif 
28	12-1-343-1	72181920934729794	Dutch	dutc1256	the cape	CAPE	1662		kaap	kaap 
29	12-1-35-1	72181920874351586	Dutch	dutc1256	the wave	WAVE	978		golf	golf 
30	12-1-352-1	7218192083235582	Dutch	dutc1256	the tide	TIDE	891		getij(de)	getij(de) 
31	12-1-353-1	72181920275809293	Dutch	dutc1256	the low tide	LOW TIDE	1026		eb	eb 
32	12-1-354-1	72181920215572916	Dutch	dutc1256	the high tide	HIGH TIDE	613		vloed	vloed 
33	12-1-36-1	72181920846803699	Dutch	dutc1256	the river or stream	RIVER	666		rivier	rivier 
34	12-1-36-2	72181920599718144	Dutch	dutc1256	the river or stream	RIVER	666		stroom	stroom 
35	12-1-362-1	72181920339742711	Dutch	dutc1256	the whirlpool	WHIRLPOOL	1982		draaikolk	draaikolk 
36	12-1-37-1	72181920173779121	Dutch	dutc1256	the spring or well	SPRING OR WELL	2144		bron	bron 
37	12-1-38-1	7218192062948326	Dutch	dutc1256	the swamp	SWAMP	1145		moeras	moeras 
38	12-1-39-1	72181920433820910	Dutch	dutc1256	the waterfall	WATERFALL	943		waterval	waterval 
39	12-1-41-1	72181920178827236	Dutch	dutc1256	the woods or forest	FOREST	420		bos	bos 
40	12-1-41-2	72181920536147434	Dutch	dutc1256	the woods or forest	FOREST	420		woud	woud 
41	12-1-43-1	72181920609525086	Dutch	dutc1256	the wood	WOOD	1803		hout	hout 
42	12-1-44-1	72181920710002386	Dutch	dutc1256	the stone or rock	STONE OR ROCK	2125		rots	rots 
43	12-1-44-2	72181920154916585	Dutch	dutc1256	the stone or rock	STONE OR ROCK	2125		steen	steen 
44	12-1-45-1	72181920588426696	Dutch	dutc1256	the earthquake	EARTHQUAKE	6		aardbeving	aardbeving 
45	12-1-51-1	72181920984583705	Dutch	dutc1256	the sky	SKY	1732		hemel	hemel 
46	12-1-52-1	72181920747035554	Dutch	dutc1256	the sun	SUN	1343		zon	zon 
47	12-1-53-1	72181920745405995	Dutch	dutc1256	the moon	MOON	1313		maan	maan 
48	12-1-54-1	72181920126630645	Dutch	dutc1256	the star	STAR	1430		ster	ster 
49	12-1-55-1	72181920174609052	Dutch	dutc1256	the lightning	LIGHTNING	1654		bliksem	bliksem 
50	12-1-56-1	72181920153065588	Dutch	dutc1256	the thunder	THUNDER	1150		donder	donder 
51	12-1-57-1	72181920830886547	Dutch	dutc1256	the bolt of lightning	BOLT (OF LIGHTNING)	2007		bliksemschicht	bliksemschicht 
52	12-1-58-1	72181920490045585	Dutch	dutc1256	the storm	STORM	858		storm	storm 
53	12-1-59-1	72181920909328623	Dutch	dutc1256	the rainbow	RAINBOW	1733		regenboog	regenboog 
54	12-1-61-1	72181920641074887	Dutch	dutc1256	the light	LIGHT (RADIATION)	630		licht (1)	licht (1) 
55	12-1-62-1	72181920139814721	Dutch	dutc1256	the darkness	DARKNESS	11		duisternis	duisternis 
56	12-1-63-1	72181920694747578	Dutch	dutc1256	the shade or shadow	SHADE	1388		schaduw	schaduw 
57	12-1-64-1	72181920579267070	Dutch	dutc1256	the dew	DEW	1977		dauw	dauw 
58	12-1-71-1	72181920245082402	Dutch	dutc1256	the air	AIR	27		lucht	lucht 
59	12-1-72-1	72181920614889140	Dutch	dutc1256	the wind	WIND	960		wind	wind 
60	12-1-73-1	72181920316403980	Dutch	dutc1256	the cloud	CLOUD	1489		wolk	wolk 
61	12-1-74-1	72181920997985199	Dutch	dutc1256	the fog	FOG	249		mist	mist 
62	12-1-75-1	72181920767473317	Dutch	dutc1256	the rain	RAIN (PRECIPITATION)	658		regen	regen 
63	12-1-76-1	72181920482416722	Dutch	dutc1256	the snow	SNOW	784		sneeuw	sneeuw 
64	12-1-77-1	72181920852663051	Dutch	dutc1256	the ice	ICE	617		ijs	ijs 
