ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	38-1-1-1	7582314411144247	Kali'na	gali1262	the world	WORLD	965		nono	nono 
2	38-1-21-1	7582314411144247	Kali'na	gali1262	the land	LAND	626		nono	nono 
3	38-1-212-1	7582314411144247	Kali'na	gali1262	the soil	EARTH (SOIL)	1228		nono	nono 
4	38-1-213-1	758231476014388	Kali'na	gali1262	the dust	DUST	2		ekɨine	ekɨine 
5	38-1-214-1	7582314206743816	Kali'na	gali1262	the mud	MUD	640		akulu	akulu 
6	38-1-215-1	7582314541395824	Kali'na	gali1262	the sand	SAND	671		sakau	sakau 
7	38-1-22-1	7582314337649028	Kali'na	gali1262	the mountain or hill	MOUNTAIN OR HILL	2118		wɨpɨ	wɨpɨ 
8	38-1-222-1	7582314863893006	Kali'na	gali1262	the cliff or precipice	PRECIPICE	618		ankena	ankena 
9	38-1-25-1	7582314189655437	Kali'na	gali1262	the island	ISLAND	622		pa’u	pa’u 
10	38-1-26-1	7582314189655437	Kali'na	gali1262	the mainland	MAINLAND	166		pa’u	pa’u 
11	38-1-27-1	7582314805639387	Kali'na	gali1262	the shore	SHORE	113		pe'a	pe'a 
12	38-1-28-1	758231462329079	Kali'na	gali1262	the cave	CAVE	1155		-a’talɨ	-a’talɨ 
13	38-1-31-1	7582314688311186	Kali'na	gali1262	the water	WATER	948		tuna	tuna 
14	38-1-32-1	7582314582086074	Kali'na	gali1262	the sea	SEA	1474		palana	palana 
15	38-1-322-1	7582314377974149	Kali'na	gali1262	calm	CALM	258		itɨme	itɨme 
16	38-1-323-1	7582314420502542	Kali'na	gali1262	rough(2)	ROUGH (OF SEA)	259		palipe	palipe 
17	38-1-324-1	7582314424840794	Kali'na	gali1262	the foam	FOAM	1768		akepun	akepun 
18	38-1-329-1	7582314582086074	Kali'na	gali1262	the ocean	OCEAN	645		palana	palana 
19	38-1-33-1	7582314769167663	Kali'na	gali1262	the lake	LAKE	624		itupalɨ	itupalɨ 
20	38-1-34-1	7582314971995446	Kali'na	gali1262	the bay	BAY	663		ame’talɨ	ame’talɨ 
21	38-1-341-1	7582314333995318	Kali'na	gali1262	the lagoon	LAGOON	623		elalɨ	elalɨ 
22	38-1-342-1	7582314878377325	Kali'na	gali1262	the reef	REEF	660		-apotɨlɨ	-apotɨlɨ 
23	38-1-35-1	7582314581096926	Kali'na	gali1262	the wave	WAVE	978		imukululu	imukululu 
24	38-1-352-1	758231467857611	Kali'na	gali1262	the tide	TIDE	891		kunu	kunu 
25	38-1-353-1	7582314703296751	Kali'na	gali1262	the low tide	LOW TIDE	1026		pama	pama 
26	38-1-354-1	7582314336796714	Kali'na	gali1262	the high tide	HIGH TIDE	613		kuma	kuma 
27	38-1-36-1	7582314633518885	Kali'na	gali1262	the river or stream	RIVER	666		ilo’ne	ilo’ne 
28	38-1-362-1	758231463022696	Kali'na	gali1262	the whirlpool	WHIRLPOOL	1982		imamu	imamu 
29	38-1-37-1	7582314104267159	Kali'na	gali1262	the spring or well	SPRING OR WELL	2144		topona	topona 
30	38-1-38-1	7582314256371801	Kali'na	gali1262	the swamp	SWAMP	1145		pilipili	pilipili 
31	38-1-39-1	7582314411077842	Kali'na	gali1262	the waterfall	WATERFALL	943		tuna isolɨ	tuna isolɨ 
32	38-1-41-1	7582314319454576	Kali'na	gali1262	the woods or forest	FOREST	420		itulu	itulu 
33	38-1-43-1	7582314517390375	Kali'na	gali1262	the wood	WOOD	1803		wewe	wewe 
34	38-1-44-1	7582314248959945	Kali'na	gali1262	the stone or rock	STONE OR ROCK	2125		topu	topu 
35	38-1-45-1	7582314142845674	Kali'na	gali1262	the earthquake	EARTHQUAKE	6		tɨtɨtɨ	tɨtɨtɨ 
36	38-1-51-1	7582314428569620	Kali'na	gali1262	the sky	SKY	1732		kapu	kapu 
37	38-1-52-1	7582314975255629	Kali'na	gali1262	the sun	SUN	1343		weyu	weyu 
38	38-1-54-1	758231459153474	Kali'na	gali1262	the star	STAR	1430		siliko	siliko 
39	38-1-55-1	7582314304567462	Kali'na	gali1262	the lightning	LIGHTNING	1654		kapekape	kapekape 
40	38-1-56-1	7582314481339341	Kali'na	gali1262	the thunder	THUNDER	1150		konomelu	konomelu 
41	38-1-58-1	7582314481339341	Kali'na	gali1262	the storm	STORM	858		konomelu	konomelu 
42	38-1-59-1	7582314857699197	Kali'na	gali1262	the rainbow	RAINBOW	1733		palamu	palamu 
43	38-1-61-1	7582314938189129	Kali'na	gali1262	the light	LIGHT (RADIATION)	630		awei	awei 
44	38-1-62-1	7582314476021186	Kali'na	gali1262	the darkness	DARKNESS	11		ewalumɨ	ewalumɨ 
45	38-1-63-1	7582314101696987	Kali'na	gali1262	the shade or shadow	SHADE	1388		-akalɨ	-akalɨ 
46	38-1-64-1	7582314871651565	Kali'na	gali1262	the dew	DEW	1977		sitakun	sitakun 
47	38-1-72-1	7582314649535115	Kali'na	gali1262	the wind	WIND	960		pepeito	pepeito 
48	38-1-73-1	7582314179937240	Kali'na	gali1262	the cloud	CLOUD	1489		kapulutu	kapulutu 
49	38-1-74-1	758231482332620	Kali'na	gali1262	the fog	FOG	249		kamelita	kamelita 
50	38-1-75-1	7582314844290647	Kali'na	gali1262	the rain	RAIN (PRECIPITATION)	658		konopo	konopo 
51	38-1-81-1	7582314693582545	Kali'na	gali1262	the fire	FIRE	221		wa'to	wa'to 
52	38-1-82-1	7582314286267640	Kali'na	gali1262	the flame	FLAME	889		kamu	kamu 
53	38-1-83-1	758231476014388	Kali'na	gali1262	the smoke	SMOKE (EXHAUST)	778		ekɨine	ekɨine 
54	38-1-84-1	7582314132087376	Kali'na	gali1262	the ash	ASH	646		welunopo	welunopo 
55	38-1-841-1	7582314421740828	Kali'na	gali1262	the embers	EMBERS	67		wa'topo	wa'topo 
56	38-1-851-1	7582314848284884	Kali'na	gali1262	to burn(1)	BURN (SOMETHING)	141		kolo'ka	kolo'ka 
57	38-1-852-1	7582314293655742	Kali'na	gali1262	to burn(2)	BURNING	1428		kolo'tɨ	kolo'tɨ 
58	38-1-86-1	7582314322398270	Kali'na	gali1262	to light	LIGHT (IGNITE)	737		pomaka	pomaka 
59	38-1-861-1	7582314507258482	Kali'na	gali1262	to extinguish	EXTINGUISH	127		ewuka	ewuka 
60	38-1-87-1	7582314427789956	Kali'na	gali1262	the match	MATCH	1133		suwapulu	suwapulu 
61	38-1-88-1	7582314239624218	Kali'na	gali1262	the firewood	FIREWOOD	10		kunapolan	kunapolan 
62	38-1-88-2	8252030988014761	Kali'na	gali1262	the firewood	FIREWOOD	10		mulei	mulei 
63	38-1-89-1	7582314421740828	Kali'na	gali1262	the charcoal	CHARCOAL	1188		wa'topo	wa'topo 
64	38-2-21-1	7582314677025086	Kali'na	gali1262	the man	MAN	1554		wokɨlɨ	wokɨlɨ 
65	38-2-22-1	7582314140759666	Kali'na	gali1262	the woman	WOMAN	962		wolɨi	wolɨi 
66	38-2-23-1	7582314677025086	Kali'na	gali1262	male(1)	MALE (OF ANIMAL)	2263		wokɨlɨ	wokɨlɨ 
67	38-2-24-1	7582314140759666	Kali'na	gali1262	female(1)	FEMALE (OF PERSON)	2260		wolɨi	wolɨi 
68	38-2-25-1	7582314914469670	Kali'na	gali1262	the boy	BOY	1366		mɨlekoko	mɨlekoko 
69	38-2-251-1	7582314968646213	Kali'na	gali1262	the young man	YOUNG MAN	76		pɨito	pɨito 
70	38-2-26-1	7582314648692674	Kali'na	gali1262	the girl	GIRL	1646		amɨiyako	amɨiyako 
71	38-2-261-1	7582314140759666	Kali'na	gali1262	the young woman	YOUNG WOMAN	77		wolɨi	wolɨi 
72	38-2-27-1	7582314959787016	Kali'na	gali1262	the child(1)	CHILD (YOUNG HUMAN)	1304		pitani	pitani 
73	38-2-28-1	7582314692822927	Kali'na	gali1262	the baby	BABY	1289		pitanimenpo	pitanimenpo 
74	38-2-31-1	7582314290244607	Kali'na	gali1262	the husband	HUSBAND	1200		-ïino	-ïino 
75	38-2-32-1	7582314560879654	Kali'na	gali1262	the wife	WIFE	1199		-pɨtɨ	-pɨtɨ 
76	38-2-33-1	7582314786712525	Kali'na	gali1262	to marry	MARRY	203		aina apɨiyɨ	aina apɨiyɨ 
77	38-2-33-2	7582314145963867	Kali'na	gali1262	to marry	MARRY	203		pɨta	pɨta 
78	38-2-341-1	7582314493442142	Kali'na	gali1262	the divorce	DIVORCE	1134		nonta	nonta 
79	38-2-35-1	758231444768702	Kali'na	gali1262	the father	FATHER	1217		-yumɨ	-yumɨ 
80	38-2-36-1	7582314559676855	Kali'na	gali1262	the mother	MOTHER	1216		-sano	-sano 
81	38-2-38-1	7582314750695359	Kali'na	gali1262	the married man	MARRIED MAN	424		tɨpɨken	tɨpɨken 
82	38-2-39-1	7582314659164928	Kali'na	gali1262	the married woman	MARRIED WOMAN	426		tɨinonen	tɨinonen 
83	38-2-41-1	758231421825479	Kali'na	gali1262	the son	SON	1620		-ɨ’me	-ɨ’me 
84	38-2-42-1	7582314576527358	Kali'na	gali1262	the daughter	DAUGHTER	1357		-emɨiyɨ	-emɨiyɨ 
85	38-3-662-1	7582314971988779	Kali'na	gali1262	the porpoise or dolphin	DOLPHIN	1479		ililikula	ililikula 
86	38-2-43-1	758231421825479	Kali'na	gali1262	the child(2)	CHILD (DESCENDANT)	1801		-ɨ’me	-ɨ’me 
87	38-2-444-1	7582314685478100	Kali'na	gali1262	the older brother	OLDER BROTHER	1759		-ɨlɨi	-ɨlɨi 
88	38-2-445-1	7582314322190957	Kali'na	gali1262	the younger brother	YOUNGER BROTHER	1760		-pilɨ	-pilɨ 
89	38-2-45-1	7582314669135292	Kali'na	gali1262	the sister	SISTER	1263		-enautɨ	-enautɨ 
90	38-2-454-1	7582314242914192	Kali'na	gali1262	the older sister	OLDER SISTER	1758		-pailɨ	-pailɨ 
91	38-2-455-1	7582314186766522	Kali'na	gali1262	the younger sister	YOUNGER SISTER	1761		-pitɨ	-pitɨ 
92	38-2-458-1	7582314610050194	Kali'na	gali1262	the twins	TWINS	1005		asemonosi	asemonosi 
93	38-2-46-1	7582314130231489	Kali'na	gali1262	the grandfather	GRANDFATHER	1383		-tamulu	-tamulu 
94	38-2-461-1	7582314763816892	Kali'na	gali1262	the old man	OLD MAN	406		tampoko	tampoko 
95	38-2-47-1	7582314749317631	Kali'na	gali1262	the grandmother	GRANDMOTHER	1496		-notɨ	-notɨ 
96	38-2-471-1	7582314564077337	Kali'na	gali1262	the old woman	OLD WOMAN	907		nopoko	nopoko 
97	38-2-48-1	7582314928104174	Kali'na	gali1262	the grandson	GRANDSON	1618		-palɨ	-palɨ 
98	38-2-49-1	7582314928104174	Kali'na	gali1262	the granddaughter	GRANDDAUGHTER	1619		-palɨ	-palɨ 
99	38-2-511-1	7582314189413282	Kali'na	gali1262	the mother's brother	MOTHER'S BROTHER	1984		-ka’topo	-ka’topo 
100	38-2-521-1	7582314559676855	Kali'na	gali1262	the mother's sister	MOTHER'S SISTER	171		-sano	-sano 
101	38-2-522-1	758231447907324	Kali'na	gali1262	the father's sister	FATHER'S SISTER	170		-opi	-opi 
102	38-2-56-1	7582314583160608	Kali'na	gali1262	the ancestors	ANCESTORS	1669		-epɨ	-epɨ 
103	38-2-61-1	7582314640378916	Kali'na	gali1262	the father-in-law (of a man)	FATHER-IN-LAW (OF MAN)	2255		-ɨme tamulu	-ɨme tamulu 
104	38-2-611-1	7582314640378916	Kali'na	gali1262	the father-in-law (of a woman)	FATHER-IN-LAW (OF WOMAN)	2254		-ɨme tamulu	-ɨme tamulu 
