ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	3-1-1-1	7129132920960551	Gawwada	gaww1239	the world	WORLD	965		ʔalame	ʔalame 
2	3-1-21-1	7129132599530969	Gawwada	gaww1239	the land	LAND	626		piye	piye 
3	3-1-212-1	7129132599530969	Gawwada	gaww1239	the soil	EARTH (SOIL)	1228		piye	piye 
4	3-1-213-1	712913262666872	Gawwada	gaww1239	the dust	DUST	2		tullufo	tullufo 
5	3-1-214-1	71291326502381	Gawwada	gaww1239	the mud	MUD	640		tawle	tawle 
6	3-1-214-2	76131113805800728	Gawwada	gaww1239	the mud	MUD	640		coqqollo	coqqollo 
7	3-1-215-1	7129132950536202	Gawwada	gaww1239	the sand	SAND	671		tahakko	tahakko 
8	3-1-22-1	7129132749642311	Gawwada	gaww1239	the mountain or hill	MOUNTAIN OR HILL	2118		ɠupo	ɠupo 
9	3-1-222-1	7129132861069446	Gawwada	gaww1239	the cliff or precipice	PRECIPICE	618		polle	polle 
10	3-1-222-2	7129132946176774	Gawwada	gaww1239	the cliff or precipice	PRECIPICE	618		ɠaɗo	ɠaɗo 
11	3-1-23-1	7129132274334250	Gawwada	gaww1239	the plain	PLAIN	652		leʕakko	leʕakko 
12	3-1-24-1	7129132695534552	Gawwada	gaww1239	the valley	VALLEY	921		fokolho	fokolho 
13	3-1-27-1	7129132763011125	Gawwada	gaww1239	the shore	SHORE	113		kolle pako	kolle pako 
14	3-1-27-2	76131334164658219	Gawwada	gaww1239	the shore	SHORE	113		paso pako	paso pako 
15	3-1-28-1	7129132474145480	Gawwada	gaww1239	the cave	CAVE	1155		xoqno	xoqno 
16	3-1-31-1	7129132366005974	Gawwada	gaww1239	the water	WATER	948		ʕanɗe	ʕanɗe 
17	3-1-322-1	7129132380678205	Gawwada	gaww1239	calm	CALM	258		ʔí=ʕakkaɗa	ʔí=ʕakkaɗa 
18	3-1-323-1	7129132982404991	Gawwada	gaww1239	rough(2)	ROUGH (OF SEA)	259		ʔí=kantulama	ʔí=kantulama 
19	3-1-324-1	7129132627898728	Gawwada	gaww1239	the foam	FOAM	1768		roompo (ʕanɗete)	roompo (ʕanɗete) 
20	3-1-33-1	7129132347952126	Gawwada	gaww1239	the lake	LAKE	624		paso	paso 
21	3-1-342-1	7129132541587712	Gawwada	gaww1239	the reef	REEF	660		pokke	pokke 
22	3-1-36-1	7129132178953019	Gawwada	gaww1239	the river or stream	RIVER	666		kolle	kolle 
23	3-1-362-1	7129132414603118	Gawwada	gaww1239	the whirlpool	WHIRLPOOL	1982		lofoqqo	lofoqqo 
24	3-1-37-1	7129132383292314	Gawwada	gaww1239	the spring or well	SPRING OR WELL	2144		ʕeelho	ʕeelho 
25	3-1-39-1	7129132645724395	Gawwada	gaww1239	the waterfall	WATERFALL	943		(ʕanɗe) ʔí=t’aarama	(ʕanɗe) ʔí=t’aarama 
26	3-1-41-1	7129132107828183	Gawwada	gaww1239	the woods or forest	FOREST	420		horro	horro 
27	3-1-43-1	7129132858436551	Gawwada	gaww1239	the wood	WOOD	1803		kaarko	kaarko 
28	3-1-44-1	7129132489995675	Gawwada	gaww1239	the stone or rock	STONE OR ROCK	2125		ʔikaħko	ʔikaħko 
29	3-1-45-1	712913226702375	Gawwada	gaww1239	the earthquake	EARTHQUAKE	6		piye ʔí=heereʔti	piye ʔí=heereʔti 
30	3-1-51-1	7129132697976991	Gawwada	gaww1239	the sky	SKY	1732		muunt’o	muunt’o 
31	3-1-52-1	7129132609520301	Gawwada	gaww1239	the sun	SUN	1343		hallikko	hallikko 
32	3-1-53-1	7129132704959852	Gawwada	gaww1239	the moon	MOON	1313		leʕʕo	leʕʕo 
33	3-1-54-1	7129132973882838	Gawwada	gaww1239	the star	STAR	1430		huske	huske 
34	3-1-55-1	7129132430238087	Gawwada	gaww1239	the lightning	LIGHTNING	1654		kawwaʕko ʔí=paqa	kawwaʕko ʔí=paqa 
35	3-1-56-1	712913217152932	Gawwada	gaww1239	the thunder	THUNDER	1150		kawwaʕko ʔí=ħeereʔi	kawwaʕko ʔí=ħeereʔi 
36	3-1-57-1	7129132171209252	Gawwada	gaww1239	the bolt of lightning	BOLT (OF LIGHTNING)	2007		kawwaʕko	kawwaʕko 
37	3-1-58-1	7129132574040638	Gawwada	gaww1239	the storm	STORM	858		ʔaspitte	ʔaspitte 
38	3-1-59-1	7129132715570700	Gawwada	gaww1239	the rainbow	RAINBOW	1733		makarte	makarte 
39	3-1-61-1	7129132393080277	Gawwada	gaww1239	the light	LIGHT (RADIATION)	630		hammakko	hammakko 
40	3-1-62-1	7129132468390187	Gawwada	gaww1239	the darkness	DARKNESS	11		kumminko	kumminko 
41	3-1-63-1	7129132251759221	Gawwada	gaww1239	the shade or shadow	SHADE	1388		kaasse	kaasse 
42	3-1-64-1	712913255006236	Gawwada	gaww1239	the dew	DEW	1977		saɗahe	saɗahe 
43	3-1-71-1	7129132921632915	Gawwada	gaww1239	the air	AIR	27		hafurko	hafurko 
44	3-1-72-1	7129132189700326	Gawwada	gaww1239	the wind	WIND	960		ʔuruure	ʔuruure 
45	3-1-73-1	712913282548289	Gawwada	gaww1239	the cloud	CLOUD	1489		ʔurratte	ʔurratte 
46	3-1-74-1	7129132193394995	Gawwada	gaww1239	the fog	FOG	249		qayanqayo	qayanqayo 
47	3-1-75-1	7129132868704985	Gawwada	gaww1239	the rain	RAIN (PRECIPITATION)	658		ʔirrawo	ʔirrawo 
48	3-1-76-1	7129132574040638	Gawwada	gaww1239	the snow	SNOW	784		ʔaspitte	ʔaspitte 
49	3-1-77-1	7129132574040638	Gawwada	gaww1239	the ice	ICE	617		ʔaspitte	ʔaspitte 
50	3-1-81-1	7129132406569872	Gawwada	gaww1239	the fire	FIRE	221		xatte	xatte 
51	3-1-82-1	7129132406569872	Gawwada	gaww1239	the flame	FLAME	889		xatte	xatte 
52	3-1-83-1	7129132154532749	Gawwada	gaww1239	the smoke	SMOKE (EXHAUST)	778		kuute	kuute 
53	3-1-84-1	7129132427704121	Gawwada	gaww1239	the ash	ASH	646		tarʕo	tarʕo 
54	3-1-841-1	7129132129297988	Gawwada	gaww1239	the embers	EMBERS	67		porxo	porxo 
55	3-1-851-1	7129132897905677	Gawwada	gaww1239	to burn(1)	BURN (SOMETHING)	141		ɗil	ɗil 
56	3-1-851-2	7681422527157252	Gawwada	gaww1239	to burn(1)	BURN (SOMETHING)	141		šaʔas	šaʔas 
57	3-1-852-1	7129132382034654	Gawwada	gaww1239	to burn(2)	BURNING	1428		šaʔ	šaʔ 
58	3-1-86-1	7129132533485374	Gawwada	gaww1239	to light	LIGHT (IGNITE)	737		hokki	hokki 
59	3-1-86-2	76131344297237374	Gawwada	gaww1239	to light	LIGHT (IGNITE)	737		hok	hok 
60	3-1-861-1	7129132557413556	Gawwada	gaww1239	to extinguish	EXTINGUISH	127		ʔimas	ʔimas 
61	3-1-87-1	7129132292505203	Gawwada	gaww1239	the match	MATCH	1133		kipraate	kipraate 
62	3-1-88-1	7129132740682431	Gawwada	gaww1239	the firewood	FIREWOOD	10		kaare hokete	kaare hokete 
63	3-1-89-1	7129132625410085	Gawwada	gaww1239	the charcoal	CHARCOAL	1188		k’ace	k’ace 
