ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	4-1-1-1	73101839221561044	Hausa	haus1257	the world	WORLD	965		dúuníyàa	dúuníyàa 
2	4-1-21-1	73101839578931380	Hausa	haus1257	the land	LAND	626		ƙásáa	ƙásáa 
3	4-1-212-1	73101839578931380	Hausa	haus1257	the soil	EARTH (SOIL)	1228		ƙásáa	ƙásáa 
4	4-1-213-1	73101839326746903	Hausa	haus1257	the dust	DUST	2		ƙùuráa	ƙùuráa 
5	4-1-214-1	73101839376009506	Hausa	haus1257	the mud	MUD	640		tàɓóo	tàɓóo 
6	4-1-215-1	73101839760034357	Hausa	haus1257	the sand	SAND	671		yàashíi	yàashíi 
7	4-1-215-2	73101839578931380	Hausa	haus1257	the sand	SAND	671		ƙásáa	ƙásáa 
8	4-1-22-1	7310183922231862	Hausa	haus1257	the mountain or hill	MOUNTAIN OR HILL	2118		tsáunìi	tsáunìi 
9	4-1-22-2	73101839531361252	Hausa	haus1257	the mountain or hill	MOUNTAIN OR HILL	2118		dúutsèe	dúutsèe 
10	4-1-22-3	73101839520738405	Hausa	haus1257	the mountain or hill	MOUNTAIN OR HILL	2118		túdùu	túdùu 
11	4-1-222-1	73101839297141366	Hausa	haus1257	the cliff or precipice	PRECIPICE	618		háyìi	háyìi 
12	4-1-23-1	73101839801668795	Hausa	haus1257	the plain	PLAIN	652		fíilíi	fíilíi 
13	4-1-24-1	73101839339963347	Hausa	haus1257	the valley	VALLEY	921		kwárìi	kwárìi 
14	4-1-24-2	73101839665354033	Hausa	haus1257	the valley	VALLEY	921		ràafíi	ràafíi 
15	4-1-25-1	73101839325131461	Hausa	haus1257	the island	ISLAND	622		tsìbíríi	tsìbíríi 
16	4-1-27-1	73101839607489922	Hausa	haus1257	the shore	SHORE	113		bàakín ruwaa	bàakín ruwaa 
17	4-1-27-2	73101839481491358	Hausa	haus1257	the shore	SHORE	113		gáaɓàa	gáaɓàa 
18	4-1-28-1	73101839206405972	Hausa	haus1257	the cave	CAVE	1155		kòogóo	kòogóo 
19	4-1-31-1	73101839203468731	Hausa	haus1257	the water	WATER	948		rúwáa	rúwáa 
20	4-1-32-1	7310183933040001	Hausa	haus1257	the sea	SEA	1474		tèekú	tèekú 
