Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	kaikua`ana, `anakala	Hawaiian	1081	U+0061
o	o	mo`opuna, poepoe	Hawaiian	533	U+006f
i	i	kaikaina, lihilihi maka	Hawaiian	518	U+0069
l	l	`ōlelo, palaoa huluhulu	Hawaiian	507	U+006c
k	k	`ohana keiki, kaikua`ana	Hawaiian	477	U+006b
a$	a	loa`a, mo`opuna	Hawaiian	427	U+0061 U+0024
n	n	hūnōna wahine, hūnōna kāne	Hawaiian	416	U+006e
`	<?>	loa`a, ho`ā`o	Hawaiian	406	U+0060
u	u	palaoa huluhulu, huluhulu	Hawaiian	387	U+0075
e	e	lehelehe, helehelena	Hawaiian	359	U+0065
h	h	palaoa huluhulu, `aina ahiahi	Hawaiian	319	U+0068
i$	i	honi, `ohana keiki	Hawaiian	294	U+0069 U+0024
^k	k	koho, kaikaina	Hawaiian	257	U+005e U+006b
_	_	`apōpō ā ia lā aku, `ohana keiki	Hawaiian	239	U+005f
e$	e	`ole, hoe	Hawaiian	225	U+0065 U+0024
^h	h	honi, hoe	Hawaiian	219	U+005e U+0068
^`	<?>	`ole, `ō	Hawaiian	206	U+005e U+0060
p	p	ho`opunipuni, hopohopo	Hawaiian	205	U+0070
^p	p	poepoe, pi`i	Hawaiian	199	U+005e U+0070
^m	m	mo`opuna, mana`o	Hawaiian	165	U+005e U+006d
m	m	`umi kūmālima, manamana lima	Hawaiian	162	U+006d
o$	o	koho, lalo	Hawaiian	157	U+006f U+0024
u$	u	hau, pou	Hawaiian	151	U+0075 U+0024
ā	ā	`apōpō ā ia lā aku, ho`ā`o	Hawaiian	148	U+0101
^l	l	loa`a, lalo	Hawaiian	121	U+005e U+006c
w	w	`awa`awa, hewa	Hawaiian	104	U+0077
ō	ō	`ōlelo, hūnōna wahine	Hawaiian	86	U+014d
ū	ū	hūnōna wahine, hūnōna kāne	Hawaiian	64	U+016b
^w	w	wāwae, waiho`olu`u	Hawaiian	50	U+005e U+0077
^n	n	na`au, nāki`i	Hawaiian	45	U+005e U+006e
^a	a	aha, aniani	Hawaiian	41	U+005e U+0061
ā$	ā	`ūpā, lālā	Hawaiian	40	U+0101 U+0024
ū$	ū	`ōpū, nū	Hawaiian	26	U+016b U+0024
^i	i	ia, ihu	Hawaiian	24	U+005e U+0069
ō$	ō	`ō, leikō	Hawaiian	21	U+014d U+0024
ī$	ī	`uī, wīwī	Hawaiian	20	U+012b U+0024
āw	āw	ku`eku`e wāwae, wāwae	Hawaiian	19	U+0101 U+0077
^u	u	uila, ulana	Hawaiian	19	U+005e U+0075
ī	ī	akenī`au, mīkini	Hawaiian	18	U+012b
ē$	ē	`anakē, `ai`ē	Hawaiian	17	U+0113 U+0024
ē	ē	`ēlemu, `ē a`e	Hawaiian	14	U+0113
āh	āh	`āhewa, ho`āhewa	Hawaiian	11	U+0101 U+0068
^o	o	ola, omo	Hawaiian	9	U+005e U+006f
hāpai (2)	<???>	hāpai (2)	Hawaiian	6	U+0068 U+0101 U+0070 U+0061 U+0069 U+0020 U+0028 U+0032 U+0029
ōh	ōh	`ōhumu, ka`a `ōhua	Hawaiian	5	U+014d U+0068
‘	<?>	ho‘oku‘u, maka‘āinana	Hawaiian	4	U+2018
s	s	`iniseka, nahesa	Hawaiian	4	U+0073
aa	aa	ka`aahi, pukaaniani	Hawaiian	4	U+0061 U+0061
