ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	30-1-1-1	7281641551300635	Hawaiian	hawa1245	the world	WORLD	965		honua	honua 
2	30-1-21-1	7281641599463319	Hawaiian	hawa1245	the land	LAND	626		`āina	`āina 
3	30-1-212-1	7281641480890823	Hawaiian	hawa1245	the soil	EARTH (SOIL)	1228		lepo	lepo 
4	30-1-213-1	7281641345957679	Hawaiian	hawa1245	the dust	DUST	2		`ehu	`ehu 
5	30-1-214-1	7281641530246116	Hawaiian	hawa1245	the mud	MUD	640		kelekele	kelekele 
6	30-1-215-1	7281641577086168	Hawaiian	hawa1245	the sand	SAND	671		one	one 
7	30-1-22-1	7281641941744300	Hawaiian	hawa1245	the mountain or hill	MOUNTAIN OR HILL	2118		mauna	mauna 
8	30-1-222-1	7281641367276330	Hawaiian	hawa1245	the cliff or precipice	PRECIPICE	618		pali	pali 
9	30-1-23-1	7281641480033839	Hawaiian	hawa1245	the plain	PLAIN	652		kula (1)	kula (1) 
10	30-1-24-1	7281641223632977	Hawaiian	hawa1245	the valley	VALLEY	921		awāwa	awāwa 
11	30-1-25-1	7281641290676098	Hawaiian	hawa1245	the island	ISLAND	622		mokupuni	mokupuni 
12	30-1-25-2	75151651936562474	Hawaiian	hawa1245	the island	ISLAND	622		`ailana	`ailana 
13	30-1-26-1	728164176848533	Hawaiian	hawa1245	the mainland	MAINLAND	166		`āina nui	`āina nui 
14	30-1-27-1	7281641868886878	Hawaiian	hawa1245	the shore	SHORE	113		kahakai	kahakai 
15	30-1-28-1	7281641569496596	Hawaiian	hawa1245	the cave	CAVE	1155		ana (1)	ana (1) 
16	30-1-31-1	7281641464415149	Hawaiian	hawa1245	the water	WATER	948		wai (1)	wai (1) 
17	30-1-32-1	7281641627541723	Hawaiian	hawa1245	the sea	SEA	1474		kai	kai 
18	30-1-322-1	728164122218814	Hawaiian	hawa1245	calm	CALM	258		mālie	mālie 
19	30-1-323-1	7281641642016615	Hawaiian	hawa1245	rough(2)	ROUGH (OF SEA)	259		`ōkaikai	`ōkaikai 
20	30-1-324-1	7281641746091017	Hawaiian	hawa1245	the foam	FOAM	1768		hu`a	hu`a 
21	30-1-329-1	7281641902367133	Hawaiian	hawa1245	the ocean	OCEAN	645		moana (1)	moana (1) 
22	30-1-33-1	7281641636484104	Hawaiian	hawa1245	the lake	LAKE	624		loko wai	loko wai 
23	30-1-34-1	7281641321226718	Hawaiian	hawa1245	the bay	BAY	663		hono	hono 
24	30-1-341-1	7281641518160287	Hawaiian	hawa1245	the lagoon	LAGOON	623		loko kai	loko kai 
25	30-1-342-1	728164165160643	Hawaiian	hawa1245	the reef	REEF	660		papa (1)	papa (1) 
26	30-1-343-1	7281641105028285	Hawaiian	hawa1245	the cape	CAPE	1662		lae (1)	lae (1) 
27	30-1-35-1	7281641899004712	Hawaiian	hawa1245	the wave	WAVE	978		nalu	nalu 
28	30-1-352-1	7281641627541723	Hawaiian	hawa1245	the tide	TIDE	891		kai	kai 
29	30-1-353-1	7281641387781562	Hawaiian	hawa1245	the low tide	LOW TIDE	1026		kai malo`o	kai malo`o 
30	30-1-354-1	7281641934866013	Hawaiian	hawa1245	the high tide	HIGH TIDE	613		kai piha	kai piha 
31	30-1-36-1	7281641840189569	Hawaiian	hawa1245	the river or stream	RIVER	666		kahawai	kahawai 
32	30-1-362-1	7281641703344821	Hawaiian	hawa1245	the whirlpool	WHIRLPOOL	1982		wiliwai	wiliwai 
33	30-1-37-1	7281641613746071	Hawaiian	hawa1245	the spring or well	SPRING OR WELL	2144		puna (1)	puna (1) 
34	30-1-38-1	728164156273766	Hawaiian	hawa1245	the swamp	SWAMP	1145		kele (1)	kele (1) 
35	30-1-39-1	7281641157062342	Hawaiian	hawa1245	the waterfall	WATERFALL	943		wailele	wailele 
36	30-1-41-1	7281641241716077	Hawaiian	hawa1245	the woods or forest	FOREST	420		nahele	nahele 
37	30-1-43-1	728164133693150	Hawaiian	hawa1245	the wood	WOOD	1803		lā`au	lā`au 
38	30-1-44-1	7281641826199277	Hawaiian	hawa1245	the stone or rock	STONE OR ROCK	2125		pōhaku	pōhaku 
39	30-1-45-1	7281641299944101	Hawaiian	hawa1245	the earthquake	EARTHQUAKE	6		`ōla`i	`ōla`i 
40	30-1-51-1	7281641500457755	Hawaiian	hawa1245	the sky	SKY	1732		lani	lani 
41	30-1-52-1	7281641395640479	Hawaiian	hawa1245	the sun	SUN	1343		lā (1)	lā (1) 
42	30-1-53-1	7281641807712670	Hawaiian	hawa1245	the moon	MOON	1313		mahina	mahina 
43	30-1-54-1	7281641847857119	Hawaiian	hawa1245	the star	STAR	1430		hōkū	hōkū 
44	30-1-55-1	7281641196464492	Hawaiian	hawa1245	the lightning	LIGHTNING	1654		uila	uila 
45	30-1-56-1	728164177440559	Hawaiian	hawa1245	the thunder	THUNDER	1150		hekili	hekili 
46	30-1-57-1	7281641196464492	Hawaiian	hawa1245	the bolt of lightning	BOLT (OF LIGHTNING)	2007		uila	uila 
47	30-1-58-1	7281641685340972	Hawaiian	hawa1245	the storm	STORM	858		`ino (1)	`ino (1) 
48	30-1-59-1	7281641399417178	Hawaiian	hawa1245	the rainbow	RAINBOW	1733		ānuenue	ānuenue 
49	30-1-61-1	7281641645840904	Hawaiian	hawa1245	the light	LIGHT (RADIATION)	630		kukui	kukui 
50	30-1-62-1	7281641926867682	Hawaiian	hawa1245	the darkness	DARKNESS	11		pō`ele`ele	pō`ele`ele 
51	30-1-63-1	7281641543810037	Hawaiian	hawa1245	the shade or shadow	SHADE	1388		malu	malu 
52	30-1-64-1	7281641472964949	Hawaiian	hawa1245	the dew	DEW	1977		hau	hau 
53	30-1-71-1	7281641427533204	Hawaiian	hawa1245	the air	AIR	27		ea	ea 
54	30-1-72-1	7281641330206727	Hawaiian	hawa1245	the wind	WIND	960		makani	makani 
55	30-1-73-1	7281641292796727	Hawaiian	hawa1245	the cloud	CLOUD	1489		ao (1)	ao (1) 
56	30-1-74-1	7281641947697751	Hawaiian	hawa1245	the fog	FOG	249		`ohu	`ohu 
57	30-1-75-1	7281641815055848	Hawaiian	hawa1245	the rain	RAIN (PRECIPITATION)	658		ua	ua 
58	30-1-76-1	7281641472964949	Hawaiian	hawa1245	the snow	SNOW	784		hau	hau 
59	30-1-77-1	7281641472964949	Hawaiian	hawa1245	the ice	ICE	617		hau	hau 
60	30-1-78-1	7281641441426159	Hawaiian	hawa1245	the weather	WEATHER	952		anilā	anilā 
61	30-1-81-1	7281641209789279	Hawaiian	hawa1245	the fire	FIRE	221		ahi	ahi 
62	30-1-82-1	7281641973407356	Hawaiian	hawa1245	the flame	FLAME	889		lapa ahi	lapa ahi 
63	30-1-83-1	7281641672358875	Hawaiian	hawa1245	the smoke	SMOKE (EXHAUST)	778		uahi	uahi 
64	30-1-84-1	7281641880702493	Hawaiian	hawa1245	the ash	ASH	646		lehu	lehu 
65	30-1-851-1	7281641970978381	Hawaiian	hawa1245	to burn(1)	BURN (SOMETHING)	141		puhi (1)	puhi (1) 
66	30-1-852-1	7281641811556157	Hawaiian	hawa1245	to burn(2)	BURNING	1428		`ā	`ā 
67	30-1-86-1	728164139803590	Hawaiian	hawa1245	to light	LIGHT (IGNITE)	737		hō`ā	hō`ā 
68	30-1-861-1	7281641307245479	Hawaiian	hawa1245	to extinguish	EXTINGUISH	127		ho`opio	ho`opio 
69	30-1-88-1	7281641533029099	Hawaiian	hawa1245	the firewood	FIREWOOD	10		wahie	wahie 
70	30-1-89-1	7281641823297244	Hawaiian	hawa1245	the charcoal	CHARCOAL	1188		nānahu	nānahu 
71	30-2-1-1	7281641775897933	Hawaiian	hawa1245	the person	PERSON	683		kanaka	kanaka 
72	30-2-21-1	7281641775897933	Hawaiian	hawa1245	the man	MAN	1554		kanaka	kanaka 
73	30-2-22-1	728164160836913	Hawaiian	hawa1245	the woman	WOMAN	962		wahine (1)	wahine (1) 
74	30-2-23-1	7281641679324445	Hawaiian	hawa1245	male(1)	MALE (OF ANIMAL)	2263		kāne (1)	kāne (1) 
