ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	25-1-1-1	76151732901162192	White Hmong	hmon1333	the world	WORLD	965		ntiaj teb	ntiaj teb 
2	25-1-21-1	76151732424487838	White Hmong	hmon1333	the land	LAND	626		teb (1)	teb (1) 
3	25-1-212-1	76151732260686801	White Hmong	hmon1333	the soil	EARTH (SOIL)	1228		av	av 
4	25-1-213-1	76151732535984369	White Hmong	hmon1333	the dust	DUST	2		hmoov av	hmoov av 
5	25-1-213-2	7615173264600828	White Hmong	hmon1333	the dust	DUST	2		plua tshauv	plua tshauv 
6	25-1-214-1	76151732588950970	White Hmong	hmon1333	the mud	MUD	640		av nkos	av nkos 
7	25-1-215-1	76151732880585769	White Hmong	hmon1333	the sand	SAND	671		hmoov zeb	hmoov zeb 
8	25-1-215-2	76151732228656871	White Hmong	hmon1333	the sand	SAND	671		xuab zeb	xuab zeb 
9	25-1-22-1	76151732874561830	White Hmong	hmon1333	the mountain or hill	MOUNTAIN OR HILL	2118		roob	roob 
10	25-1-22-2	76151732136020348	White Hmong	hmon1333	the mountain or hill	MOUNTAIN OR HILL	2118		toj	toj 
11	25-1-22-3	76151732967501432	White Hmong	hmon1333	the mountain or hill	MOUNTAIN OR HILL	2118		pob-tsuas	pob-tsuas 
12	25-1-222-1	76151732232483860	White Hmong	hmon1333	the cliff or precipice	PRECIPICE	618		tsag	tsag 
13	25-1-23-1	7615173292134704	White Hmong	hmon1333	the plain	PLAIN	652		tiaj-nrag	tiaj-nrag 
14	25-1-24-1	76151732829832424	White Hmong	hmon1333	the valley	VALLEY	921		hav	hav 
15	25-1-25-1	76151732661893487	White Hmong	hmon1333	the island	ISLAND	622		pov-txwv	pov-txwv 
16	25-1-25-2	76151732751841375	White Hmong	hmon1333	the island	ISLAND	622		kob	kob 
17	25-1-27-1	76151732888338417	White Hmong	hmon1333	the shore	SHORE	113		ntug dej	ntug dej 
18	25-1-28-1	76151732745199536	White Hmong	hmon1333	the cave	CAVE	1155		qhov tsua	qhov tsua 
19	25-1-31-1	76151732521874774	White Hmong	hmon1333	the water	WATER	948		dej	dej 
20	25-1-32-1	76151732358241834	White Hmong	hmon1333	the sea	SEA	1474		hiav-txwv	hiav-txwv 
21	25-1-322-1	76151732135369015	White Hmong	hmon1333	calm	CALM	258		dej ntaug lawm	dej ntaug lawm 
22	25-1-323-1	76151732402868269	White Hmong	hmon1333	rough(2)	ROUGH (OF SEA)	259		dej nplawm	dej nplawm 
23	25-1-324-1	76151732519216578	White Hmong	hmon1333	the foam	FOAM	1768		npuas dej	npuas dej 
24	25-1-33-1	76151732329911003	White Hmong	hmon1333	the lake	LAKE	624		pas dej	pas dej 
25	25-1-35-1	76151732228040254	White Hmong	hmon1333	the wave	WAVE	978		nthwv dej	nthwv dej 
