Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
-		d’oʔ-, hipãh-	Hup	389	U+002d
^b’	b’				
b’$	b’				
b’	b’				
d’	d’				
^d’	d’				
^j’	ɟ’				
j’	ɟ’				
^g’	g’				
g’	g’				
^y’	j’				
y’	j’				
m’	m’				
^m’	m’				
^n’	n’				
n’	n’				
n’$	n’				
w’	w’				
^w’	w’				
w’$	w’				
c’	c’				
^c’	c’				
a	a	cadakǎʔ, kawádu	Hup	197	U+0061
^h	h	hipãh-, hɔni-	Hup	152	U+005e U+0068
^t	t	tǎh, tɨ́h	Hup	151	U+005e U+0074
ʔ$	ʔ	d’oʔ-, bɨʔ-	Hup	149	U+0294 U+0024
_	_	teg hɔ̃, páy bɨʔ-	Hup	139	U+005f
y	j	ʔayǔpyɨʔ, tãʔã´y yud	Hup	138	U+0079
t	t	pǝpə́dteg, togtúg	Hup	134	U+0074
ɔ	ɔ	wɔy-, tɔn-	Hup	118	U+0254
h	h	teg hɔ̃, nuh hohód	Hup	118	U+0068
h$	h	hipãh-, tɨ́h	Hup	115	U+0068 U+0024
á	á/a	kawádu, báb’	Hup	115	U+00e1
ɨ	ɨ	tɨhɨ́tyɨʔ, bɨʔ-	Hup	108	U+0268
^c	c	cak-, cadakǎʔ	Hup	106	U+005e U+0063
o	o	d’oʔ-, totoy-	Hup	106	U+006f
ʔ	ʔ	pæ̃ʔǽy’, tãʔáy	Hup	106	U+0294
d	d	pǝpə́dteg, kawádu	Hup	105	U+0064
i	i	hipãh-, tiyǐʔ	Hup	102	U+0069
p	p	hipãh-, pǝpə́dteg	Hup	99	U+0070
g$	g	pǝpə́dteg, těg	Hup	94	U+0067 U+0024
u	u	tujd’ak-, duʔ-	Hup	94	U+0075
^p	p	pǝpə́dteg, pæ̃ʔǽy’	Hup	91	U+005e U+0070
b	b	báb’, báb’d’ǝh	Hup	90	U+0062
e	e	pǝpə́dteg, teg hɔ̃	Hup	90	U+0065
^b	b	bɨʔ-, báb’	Hup	90	U+005e U+0062
ǝ	ǝ	pǝpə́dteg, báb’d’ǝh	Hup	85	U+01dd
y$	j	wɔy-, b’oy-	Hup	85	U+0079 U+0024
^ʔ	ʔ	ʔɨ́d, ʔɨ́n	Hup	78	U+005e U+0294
c	c	buycóʔ, tɨhcúm	Hup	76	U+0063
k$	k	cak-, j’ɨ̌k	Hup	73	U+006b U+0024
^d	d	d’oʔ-, du-	Hup	71	U+005e U+0064
w	w	kawádu, hɔ wowǒw’	Hup	69	U+0077
n	n	hɔni-, tæ̃ʔnɔ-	Hup	69	U+006e
^w	w	wɔy-, wædhɔ́	Hup	68	U+005e U+0077
^k	k	kawádu, key-	Hup	68	U+005e U+006b
m	m	yumb’ǒy mɔy, mɔmb’ɔ́k	Hup	68	U+006d
æ	æ	wædhɔ́, kæmæm-	Hup	65	U+00e6
^m	m	mɔy túʔ, mɔmb’ɔ́k	Hup	65	U+005e U+006d
^n	n	náŋ, náw	Hup	65	U+005e U+006e
d$	d	ʔɨ́d, pǔd	Hup	62	U+0064 U+0024
ã	ã	hipãh-, tãʔã´y yud	Hup	62	U+00e3
^y	j	yæ̃wæ̃c-, yumb’ǒy mɔy	Hup	61	U+005e U+0079
g	g	teg hɔ̃, bug’g’et-	Hup	58	U+0067
k	k	cadakǎʔ, d’oʔkawa-	Hup	56	U+006b
