ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	39-1-1-1	7251454112097635	Hup	hupd1244	the world	WORLD	965		j’áh	j’áh 
2	39-1-21-1	7251454112097635	Hup	hupd1244	the land	LAND	626		j’áh	j’áh 
3	39-1-212-1	7251454559630370	Hup	hupd1244	the soil	EARTH (SOIL)	1228		m’ǎj’	m’ǎj’ 
4	39-1-213-1	7251454815876731	Hup	hupd1244	the dust	DUST	2		mɔy j’ɨ̌k	mɔy j’ɨ̌k 
5	39-1-214-1	7251454138801649	Hup	hupd1244	the mud	MUD	640		b’ɔ̌k	b’ɔ̌k 
6	39-1-215-1	7251454564394786	Hup	hupd1244	the sand	SAND	671		wæg yɔ̌h	wæg yɔ̌h 
7	39-1-22-1	7251454206825192	Hup	hupd1244	the mountain or hill	MOUNTAIN OR HILL	2118		pǎç (1)	pǎç (1) 
8	39-1-222-1	7251454206825192	Hup	hupd1244	the cliff or precipice	PRECIPICE	618		pǎç (1)	pǎç (1) 
9	39-1-23-1	7251454279988503	Hup	hupd1244	the plain	PLAIN	652		hohód	hohód 
10	39-1-25-1	7251454389113948	Hup	hupd1244	the island	ISLAND	622		pód	pód 
11	39-1-27-1	725145456374369	Hup	hupd1244	the shore	SHORE	113		deh pə̌w	deh pə̌w 
12	39-1-28-1	7251454623487861	Hup	hupd1244	the cave	CAVE	1155		pǎç mɔy	pǎç mɔy 
13	39-1-31-1	7251454775694766	Hup	hupd1244	the water	WATER	948		děh	děh 
14	39-1-324-1	7251454479635109	Hup	hupd1244	the foam	FOAM	1768		pǔh	pǔh 
15	39-1-33-1	7251454527130631	Hup	hupd1244	the lake	LAKE	624		mɔ́h	mɔ́h 
16	39-1-35-1	725145417063548	Hup	hupd1244	the wave	WAVE	978		ʔaʔáb	ʔaʔáb 
17	39-1-35-2	7251455824648850	Hup	hupd1244	the wave	WAVE	978		capáw’	capáw’ 
18	39-1-36-1	7251454541914141	Hup	hupd1244	the river or stream	RIVER	666		dehmí	dehmí 
19	39-1-36-2	725145512941037	Hup	hupd1244	the river or stream	RIVER	666		má	má 
