Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	sachaguagra, mama llakta	Imbabura Quechua	920	U+0061
a$	a	punchalla, wagra	Imbabura Quechua	624	U+0061 U+0024
i	i	mutijina, bitsijana	Imbabura Quechua	594	U+0069
n	n	shungunchina, punchalla	Imbabura Quechua	542	U+006e
u	u	kutuk rumi, kuchuna	Imbabura Quechua	526	U+0075
k	k	llaki, wañushka	Imbabura Quechua	261	U+006b
r	r	wagra, kara	Imbabura Quechua	237	U+0072
u$	u	kiru, rasu	Imbabura Quechua	198	U+0075 U+0024
t	t	jatun, mutijina	Imbabura Quechua	181	U+0074
^k	k	kaspi, kara	Imbabura Quechua	154	U+005e U+006b
ch	ch	wañuchina, punchalla	Imbabura Quechua	151	U+0063 U+0068
m	m	shimi, ñawi milma	Imbabura Quechua	144	U+006d
i$	i	shimi, llaki	Imbabura Quechua	134	U+0069 U+0024
_	_	kayna chay shuk puncha, mana ali rimak	Imbabura Quechua	124	U+005f
p	p	ñaupashpa apana, allpa	Imbabura Quechua	119	U+0070
y	y	tiya, kayllayana	Imbabura Quechua	116	U+0079
l	l	kulki, pilchi	Imbabura Quechua	112	U+006c
ll	ll	punchalla, allpa	Imbabura Quechua	110	U+006c U+006c
^a	a	allpa, apuk	Imbabura Quechua	103	U+005e U+0061
^p	p	pay, pamba	Imbabura Quechua	100	U+005e U+0070
^m	m	mutijina, mikuna	Imbabura Quechua	96	U+005e U+006d
s	s	kaspi, aspina	Imbabura Quechua	94	U+0073
sh	sh	wañushka, kushni	Imbabura Quechua	84	U+0073 U+0068
g	g	sachaguagra, wagra	Imbabura Quechua	80	U+0067
b	b	pamba, tabaku	Imbabura Quechua	79	U+0062
^t	t	tiya, tabaku	Imbabura Quechua	74	U+005e U+0074
^s	s	sina, sillu	Imbabura Quechua	67	U+005e U+0073
d	d	didu, azadun	Imbabura Quechua	64	U+0064
j	j	mutijina, bitsijana	Imbabura Quechua	59	U+006a
^ch	ch	chita, changa	Imbabura Quechua	55	U+005e U+0063 U+0068
^w	w	wagra, wañuchina	Imbabura Quechua	50	U+005e U+0077
w	w	wawachina, ruku wawki	Imbabura Quechua	50	U+0077
^u	u	uchilla, utuju	Imbabura Quechua	49	U+005e U+0075
^y	y	yachajuna, yaku wambuy	Imbabura Quechua	48	U+005e U+0079
^j	j	jatun, jirru	Imbabura Quechua	46	U+005e U+006a
^b	b	bitsijana, biga	Imbabura Quechua	43	U+005e U+0062
n$	n	jatun, ñan	Imbabura Quechua	39	U+006e U+0024
^r	r	raka, rasu	Imbabura Quechua	37	U+005e U+0072
y$	y	pay, yaku wambuy	Imbabura Quechua	37	U+0079 U+0024
^i	i	iglizya, ima pacha	Imbabura Quechua	34	U+005e U+0069
^ll	ll	llaki, llama	Imbabura Quechua	33	U+005e U+006c U+006c
k$	k	apuk, ñukanchik	Imbabura Quechua	30	U+006b U+0024
s$	s	añas, alas	Imbabura Quechua	28	U+0073 U+0024
ñ	ñ	wañuchina, wañushka	Imbabura Quechua	27	U+00f1
^sh	sh	shimi, shuwak	Imbabura Quechua	24	U+005e U+0073 U+0068
^ñ	ñ	ñan, ñawi milma	Imbabura Quechua	23	U+005e U+00f1
z	z	iglizya, azadun	Imbabura Quechua	22	U+007a
e	e	tenedur, serbisa	Imbabura Quechua	20	U+0065
