ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	37-1-1-1	71291454245634986	Imbabura Quechua	imba1240	the world	WORLD	965		pacha mama	pacha mama 
2	37-1-21-1	71291454492231535	Imbabura Quechua	imba1240	the land	LAND	626		allpa	allpa 
3	37-1-212-1	71291454492231535	Imbabura Quechua	imba1240	the soil	EARTH (SOIL)	1228		allpa	allpa 
4	37-1-213-1	71291454323311499	Imbabura Quechua	imba1240	the dust	DUST	2		allpa jaku	allpa jaku 
5	37-1-214-1	71291454877164919	Imbabura Quechua	imba1240	the mud	MUD	640		turu (1)	turu (1) 
6	37-1-215-1	71291454615386452	Imbabura Quechua	imba1240	the sand	SAND	671		tiyu	tiyu 
7	37-1-22-1	71291454567783771	Imbabura Quechua	imba1240	the mountain or hill	MOUNTAIN OR HILL	2118		urku	urku 
8	37-1-222-1	71291454172268854	Imbabura Quechua	imba1240	the cliff or precipice	PRECIPICE	618		jaka	jaka 
9	37-1-23-1	71291454334426283	Imbabura Quechua	imba1240	the plain	PLAIN	652		pamba	pamba 
10	37-1-24-1	71291454558658147	Imbabura Quechua	imba1240	the valley	VALLEY	921		yunga	yunga 
11	37-1-27-1	71291454846452679	Imbabura Quechua	imba1240	the shore	SHORE	113		manya (2)	manya (2) 
12	37-1-28-1	71291454617850437	Imbabura Quechua	imba1240	the cave	CAVE	1155		utuju	utuju 
13	37-1-31-1	71291454695957240	Imbabura Quechua	imba1240	the water	WATER	948		yaku	yaku 
14	37-1-32-1	71291454327586385	Imbabura Quechua	imba1240	the sea	SEA	1474		mama kucha	mama kucha 
15	37-1-324-1	71291454174481342	Imbabura Quechua	imba1240	the foam	FOAM	1768		putsuju	putsuju 
16	37-1-329-1	71291454327586385	Imbabura Quechua	imba1240	the ocean	OCEAN	645		mama kucha	mama kucha 
17	37-1-33-1	71291454426916287	Imbabura Quechua	imba1240	the lake	LAKE	624		kucha	kucha 
18	37-1-341-1	71291454426916287	Imbabura Quechua	imba1240	the lagoon	LAGOON	623		kucha	kucha 
19	37-1-35-1	71291454481959054	Imbabura Quechua	imba1240	the wave	WAVE	978		yaku wambuy	yaku wambuy 
20	37-1-352-1	71291454481959054	Imbabura Quechua	imba1240	the tide	TIDE	891		yaku wambuy	yaku wambuy 
21	37-1-36-1	71291454240097483	Imbabura Quechua	imba1240	the river or stream	RIVER	666		mayu	mayu 
22	37-1-362-1	71291454643952579	Imbabura Quechua	imba1240	the whirlpool	WHIRLPOOL	1982		yaku akapana	yaku akapana 
23	37-1-37-1	7129145417967464	Imbabura Quechua	imba1240	the spring or well	SPRING OR WELL	2144		pukyu	pukyu 
24	37-1-38-1	71291454373020763	Imbabura Quechua	imba1240	the swamp	SWAMP	1145		turu allpa	turu allpa 
25	37-1-39-1	71291454467062466	Imbabura Quechua	imba1240	the waterfall	WATERFALL	943		fajcha	fajcha 
26	37-1-41-1	7129145417173337	Imbabura Quechua	imba1240	the woods or forest	FOREST	420		sacha	sacha 
27	37-1-43-1	71291454686293288	Imbabura Quechua	imba1240	the wood	WOOD	1803		kaspi	kaspi 
28	37-1-44-1	71291454379228213	Imbabura Quechua	imba1240	the stone or rock	STONE OR ROCK	2125		rumi	rumi 
29	37-1-45-1	71291454977072073	Imbabura Quechua	imba1240	the earthquake	EARTHQUAKE	6		allpa chukchuy	allpa chukchuy 
30	37-1-51-1	71291454646065797	Imbabura Quechua	imba1240	the sky	SKY	1732		jawa pacha	jawa pacha 
