ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	27-1-1-1	71261839185975180	Indonesian	indo1316	the world	WORLD	965		dunia	dunia 
2	27-1-1-2	71261839251608746	Indonesian	indo1316	the world	WORLD	965		alam	alam 
3	27-1-1-3	71261840940427094	Indonesian	indo1316	the world	WORLD	965		jagat	jagat 
4	27-1-1-4	71261840205937285	Indonesian	indo1316	the world	WORLD	965		buana	buana 
5	27-1-21-1	71261839350467166	Indonesian	indo1316	the land	LAND	626		darat	darat 
6	27-1-21-2	71261839469494347	Indonesian	indo1316	the land	LAND	626		tanah	tanah 
7	27-1-21-3	71261839973357165	Indonesian	indo1316	the land	LAND	626		bumi	bumi 
8	27-1-212-1	71261839469494347	Indonesian	indo1316	the soil	EARTH (SOIL)	1228		tanah	tanah 
9	27-1-213-1	71261839743896411	Indonesian	indo1316	the dust	DUST	2		debu	debu 
10	27-1-213-2	71224103261647514	Indonesian	indo1316	the dust	DUST	2		serdak	serdak 
11	27-1-213-3	71224104194539220	Indonesian	indo1316	the dust	DUST	2		duli	duli 
12	27-1-214-1	71261839857385612	Indonesian	indo1316	the mud	MUD	640		lumpur	lumpur 
13	27-1-215-1	71261839768877642	Indonesian	indo1316	the sand	SAND	671		pasir	pasir 
14	27-1-22-1	71261839745070061	Indonesian	indo1316	the mountain or hill	MOUNTAIN OR HILL	2118		gunung	gunung 
15	27-1-22-2	71261839787748630	Indonesian	indo1316	the mountain or hill	MOUNTAIN OR HILL	2118		bukit	bukit 
16	27-1-222-1	71261839539828288	Indonesian	indo1316	the cliff or precipice	PRECIPICE	618		tebing	tebing 
17	27-1-23-1	7126183976460802	Indonesian	indo1316	the plain	PLAIN	652		dataran	dataran 
18	27-1-23-2	71261839703691381	Indonesian	indo1316	the plain	PLAIN	652		padang	padang 
19	27-1-23-3	71261840249566290	Indonesian	indo1316	the plain	PLAIN	652		médan	médan 
20	27-1-24-1	71261839567998287	Indonesian	indo1316	the valley	VALLEY	921		lembah	lembah 
21	27-1-25-1	71261839853285122	Indonesian	indo1316	the island	ISLAND	622		pulau	pulau 
22	27-1-25-2	7126183946447102	Indonesian	indo1316	the island	ISLAND	622		nusa	nusa 
23	27-1-26-1	71261839110690555	Indonesian	indo1316	the mainland	MAINLAND	166		daratan	daratan 
24	27-1-27-1	71261839952835714	Indonesian	indo1316	the shore	SHORE	113		pantai	pantai 
25	27-1-27-2	71261839785439252	Indonesian	indo1316	the shore	SHORE	113		pesisir	pesisir 
