Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	hhawata, hhamhhamo	Iraqw	613	U+0061
l	l	pilipili, tlaw	Iraqw	268	U+006c
r	r	miringa, garma	Iraqw	239	U+0072
n	n	miringa, aangw	Iraqw	230	U+006e
a$	a	na, ga	Iraqw	222	U+0061 U+0024
aa	aa	baaba, inslaahh	Iraqw	213	U+0061 U+0061
i	i	miringa, pilipili	Iraqw	205	U+0069
m	m	garma, aama	Iraqw	194	U+006d
i$	i	dasi, ki	Iraqw	168	U+0069 U+0024
u	u	fuquno, gurungura	Iraqw	157	U+0075
t	t	hhawata, hhuutl	Iraqw	135	U+0074
^a	a	al, angw	Iraqw	130	U+005e U+0061
ee	ee	sleemeero, gweer	Iraqw	122	U+0065 U+0065
^d	d	da, dasi	Iraqw	116	U+005e U+0064
ii	ii	niina, slipiis	Iraqw	113	U+0069 U+0069
s	s	dasi, lohiis ar saga	Iraqw	109	U+0073
^m	m	miringa, maar	Iraqw	93	U+005e U+006d
^g	g	ga, garma	Iraqw	91	U+005e U+0067
o$	o	hhamhhamo, fuquno	Iraqw	88	U+006f U+0024
_	_	lohiis ar saga, aymár tsiindo	Iraqw	87	U+005f
oo	oo	loo'aa, hhoo'	Iraqw	83	U+006f U+006f
^s	s	sahaani, slipiis	Iraqw	78	U+005e U+0073
y	y	ayma, hhiya'	Iraqw	76	U+0079
k	k	dakuus, mankari	Iraqw	75	U+006b
^k	k	ki, koom	Iraqw	75	U+005e U+006b
uu	uu	dakuus, hhuutl	Iraqw	75	U+0075 U+0075
s$	s	iis, dakuus	Iraqw	74	U+0073 U+0024
^t	t	tleehh, tla	Iraqw	71	U+005e U+0074
o	o	sokno'oot, motsotsoqoos	Iraqw	69	U+006f
t$	t	hoot, eet	Iraqw	65	U+0074 U+0024
^h	h	hoomaa, hoot	Iraqw	63	U+005e U+0068
^ts	ts	tsa, tsee	Iraqw	63	U+005e U+0074 U+0073
w	w	hhawata, gawa	Iraqw	62	U+0077
g	g	miringa, kupiga rangi	Iraqw	61	U+0067
^b	b	baaba, basa	Iraqw	58	U+005e U+0062
y$	y	aay, ganslay	Iraqw	55	U+0079 U+0024
'$	<?>	hhoo', a'	Iraqw	54	U+0027 U+0024
d	d	mdudu, aymár tsiindo	Iraqw	54	U+0064
q	q	fuquno, tlaqarmo	Iraqw	53	U+0071
r$	r	gweer, maar	Iraqw	53	U+0072 U+0024
^i	i	inslaahh, intsaahh	Iraqw	49	U+005e U+0069
f	f	mar'afi, afa	Iraqw	48	U+0066
á	á	aymár tsiindo, baráa	Iraqw	47	U+00e1
e	e	se'eengw, de'eeamusmo	Iraqw	46	U+0065
b	b	baaba, dóo hibambi	Iraqw	46	U+0062
hh	hh	sluhhoo, harahhiif	Iraqw	44	U+0068 U+0068
gw$	gw	angw, aangw	Iraqw	44	U+0067 U+0077 U+0024
ts	ts	motsotsooq, gitsee	Iraqw	43	U+0074 U+0073
^hh	hh	hhawata, hhamhhamo	Iraqw	43	U+005e U+0068 U+0068
m$	m	aam, koom	Iraqw	42	U+006d U+0024
u$	u	alu, aamu	Iraqw	41	U+0075 U+0024
l$	l	hhuutl, al	Iraqw	40	U+006c U+0024
ee$	ee	tsee, gitsee	Iraqw	39	U+0065 U+0065 U+0024
^l	l	loo'aa, laqwaal	Iraqw	37	U+005e U+006c
