ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	2-1-1-1	72141423577883891	Iraqw	iraq1241	the world	WORLD	965		yaamu	yaamu 
2	2-1-21-1	7214142329897819	Iraqw	iraq1241	the land	LAND	626		hhapee	hhapee 
3	2-1-212-1	7214142329897819	Iraqw	iraq1241	the soil	EARTH (SOIL)	1228		hhapee	hhapee 
4	2-1-213-1	72141423462525935	Iraqw	iraq1241	the dust	DUST	2		teeri	teeri 
5	2-1-214-1	72141423387777839	Iraqw	iraq1241	the mud	MUD	640		baa/i	baa 
6	2-1-214-2	72141423387777839	Iraqw	iraq1241	the mud	MUD	640		baa/i	i 
7	2-1-215-1	72141423833616217	Iraqw	iraq1241	the sand	SAND	671		hhasaangw	hhasaangw 
8	2-1-22-1	72141423250687267	Iraqw	iraq1241	the mountain or hill	MOUNTAIN OR HILL	2118		tlooma	tlooma 
9	2-1-222-1	72141423602378630	Iraqw	iraq1241	the cliff or precipice	PRECIPICE	618		bela	bela 
10	2-1-23-1	72141424371979110	Iraqw	iraq1241	the plain	PLAIN	652		xatsa	xatsa 
11	2-1-24-1	72141423609600718	Iraqw	iraq1241	the valley	VALLEY	921		duxa	duxa 
12	2-1-25-1	72141423258352881	Iraqw	iraq1241	the island	ISLAND	622		kisiwa	kisiwa 
13	2-1-26-1	72141423261463744	Iraqw	iraq1241	the mainland	MAINLAND	166		bara (1)	bara (1) 
14	2-1-27-1	72141423512203300	Iraqw	iraq1241	the shore	SHORE	113		afa tlawi	afa tlawi 
15	2-1-28-1	72141423801381127	Iraqw	iraq1241	the cave	CAVE	1155		mar'i	mar'i 
16	2-1-31-1	72141423902049243	Iraqw	iraq1241	the water	WATER	948		ma'ay	ma'ay 
17	2-1-32-1	72141423733687384	Iraqw	iraq1241	the sea	SEA	1474		bahari	bahari 
18	2-1-324-1	72141423234684990	Iraqw	iraq1241	the foam	FOAM	1768		slooroo	slooroo 
19	2-1-33-1	72141423155508036	Iraqw	iraq1241	the lake	LAKE	624		tlawi	tlawi 
20	2-1-35-1	7214142371184358	Iraqw	iraq1241	the wave	WAVE	978		gwaanda (1)	gwaanda (1) 
21	2-1-36-1	72141423317184322	Iraqw	iraq1241	the river or stream	RIVER	666		ya'ee	ya'ee 
22	2-1-362-1	72141423899462545	Iraqw	iraq1241	the whirlpool	WHIRLPOOL	1982		dahhsani	dahhsani 
23	2-1-37-1	72141423122111026	Iraqw	iraq1241	the spring or well	SPRING OR WELL	2144		tsinqa	tsinqa 
