ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	34-1-1-1	72119190921743	Q'eqchi'	kekc1242	the world	WORLD	965		ru chi ch’och’	ru chi ch’och’ 
2	34-1-21-1	72119159316174	Q'eqchi'	kekc1242	the land	LAND	626		ch’och’	ch’och’ 
3	34-1-212-1	72119159316174	Q'eqchi'	kekc1242	the soil	EARTH (SOIL)	1228		ch’och’	ch’och’ 
4	34-1-213-1	721191478611740	Q'eqchi'	kekc1242	the dust	DUST	2		poqs	poqs 
5	34-1-214-1	721191407650184	Q'eqchi'	kekc1242	the mud	MUD	640		sulul	sulul 
6	34-1-215-1	721191677576804	Q'eqchi'	kekc1242	the sand	SAND	671		samahi’	samahi’ 
7	34-1-22-1	721191374295814	Q'eqchi'	kekc1242	the mountain or hill	MOUNTAIN OR HILL	2118		tzuul	tzuul 
8	34-1-222-1	721191445474705	Q'eqchi'	kekc1242	the cliff or precipice	PRECIPICE	618		uul	uul 
9	34-1-23-1	721191533223692	Q'eqchi'	kekc1242	the plain	PLAIN	652		taq’a	taq’a 
10	34-1-24-1	721191533223692	Q'eqchi'	kekc1242	the valley	VALLEY	921		taq’a	taq’a 
11	34-1-25-1	721191656374772	Q'eqchi'	kekc1242	the island	ISLAND	622		xyampi ha’	xyampi ha’ 
12	34-1-25-2	721191830433704	Q'eqchi'	kekc1242	the island	ISLAND	622		ch’och’ sutsu chi ha’	ch’och’ sutsu chi ha’ 
13	34-1-26-1	721191297631743	Q'eqchi'	kekc1242	the mainland	MAINLAND	166		kontineent	kontineent 
14	34-1-27-1	721191779108984	Q'eqchi'	kekc1242	the shore	SHORE	113		chi re ha’	chi re ha’ 
15	34-1-28-1	721191897441057	Q'eqchi'	kekc1242	the cave	CAVE	1155		ochoch pek	ochoch pek 
16	34-1-28-2	721191976694515	Q'eqchi'	kekc1242	the cave	CAVE	1155		siwan	siwan 
17	34-1-31-1	72119169372667	Q'eqchi'	kekc1242	the water	WATER	948		ha’	ha’ 
18	34-1-32-1	721191967232283	Q'eqchi'	kekc1242	the sea	SEA	1474		palaw	palaw 
19	34-1-322-1	721191692515918	Q'eqchi'	kekc1242	calm	CALM	258		ch’anaak	ch’anaak 
20	34-1-324-1	721191597409528	Q'eqchi'	kekc1242	the foam	FOAM	1768		woqx	woqx 
21	34-1-329-1	721191967232283	Q'eqchi'	kekc1242	the ocean	OCEAN	645		palaw	palaw 
22	34-1-33-1	721191967232283	Q'eqchi'	kekc1242	the lake	LAKE	624		palaw	palaw 
23	34-1-33-2	721191746702314	Q'eqchi'	kekc1242	the lake	LAKE	624		pumpuukil ha’	pumpuukil ha’ 
24	34-1-341-1	721191746702314	Q'eqchi'	kekc1242	the lagoon	LAGOON	623		pumpuukil ha’	pumpuukil ha’ 
25	34-1-342-1	7911758565367438	Q'eqchi'	kekc1242	the reef	REEF	660		pekil ha’	pekil ha’ 
26	34-1-35-1	7211911003641	Q'eqchi'	kekc1242	the wave	WAVE	978		b’oolha’	b’oolha’ 
27	34-1-36-1	721191966108615	Q'eqchi'	kekc1242	the river or stream	RIVER	666		nima’	nima’ 
28	34-1-362-1	721191517244615	Q'eqchi'	kekc1242	the whirlpool	WHIRLPOOL	1982		suut ha’	suut ha’ 
29	34-1-37-1	721191856187296	Q'eqchi'	kekc1242	the spring or well	SPRING OR WELL	2144		tuq	tuq 
30	34-1-37-2	721191685714816	Q'eqchi'	kekc1242	the spring or well	SPRING OR WELL	2144		ch’ina ha’	ch’ina ha’ 
31	34-1-37-3	721191337919862	Q'eqchi'	kekc1242	the spring or well	SPRING OR WELL	2144		kumb’	kumb’ 
32	34-1-37-4	72119168591977	Q'eqchi'	kekc1242	the spring or well	SPRING OR WELL	2144		k’ak’naab’	k’ak’naab’ 
33	34-1-38-1	721191150716015	Q'eqchi'	kekc1242	the swamp	SWAMP	1145		saab’	saab’ 
34	34-1-38-2	72119135750855	Q'eqchi'	kekc1242	the swamp	SWAMP	1145		k’anha’	k’anha’ 
35	34-1-39-1	721191652190461	Q'eqchi'	kekc1242	the waterfall	WATERFALL	943		pach’il ha’	pach’il ha’ 
36	34-1-39-2	72119165194661	Q'eqchi'	kekc1242	the waterfall	WATERFALL	943		xpisk’ ha’	xpisk’ ha’ 
37	34-1-41-1	72119187969795	Q'eqchi'	kekc1242	the woods or forest	FOREST	420		k’iche’	k’iche’ 
38	34-1-43-1	721191375603805	Q'eqchi'	kekc1242	the wood	WOOD	1803		che’	che’ 
39	34-1-44-1	721191741013700	Q'eqchi'	kekc1242	the stone or rock	STONE OR ROCK	2125		pek	pek 
40	34-1-45-1	721191469616650	Q'eqchi'	kekc1242	the earthquake	EARTHQUAKE	6		hiik	hiik 
41	34-1-51-1	721191949436135	Q'eqchi'	kekc1242	the sky	SKY	1732		choxa, choxaal	choxa 
42	34-1-51-2	721191949436135	Q'eqchi'	kekc1242	the sky	SKY	1732		choxa, choxaal	choxaal 
43	34-1-52-1	721191753023728	Q'eqchi'	kekc1242	the sun	SUN	1343		saq’e	saq’e 
44	34-1-53-1	721191134483627	Q'eqchi'	kekc1242	the moon	MOON	1313		po	po 
45	34-1-54-1	721191883156961	Q'eqchi'	kekc1242	the star	STAR	1430		chahim	chahim 
46	34-1-55-1	721191659029919	Q'eqchi'	kekc1242	the lightning	LIGHTNING	1654		raq’kaaq	raq’kaaq 
47	34-1-55-2	721191554410313	Q'eqchi'	kekc1242	the lightning	LIGHTNING	1654		lemskaaq	lemskaaq 
48	34-1-55-3	721191388591441	Q'eqchi'	kekc1242	the lightning	LIGHTNING	1654		xrepom kaaq	xrepom kaaq 
49	34-1-55-4	721191695648065	Q'eqchi'	kekc1242	the lightning	LIGHTNING	1654		repom	repom 
50	34-1-56-1	721191732303391	Q'eqchi'	kekc1242	the thunder	THUNDER	1150		kaaq	kaaq 
51	34-1-57-1	721191732303391	Q'eqchi'	kekc1242	the bolt of lightning	BOLT (OF LIGHTNING)	2007		kaaq	kaaq 
52	34-1-57-2	721191554410313	Q'eqchi'	kekc1242	the bolt of lightning	BOLT (OF LIGHTNING)	2007		lemskaaq	lemskaaq 
53	34-1-58-1	721191858157087	Q'eqchi'	kekc1242	the storm	STORM	858		kaq sut iq’	kaq sut iq’ 
54	34-1-59-1	721191876811401	Q'eqchi'	kekc1242	the rainbow	RAINBOW	1733		kaqlaaq’	kaqlaaq’ 
55	34-1-61-1	721191201866435	Q'eqchi'	kekc1242	the light	LIGHT (RADIATION)	630		saqen	saqen 
56	34-1-62-1	721191455249787	Q'eqchi'	kekc1242	the darkness	DARKNESS	11		aak’ab’	aak’ab’ 
57	34-1-63-1	72119130083702	Q'eqchi'	kekc1242	the shade or shadow	SHADE	1388		mu	mu 
58	34-1-64-1	72119181325433	Q'eqchi'	kekc1242	the dew	DEW	1977		k’ajob’	k’ajob’ 
59	34-1-64-2	721191682731756	Q'eqchi'	kekc1242	the dew	DEW	1977		chu’ke	chu’ke 
60	34-1-71-1	721191904832103	Q'eqchi'	kekc1242	the air	AIR	27		iq’	iq’ 
61	34-1-72-1	721191904832103	Q'eqchi'	kekc1242	the wind	WIND	960		iq’	iq’ 
62	34-1-73-1	721191805441331	Q'eqchi'	kekc1242	the cloud	CLOUD	1489		choq	choq 
63	34-1-74-1	721191295291558	Q'eqchi'	kekc1242	the fog	FOG	249		sujew	sujew 
64	34-1-74-2	721191617281176	Q'eqchi'	kekc1242	the fog	FOG	249		tuntunkil choq	tuntunkil choq 
65	34-1-75-1	721191962255682	Q'eqchi'	kekc1242	the rain	RAIN (PRECIPITATION)	658		hab’	hab’ 
66	34-1-76-1	721191398338252	Q'eqchi'	kekc1242	the snow	SNOW	784		xchu’i keh	xchu’i keh 
67	34-1-77-1	721191879099144	Q'eqchi'	kekc1242	the ice	ICE	617		ke	ke 
68	34-1-78-1	721191267830089	Q'eqchi'	kekc1242	the weather	WEATHER	952		kutan	kutan 
69	34-1-81-1	721191366141530	Q'eqchi'	kekc1242	the fire	FIRE	221		xam	xam 
70	34-1-82-1	721191324925531	Q'eqchi'	kekc1242	the flame	FLAME	889		raq’xam	raq’xam 
71	34-1-83-1	72119136831571	Q'eqchi'	kekc1242	the smoke	SMOKE (EXHAUST)	778		sib’	sib’ 
72	34-1-84-1	721191957157483	Q'eqchi'	kekc1242	the ash	ASH	646		cha	cha 
73	34-1-841-1	721191454924740	Q'eqchi'	kekc1242	the embers	EMBERS	67		ruuxam	ruuxam 
74	34-1-851-1	721191738282933	Q'eqchi'	kekc1242	to burn(1)	BURN (SOMETHING)	141		k’at	k’at 
75	34-1-851-2	721191890210058	Q'eqchi'	kekc1242	to burn(1)	BURN (SOMETHING)	141		choqlenk	choqlenk 
76	34-1-852-1	721191238615225	Q'eqchi'	kekc1242	to burn(2)	BURNING	1428		humuk	humuk 
77	34-1-86-1	721191233019276	Q'eqchi'	kekc1242	to light	LIGHT (IGNITE)	737		tz’ab’	tz’ab’ 
78	34-1-86-2	721191955447765	Q'eqchi'	kekc1242	to light	LIGHT (IGNITE)	737		k’ehok xam	k’ehok xam 
79	34-1-861-1	721191539744029	Q'eqchi'	kekc1242	to extinguish	EXTINGUISH	127		chup	chup 
80	34-1-87-1	72119145905849	Q'eqchi'	kekc1242	the match	MATCH	1133		poos	poos 
81	34-1-88-1	721191979151929	Q'eqchi'	kekc1242	the firewood	FIREWOOD	10		si’	si’ 
82	34-1-89-1	721191454924740	Q'eqchi'	kekc1242	the charcoal	CHARCOAL	1188		ruuxam	ruuxam 
83	34-1-89-2	721191797525679	Q'eqchi'	kekc1242	the charcoal	CHARCOAL	1188		sib’j	sib’j 
84	34-2-1-1	721191334601942	Q'eqchi'	kekc1242	the person	PERSON	683		poyanam	poyanam 
85	34-2-21-1	721191944183090	Q'eqchi'	kekc1242	the man	MAN	1554		teelom	teelom 
86	34-2-21-2	721191914838933	Q'eqchi'	kekc1242	the man	MAN	1554		winq	winq 
87	34-2-22-1	72119197590103	Q'eqchi'	kekc1242	the woman	WOMAN	962		ixq	ixq 
88	34-2-23-1	721191944183090	Q'eqchi'	kekc1242	male(1)	MALE (OF ANIMAL)	2263		teelom	teelom 
89	34-2-24-1	72119197590103	Q'eqchi'	kekc1242	female(1)	FEMALE (OF PERSON)	2260		ixq	ixq 
90	34-2-25-1	721191801300686	Q'eqchi'	kekc1242	the boy	BOY	1366		ch’ajom	ch’ajom 
91	34-2-25-2	721191497032299	Q'eqchi'	kekc1242	the boy	BOY	1366		saaj al	saaj al 
92	34-2-25-3	721191393977781	Q'eqchi'	kekc1242	the boy	BOY	1366		ch’ina teelom	ch’ina teelom 
93	34-2-251-1	721191801300686	Q'eqchi'	kekc1242	the young man	YOUNG MAN	76		ch’ajom	ch’ajom 
94	34-2-26-1	721191910934319	Q'eqchi'	kekc1242	the girl	GIRL	1646		saaj ixqa’al	saaj ixqa’al 
95	34-2-26-2	721191480482255	Q'eqchi'	kekc1242	the girl	GIRL	1646		ch’ina ixqa’al	ch’ina ixqa’al 
96	34-2-261-1	721191911341818	Q'eqchi'	kekc1242	the young woman	YOUNG WOMAN	77		ixqa’al ~ xqa’al ~ qa’al	ixqa’al ~ xqa’al ~ qa’al 
97	34-2-261-2	721191462248715	Q'eqchi'	kekc1242	the young woman	YOUNG WOMAN	77		tu’q’ixq	tu’q’ixq 
98	34-2-27-1	721191408001546	Q'eqchi'	kekc1242	the child(1)	CHILD (YOUNG HUMAN)	1304		al	al 
99	34-2-28-1	721191528343362	Q'eqchi'	kekc1242	the baby	BABY	1289		b’ab’ay	b’ab’ay 
100	34-2-28-2	721191318499708	Q'eqchi'	kekc1242	the baby	BABY	1289		kach’in	kach’in 
101	34-2-31-1	721191508573165	Q'eqchi'	kekc1242	the husband	HUSBAND	1200		b’eelom	b’eelom 
102	34-2-32-1	721191818544444	Q'eqchi'	kekc1242	the wife	WIFE	1199		ixaqil	ixaqil 
103	34-2-33-1	721191706317700	Q'eqchi'	kekc1242	to marry	MARRY	203		k’am	k’am 
104	34-2-33-2	721191720628062	Q'eqchi'	kekc1242	to marry	MARRY	203		sumlaak	sumlaak 
105	34-2-34-1	721191684157897	Q'eqchi'	kekc1242	the wedding	WEDDING	1259		sumlajik	sumlajik 
106	34-2-341-1	721191965621841	Q'eqchi'	kekc1242	the divorce	DIVORCE	1134		jachoj ib’	jachoj ib’ 
107	34-2-35-1	721191327919521	Q'eqchi'	kekc1242	the father	FATHER	1217		taat	taat 
108	34-2-35-2	721191872228915	Q'eqchi'	kekc1242	the father	FATHER	1217		yuwa’	yuwa’ 
109	34-2-36-1	721191910332784	Q'eqchi'	kekc1242	the mother	MOTHER	1216		na’	na’ 
