Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
~	_				
(1)	NULL				
(2)	NULL				
(3)	NULL				
(4)	NULL				
a	a	siraʁat, hataŋbet	Ket	396	U+0061
e	e	peršep, igbes	Ket	251	U+0065
i	i	siɣit, binomnik	Ket	224	U+0069
o	o	qaloq, sambok	Ket	210	U+006f
t$	t	siraʁat, binaʁut	Ket	204	U+0074 U+0024
l	l	qaloq, esla	Ket	186	U+006c
^q	q	qòs, qōj	Ket	182	U+005e U+0071
t	t	hataŋbet, iltəp	Ket	167	U+0074
ŋ$	ŋ	baˀŋ, iriŋ	Ket	123	U+014b U+0024
^b	b	baˀŋ, beˀp	Ket	119	U+005e U+0062
n	n	anuntu, binomnik	Ket	115	U+006e
b	b	sambok, igbes	Ket	107	U+0062
s	s	esla, ēɣ suul	Ket	107	U+0073
n$	n	èn, ìn	Ket	105	U+006e U+0024
^s	s	sīn, sambok	Ket	105	U+005e U+0073
u	u	binaʁut, tuɣun	Ket	101	U+0075
a$	a	esla, qoja	Ket	99	U+0061 U+0024
j$	j	qōj, qoˀj	Ket	99	U+006a U+0024
^k	k	kūp, keˀt	Ket	96	U+005e U+006b
^t	t	ture, toqtet	Ket	95	U+005e U+0074
l$	l	dɯ̄l, ūl	Ket	95	U+006c U+0024
_	_	tam akus ana bən, tam aska ana bən	Ket	87	U+005f
^d	d	dɯ̄l, daan	Ket	85	U+005e U+0064
^h	h	həə, hataŋbet	Ket	84	U+005e U+0068
s$	s	igbes, beˀs	Ket	82	U+0073 U+0024
ə	ə	həlin, dəqŋ	Ket	79	U+0259
ŋ	ŋ	hataŋbet, təŋbaŋqolep	Ket	77	U+014b
m	m	qimambaam, sambok	Ket	76	U+006d
r	r	siraʁat, iriŋ	Ket	67	U+0072
^a	a	ajeŋ, aleŋ	Ket	63	U+005e U+0061
d	d	bissajdo, ətna deˀŋ	Ket	57	U+0064
q	q	dəqŋ, kə̄qt	Ket	57	U+0071
g	g	igbes, ɯlga	Ket	57	U+0067
j	j	ejiŋ, qoja	Ket	56	U+006a
p$	p	beˀp, qīp	Ket	54	U+0070 U+0024
k	k	sikurka, eskej	Ket	53	U+006b
ɣ	ɣ	ēɣ suul, siɣit	Ket	52	U+0263
^e	e	ejiŋ, esla	Ket	47	U+005e U+0065
^u	u	unat, ulvej	Ket	46	U+005e U+0075
m$	m	qīm, laˀm	Ket	43	U+006d U+0024
^i	i	igbes, iriŋ	Ket	37	U+005e U+0069
ɯ	ɯ	qaqtɯm, bɯst	Ket	35	U+026f
k$	k	boˀk, sambok	Ket	33	U+006b U+0024
aˀ	aˀ	baˀŋ, laˀm	Ket	31	U+0061 U+02c0
q$	q	qaloq, dəˀq	Ket	30	U+0071 U+0024
p	p	kuptɯn, laptaq	Ket	29	U+0070
^l	l	laˀm, laŋat	Ket	29	U+005e U+006c
eˀ	eˀ	beˀp, beˀs	Ket	25	U+0065 U+02c0
ī	ī/i	qīm, qīp	Ket	23	U+012b
oˀ	oˀ	boˀk, qoˀj	Ket	23	U+006f U+02c0
ɯ̄	ɯ̄/ɯ	dɯ̄l, hɯ̄j	Ket	22	U+026f U+0304
ʁ	ʁ	binaʁut, siraʁat	Ket	22	U+0281
ks$	ks	ōks, qōks	Ket	20	U+006b U+0073 U+0024
^o	o	oŋtils, ogə	Ket	20	U+005e U+006f
