ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	18-1-21-1	72262144402170603	Ket	kett1243	the land	LAND	626		baˀŋ	baˀŋ 
2	18-1-212-1	72262144402170603	Ket	kett1243	the soil	EARTH (SOIL)	1228		baˀŋ	baˀŋ 
3	18-1-213-1	811111712910517749	Ket	kett1243	the dust	DUST	2		huˀs	huˀs 
4	18-1-214-1	72262144327437556	Ket	kett1243	the mud	MUD	640		altəq	altəq 
5	18-1-214-2	72262144537294378	Ket	kett1243	the mud	MUD	640		sīn	sīn 
6	18-1-215-1	72262144634965875	Ket	kett1243	the sand	SAND	671		hənaŋ	hənaŋ 
7	18-1-22-1	72262144364177708	Ket	kett1243	the mountain or hill	MOUNTAIN OR HILL	2118		qaˀj	qaˀj 
8	18-1-222-1	72262144319933187	Ket	kett1243	the cliff or precipice	PRECIPICE	618		tɯ̄	tɯ̄ 
9	18-1-23-1	72262144471304562	Ket	kett1243	the plain	PLAIN	652		embaŋ	embaŋ 
10	18-1-25-1	72262144710608099	Ket	kett1243	the island	ISLAND	622		ēj (1)	ēj (1) 
11	18-1-26-1	72262144402170603	Ket	kett1243	the mainland	MAINLAND	166		baˀŋ	baˀŋ 
12	18-1-27-1	72262144925413934	Ket	kett1243	the shore	SHORE	113		sest baˀŋ	sest baˀŋ 
13	18-1-27-2	87161956782246045	Ket	kett1243	the shore	SHORE	113		ulbaŋt	ulbaŋt 
14	18-1-28-1	72262144325661010	Ket	kett1243	the cave	CAVE	1155		ogə	ogə 
15	18-1-31-1	72262144973821016	Ket	kett1243	the water	WATER	948		ūl	ūl 
16	18-1-32-1	72262144346986315	Ket	kett1243	the sea	SEA	1474		mora	mora 
17	18-1-322-1	72262144201867452	Ket	kett1243	calm	CALM	258		ə̄n (1)	ə̄n (1) 
18	18-1-323-1	72262144331357530	Ket	kett1243	rough(2)	ROUGH (OF SEA)	259		qaˀ bēj	qaˀ bēj 
19	18-1-324-1	72262144523710857	Ket	kett1243	the foam	FOAM	1768		qool	qool 
20	18-1-329-1	72262144346986315	Ket	kett1243	the ocean	OCEAN	645		mora	mora 
21	18-1-33-1	72262144178858211	Ket	kett1243	the lake	LAKE	624		deˀ	deˀ 
22	18-1-34-1	72262144565894999	Ket	kett1243	the bay	BAY	663		qoˀl	qoˀl 
23	18-1-34-2	811101411897349243	Ket	kett1243	the bay	BAY	663		tugd	tugd 
24	18-1-343-1	72262144325347984	Ket	kett1243	the cape	CAPE	1662		solgup	solgup 
25	18-1-35-1	72262144967139749	Ket	kett1243	the wave	WAVE	978		anbok	anbok 
26	18-1-36-1	72262144707604606	Ket	kett1243	the river or stream	RIVER	666		sēs	sēs 
27	18-1-36-2	72262144559296274	Ket	kett1243	the river or stream	RIVER	666		qōks	qōks 
28	18-1-362-1	72262144433837363	Ket	kett1243	the whirlpool	WHIRLPOOL	1982		ɯsul	ɯsul 
29	18-1-362-2	811111714482495035	Ket	kett1243	the whirlpool	WHIRLPOOL	1982		uldʌptaŋbaŋ	uldʌptaŋbaŋ 
30	18-1-362-3	811111717490748362	Ket	kett1243	the whirlpool	WHIRLPOOL	1982		telɣil	telɣil 
31	18-1-37-1	72262144559296274	Ket	kett1243	the spring or well	SPRING OR WELL	2144		qōks	qōks 
32	18-1-38-1	72262144872871939	Ket	kett1243	the swamp	SWAMP	1145		deŋniŋ	deŋniŋ 
33	18-1-38-2	72262144178858211	Ket	kett1243	the swamp	SWAMP	1145		deˀ	deˀ 
34	18-1-38-3	811112040169697680	Ket	kett1243	the swamp	SWAMP	1145		ulteɣin	ulteɣin 
35	18-1-38-4	81114122130797788	Ket	kett1243	the swamp	SWAMP	1145		daŋtaɣan	daŋtaɣan 
36	18-1-39-1	72262144541555853	Ket	kett1243	the waterfall	WATERFALL	943		qaʁɯn	qaʁɯn 
37	18-1-41-1	72262144869830677	Ket	kett1243	the woods or forest	FOREST	420		hɯssej	hɯssej 
38	18-1-41-2	8716207972002313	Ket	kett1243	the woods or forest	FOREST	420		areŋ	areŋ 
39	18-1-41-3	8716208217292364	Ket	kett1243	the woods or forest	FOREST	420		les	les 
40	18-1-43-1	72262144686145428	Ket	kett1243	the wood	WOOD	1803		ōks	ōks 
41	18-1-44-1	72262144404732739	Ket	kett1243	the stone or rock	STONE OR ROCK	2125		təˀs	təˀs 
42	18-1-51-1	72262144135534561	Ket	kett1243	the sky	SKY	1732		ēs	ēs 
43	18-1-52-1	72262144978457450	Ket	kett1243	the sun	SUN	1343		ī (1)	ī (1) 
44	18-1-53-1	72262144725833371	Ket	kett1243	the moon	MOON	1313		qīp	qīp 
45	18-1-54-1	72262144120026984	Ket	kett1243	the star	STAR	1430		qòʁ	qòʁ 
46	18-1-55-1	72262144660529719	Ket	kett1243	the lightning	LIGHTNING	1654		ekkinna boˀk	ekkinna boˀk 
47	18-1-56-1	87162014216117953	Ket	kett1243	the thunder	THUNDER	1150		ekŋ, ekin	ekŋ 
48	18-1-56-2	87162014216117953	Ket	kett1243	the thunder	THUNDER	1150		ekŋ, ekin	ekin 
49	18-1-57-1	72262144660529719	Ket	kett1243	the bolt of lightning	BOLT (OF LIGHTNING)	2007		ekkinna boˀk	ekkinna boˀk 
50	18-1-59-1	72262144269747778	Ket	kett1243	the rainbow	RAINBOW	1733		aqqot	aqqot 
51	18-1-61-1	72262144777959357	Ket	kett1243	the light	LIGHT (RADIATION)	630		kəns	kəns 
52	18-1-62-1	72262144509217261	Ket	kett1243	the darkness	DARKNESS	11		qonijs	qonijs 
53	18-1-63-1	72262144201155681	Ket	kett1243	the shade or shadow	SHADE	1388		qonsal	qonsal 
54	18-1-63-2	87162018350475659	Ket	kett1243	the shade or shadow	SHADE	1388		qonij baˀŋ	qonij baˀŋ 
55	18-1-64-1	7226214427697884	Ket	kett1243	the dew	DEW	1977		ulan	ulan 
56	18-1-71-1	72262144454304877	Ket	kett1243	the air	AIR	27		ii	ii 
57	18-1-72-1	7226214480051482	Ket	kett1243	the wind	WIND	960		bēj	bēj 
58	18-1-73-1	72262144232138114	Ket	kett1243	the cloud	CLOUD	1489		espul	espul 
59	18-1-74-1	7226214469586999	Ket	kett1243	the fog	FOG	249		ulij	ulij 
60	18-1-75-1	72262144475243392	Ket	kett1243	the rain	RAIN (PRECIPITATION)	658		ules	ules 
61	18-1-76-1	72262144686956579	Ket	kett1243	the snow	SNOW	784		beˀt	beˀt 
62	18-1-77-1	72262144230209159	Ket	kett1243	the ice	ICE	617		qō (1)	qō (1) 
63	18-1-78-1	72262144135534561	Ket	kett1243	the weather	WEATHER	952		ēs	ēs 
64	18-1-81-1	72262144916289276	Ket	kett1243	the fire	FIRE	221		boˀk	boˀk 
65	18-1-82-1	72262144916289276	Ket	kett1243	the flame	FLAME	889		boˀk	boˀk 
66	18-1-83-1	72262144557053874	Ket	kett1243	the smoke	SMOKE (EXHAUST)	778		duˀ	duˀ 
67	18-1-84-1	72262144179299171	Ket	kett1243	the ash	ASH	646		qolan	qolan 
68	18-1-841-1	72262144140796795	Ket	kett1243	the embers	EMBERS	67		kəlta	kəlta 
69	18-1-851-1	7226214473841542	Ket	kett1243	to burn(1)	BURN (SOMETHING)	141		duut	duut 
70	18-1-852-1	72262144635182828	Ket	kett1243	to burn(2)	BURNING	1428		inoʁat	inoʁat 
71	18-1-86-1	7226214473841542	Ket	kett1243	to light	LIGHT (IGNITE)	737		duut	duut 
72	18-1-861-1	72262144943068863	Ket	kett1243	to extinguish	EXTINGUISH	127		unij	unij 
