Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
e	e	sārrne imm’el’-sān’eguejm, njuemmel’	Kildin Saami	606	U+0065
a	a	tala-tala, vuannče	Kildin Saami	445	U+0061
e$	e	koahče, tāgke	Kildin Saami	362	U+0065 U+0024
u	u	čuarr-piell’, vuannče	Kildin Saami	273	U+0075
s’	sʲ				
l’	lʲ				
m’	mʲ				
v’	vʲ				
k’	kʲ				
r’	rʲ				
ll’	lːʲ				
llh’	l̥ːʲ				
š’	ʃʲ				
n’	nʲ				
d’	dʲ				
x’	xʲ				
mm’	mːʲ				
vv’	vːʲ				
rr’	rːʲ				
nn’	nːʲ				
dd’	dːʲ				
ss’	sːʲ				
p’	pʲ				
šš’	ʃːʲ				
c’	tʃʲ				
bb’	bːʲ				
pp’	pːʲ				
b’	bʲ				
rrh’	r̥ːʲ				
g’	gʲ				
хх’	xːʲ				
ŋŋ’	ŋːʲ				
ss’$	sːʲ				
tt’	tːʲ				
kk’	kːʲ				
cc’	tʃːʲ				
lh’	l̥ʲ				
nnh’	n̥ːʲ				
ū	ū/uː				
z’	zʲ				
ī	ī/iː				
t’	tʲ				
ŋ’	ŋʲ				
f’	fʲ				
ff’	fːʲ				
jjh’	j̊ːʲ				
ē	ē/eː				
ž’	ʒ’				
ʒ’	dzʲ				
^r’	rʲ				
^m’	mʲ				
^v’	vʲ				
t	t	pravít’el’stva, šēnnte	Kildin Saami	239	U+0074
^k	k	koahče, kulle	Kildin Saami	231	U+005e U+006b
k	k	tāgke, njāl’kes’ kartoške	Kildin Saami	227	U+006b
i	i	čuarr-piell’, vierr’	Kildin Saami	198	U+0069
^p	p	piejjv, pravít’el’stva	Kildin Saami	174	U+005e U+0070
ū	ū/uː	vūjjk, rūvv’t	Kildin Saami	171	U+016b
o	o	roaŋŋ’k, koahče	Kildin Saami	171	U+006f
^v	v	vūjjk, vuannče	Kildin Saami	166	U+005e U+0076
ll	lː	čuarr-piell’, kulle	Kildin Saami	166	U+006c U+006c
ā	ā/aː	tāgke, kārr’	Kildin Saami	164	U+0101
l	l	kūnn’te vuel’ke al’n, pravít’el’stva	Kildin Saami	161	U+006c
n	n	pārnenč, ōhpnuvve	Kildin Saami	149	U+006e
r	r	pravít’el’stva, nager’	Kildin Saami	135	U+0072
-	+	čuarr-piell’, mēnn-vier’t	Kildin Saami	127	U+002d
k$	k	roaŋŋ’k, vūjjk	Kildin Saami	126	U+006b U+0024
j	j	njuemmel’, voajxe	Kildin Saami	125	U+006a
t$	t	sɨjjt, rūvv’t	Kildin Saami	122	U+0074 U+0024
^s	s	sɨjjt, sūnn	Kildin Saami	115	U+005e U+0073
rr	rː	čuarr-piell’, vierr’	Kildin Saami	115	U+0072 U+0072
ɨ	ɨ	sɨjjt, kɨrrj	Kildin Saami	110	U+0268
m	m	čall’m-rūmtas, pl’eménihk	Kildin Saami	109	U+006d
nn	nː	vuannče, šēnnte	Kildin Saami	102	U+006e U+006e
p	p	čuarr-piell’, kiehp’es’	Kildin Saami	99	U+0070
s	s	vūjkas sārrne, kiehp’es’	Kildin Saami	98	U+0073
^m	m	mūrr, māt’xe	Kildin Saami	96	U+005e U+006d
a$	a	tɨkva, pravít’el’stva	Kildin Saami	91	U+0061 U+0024
ē	ē/eː	šēnnte, kērr	Kildin Saami	91	U+0113
d	d	molldedte, kīdt	Kildin Saami	91	U+0064
