ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	14-1-1-1	7426161690487297	Kildin Saami	kild1236	the world	WORLD	965	э̄ллманнт	ēllmannt	ēllmannt 
2	14-1-1-2	74261616353205501	Kildin Saami	kild1236	the world	WORLD	965	мырр	mɨrr	mɨrr 
3	14-1-21-1	74261616634457381	Kildin Saami	kild1236	the land	LAND	626	е̄ммьне	jēmm’n’e	jēmm’n’e 
4	14-1-212-1	74261616180775157	Kildin Saami	kild1236	the soil	EARTH (SOIL)	1228	лаввьн	lavv’n	lavv’n 
5	14-1-213-1	74261616891716849	Kildin Saami	kild1236	the dust	DUST	2	пуэнн	puenn	puenn 
6	14-1-214-1	74261616909210335	Kildin Saami	kild1236	the mud	MUD	640	ниввьл	njivv’l	njivv’l 
7	14-1-215-1	74261616919213344	Kildin Saami	kild1236	the sand	SAND	671	вӯнтас	vūntas	vūntas 
8	14-1-22-1	7426161658332885	Kildin Saami	kild1236	the mountain or hill	MOUNTAIN OR HILL	2118	пāһкь	pāhk’	pāhk’ 
9	14-1-222-1	74261616855443882	Kildin Saami	kild1236	the cliff or precipice	PRECIPICE	618	уррьт	urr’t	urr’t 
10	14-1-23-1	7426161658983717	Kildin Saami	kild1236	the plain	PLAIN	652	пуэшенҍ	pueš’en’	pueš’en’ 
11	14-1-23-2	74261616224865828	Kildin Saami	kild1236	the plain	PLAIN	652	поаля	poal’a	poal’a 
12	14-1-24-1	74261616386110653	Kildin Saami	kild1236	the valley	VALLEY	921	вӯммь	vūmm’	vūmm’ 
13	14-1-24-2	7426161619855364	Kildin Saami	kild1236	the valley	VALLEY	921	ле̄гкь	liegk’	liegk’ 
14	14-1-24-3	74261616707076193	Kildin Saami	kild1236	the valley	VALLEY	921	ле̄кьш	liek’š	liek’š 
15	14-1-25-1	74261616600480893	Kildin Saami	kild1236	the island	ISLAND	622	суэл	suel	suel 
16	14-1-26-1	74261616144972365	Kildin Saami	kild1236	the mainland	MAINLAND	166	мо̄нтэр	mōnter	mōnter 
17	14-1-27-1	7426161638537231	Kildin Saami	kild1236	the shore	SHORE	113	рыннт	rɨnnt	rɨnnt 
18	14-1-27-2	7426161676296226	Kildin Saami	kild1236	the shore	SHORE	113	ка̄ннҍт	kānn’t	kānn’t 
