Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	bratša syn, pśichodna maś	Lower Sorbian	808	U+0061
o	o	pśichodna źowka, sotšy źowka	Lower Sorbian	603	U+006f
a$	a	pśichodna źowka, šwigerźowka	Lower Sorbian	419	U+0061 U+0024
e	e	wjerśeś, žeńskecy	Lower Sorbian	414	U+0065
n	n	pśichodny nan, pśichodna źowka	Lower Sorbian	403	U+006e
r	r	šwigerźowka, pódnuriś se	Lower Sorbian	393	U+0072
i	i	pśichodny syn, źiśiźiśe	Lower Sorbian	381	U+0069
ś$	ś	źěliś, pušćiś	Lower Sorbian	329	U+015b U+0024
j	j	njebjo, pśichodnej starjejšej	Lower Sorbian	327	U+006a
u	u	geburtsurkunda, wujk	Lower Sorbian	276	U+0075
t	t	śota, prostitutka	Lower Sorbian	263	U+0074
k	k	pśichodna źowka, šwigerźowka	Lower Sorbian	246	U+006b
^p	p	pśichodny syn, pśichodna źowka	Lower Sorbian	224	U+005e U+0070
l	l	źěliś, kokula	Lower Sorbian	219	U+006c
y	y	pśichodny syn, sotšy syn	Lower Sorbian	211	U+0079
^w	w	wujk, wjerśeś	Lower Sorbian	199	U+005e U+0077
w	w	pśichodna źowka, šwigerźowka	Lower Sorbian	192	U+0077
d	d	pśichodny syn, pśichodna źowka	Lower Sorbian	179	U+0064
s	s	pśichodny syn, pódnuriś se	Lower Sorbian	176	U+0073
ł	ł	swětły, wołaś	Lower Sorbian	169	U+0142
ó	ó	pódnuriś se, kóńc	Lower Sorbian	166	U+00f3
ś	ś	pśichodny syn, pśichodna źowka	Lower Sorbian	149	U+015b
ě	ě	źěliś, swětły	Lower Sorbian	140	U+011b
^s	s	sotšy źowka, słuchaś	Lower Sorbian	139	U+005e U+0073
^k	k	kokula, kóńc	Lower Sorbian	136	U+005e U+006b
y$	y	my, swětły	Lower Sorbian	133	U+0079 U+0024
o$	o	město, wóno	Lower Sorbian	132	U+006f U+0024
p	p	śpa, njepšawa pśisega	Lower Sorbian	125	U+0070
c	c	muskecy, žeńskecy	Lower Sorbian	124	U+0063
_	_	pśichodny syn, pśichodna źowka	Lower Sorbian	123	U+005f
m	m	šwigermaś, sromne kósmy	Lower Sorbian	118	U+006d
b	b	guba, njebjo	Lower Sorbian	118	U+0062
š	š	pušćiś, bratša syn	Lower Sorbian	112	U+0161
^m	m	my, maniok	Lower Sorbian	103	U+005e U+006d
g	g	šwigerźowka, šwigersyn	Lower Sorbian	98	U+0067
e$	e	pódnuriś se, pasle	Lower Sorbian	96	U+0065 U+0024
^g	g	guba, groniś	Lower Sorbian	90	U+005e U+0067
^b	b	bratša syn, běliś	Lower Sorbian	88	U+005e U+0062
k$	k	wujk, maniok	Lower Sorbian	82	U+006b U+0024
z	z	lězć, jěza	Lower Sorbian	82	U+007a
^z	z	zemjerdžanje, zliceńka	Lower Sorbian	75	U+005e U+007a
^n	n	nichta, noga	Lower Sorbian	73	U+005e U+006e
^š	š	škla, štifźowka	Lower Sorbian	70	U+005e U+0161
^t	t	tśěsć, tšach	Lower Sorbian	61	U+005e U+0074
ź	<?>	pśichodna źowka, šwigerźowka	Lower Sorbian	59	U+017a
n$	n	pśichodny syn, šwigersyn	Lower Sorbian	56	U+006e U+0024
^r	r	ruka, rowny	Lower Sorbian	53	U+005e U+0072
