ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	10-1-1-1	772134282987179	Lower Sorbian	lowe1385	the world	WORLD	965		swět	swět 
2	10-1-21-1	7721342696087963	Lower Sorbian	lowe1385	the land	LAND	626		land	land 
3	10-1-21-2	7721342764793474	Lower Sorbian	lowe1385	the land	LAND	626		kraj	kraj 
4	10-1-212-1	7721342264487994	Lower Sorbian	lowe1385	the soil	EARTH (SOIL)	1228		zemja	zemja 
5	10-1-213-1	7721342858409744	Lower Sorbian	lowe1385	the dust	DUST	2		proch	proch 
6	10-1-213-2	7721342827407634	Lower Sorbian	lowe1385	the dust	DUST	2		kuŕ	kuŕ 
7	10-1-214-1	7721342620043189	Lower Sorbian	lowe1385	the mud	MUD	640		para	para 
8	10-1-215-1	7721342108338150	Lower Sorbian	lowe1385	the sand	SAND	671		pěsk	pěsk 
9	10-1-22-1	7721342100374952	Lower Sorbian	lowe1385	the mountain or hill	MOUNTAIN OR HILL	2118		góra	góra 
10	10-1-222-1	772134216370755	Lower Sorbian	lowe1385	the cliff or precipice	PRECIPICE	618		skała	skała 
11	10-1-23-1	7721342584921638	Lower Sorbian	lowe1385	the plain	PLAIN	652		rownina	rownina 
12	10-1-23-2	772134288464587	Lower Sorbian	lowe1385	the plain	PLAIN	652		płonina	płonina 
13	10-1-24-1	7721342796809357	Lower Sorbian	lowe1385	the valley	VALLEY	921		doł	doł 
14	10-1-25-1	7721342895092618	Lower Sorbian	lowe1385	the island	ISLAND	622		kupa	kupa 
15	10-1-25-2	7721342870755008	Lower Sorbian	lowe1385	the island	ISLAND	622		inzula	inzula 
16	10-1-26-1	7721342822533740	Lower Sorbian	lowe1385	the mainland	MAINLAND	166		(twarda) zemja	(twarda) zemja 
17	10-1-27-1	7721342127061383	Lower Sorbian	lowe1385	the shore	SHORE	113		pśibrjog	pśibrjog 
18	10-1-27-2	7721342322074731	Lower Sorbian	lowe1385	the shore	SHORE	113		brjog	brjog 
19	10-1-28-1	7721342569708256	Lower Sorbian	lowe1385	the cave	CAVE	1155		jama	jama 
20	10-1-31-1	77213423425182	Lower Sorbian	lowe1385	the water	WATER	948		wóda	wóda 
21	10-1-32-1	7721342304802899	Lower Sorbian	lowe1385	the sea	SEA	1474		mórjo	mórjo 
22	10-1-322-1	7721342594678705	Lower Sorbian	lowe1385	calm	CALM	258		měrny	měrny 
23	10-1-323-1	7721342403106275	Lower Sorbian	lowe1385	rough(2)	ROUGH (OF SEA)	259		rozžwalony	rozžwalony 
24	10-1-324-1	7721342190820993	Lower Sorbian	lowe1385	the foam	FOAM	1768		šum (1)	šum (1) 
25	10-1-324-2	7721342375983591	Lower Sorbian	lowe1385	the foam	FOAM	1768		jěšć	jěšć 
26	10-1-329-1	7721342173303479	Lower Sorbian	lowe1385	the ocean	OCEAN	645		ocean	ocean 
27	10-1-33-1	7721342417889886	Lower Sorbian	lowe1385	the lake	LAKE	624		jazor	jazor 
