ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	17-1-1-1	71291640173585266	Manange	mana1288	the world	WORLD	965		tzomliŋ	tzomliŋ 
2	17-1-21-1	71291640935659410	Manange	mana1288	the land	LAND	626		1sʌ (1)	1sʌ (1) 
3	17-1-213-1	71291640844405495	Manange	mana1288	the dust	DUST	2		4pʰɾa	4pʰɾa 
4	17-1-214-1	71291640330052640	Manange	mana1288	the mud	MUD	640		tela	tela 
5	17-1-215-1	71291640162900595	Manange	mana1288	the sand	SAND	671		pjuma	pjuma 
6	17-1-22-1	71291640712205358	Manange	mana1288	the mountain or hill	MOUNTAIN OR HILL	2118		2kaŋ	2kaŋ 
7	17-1-22-2	71291641593885952	Manange	mana1288	the mountain or hill	MOUNTAIN OR HILL	2118		pokto	pokto 
8	17-1-22-3	71291641883005233	Manange	mana1288	the mountain or hill	MOUNTAIN OR HILL	2118		4pʰra	4pʰra 
9	17-1-222-1	71291640818797543	Manange	mana1288	the cliff or precipice	PRECIPICE	618		pʰra	pʰra 
10	17-1-23-1	71291640665550706	Manange	mana1288	the plain	PLAIN	652		kjuŋ	kjuŋ 
11	17-1-24-1	71291641552507404	Manange	mana1288	the valley	VALLEY	921		ʃoŋ	ʃoŋ 
12	17-1-25-1	71291640591048445	Manange	mana1288	the island	ISLAND	622		kjamtso naŋ sʌliŋ	kjamtso naŋ sʌliŋ 
13	17-1-26-1	71291640400015131	Manange	mana1288	the mainland	MAINLAND	166		1sʌ tsʰe	1sʌ tsʰe 
14	17-1-27-1	7129164087609666	Manange	mana1288	the shore	SHORE	113		2kju tsʰe	2kju tsʰe 
15	17-1-28-1	71291640314659397	Manange	mana1288	the cave	CAVE	1155		2u	2u 
16	17-1-31-1	71291640798616249	Manange	mana1288	the water	WATER	948		2kju	2kju 
17	17-1-32-1	71291640697538426	Manange	mana1288	the sea	SEA	1474		samundra	samundra 
18	17-1-324-1	71291640290470312	Manange	mana1288	the foam	FOAM	1768		2kju 1a-tsaŋ-pʌ 1mo 1mu	2kju 1a-tsaŋ-pʌ 1mo 1mu 
19	17-1-33-1	71291640198111627	Manange	mana1288	the lake	LAKE	624		2kju 1tsʰo	2kju 1tsʰo 
20	17-1-34-1	71291640629081554	Manange	mana1288	the bay	BAY	663		kjamtso kʰʌ	kjamtso kʰʌ 
21	17-1-352-1	71291640777645099	Manange	mana1288	the tide	TIDE	891		2kju aloŋ	2kju aloŋ 
22	17-1-354-1	71291640569384431	Manange	mana1288	the high tide	HIGH TIDE	613		aloŋ 1kʰʌ	aloŋ 1kʰʌ 
23	17-1-36-1	71291640568197132	Manange	mana1288	the river or stream	RIVER	666		maʃaŋ 2kju	maʃaŋ 2kju 
24	17-1-37-1	71291640275391433	Manange	mana1288	the spring or well	SPRING OR WELL	2144		inʌr	inʌr 
25	17-1-37-2	71291641851389315	Manange	mana1288	the spring or well	SPRING OR WELL	2144		2kjumi	2kjumi 
26	17-1-38-1	71291640610676676	Manange	mana1288	the swamp	SWAMP	1145		1tsʰo (1)	1tsʰo (1) 
27	17-1-39-1	71291640685812503	Manange	mana1288	the waterfall	WATERFALL	943		2kju tsʰara	2kju tsʰara 
28	17-1-41-1	7129164021921613	Manange	mana1288	the woods or forest	FOREST	420		3na 2huŋ	3na 2huŋ 
29	17-1-43-1	71291640143209353	Manange	mana1288	the wood	WOOD	1803		2ʃiŋ	2ʃiŋ 
30	17-1-44-1	71291640755712625	Manange	mana1288	the stone or rock	STONE OR ROCK	2125		2juŋpe 4pʰra	2juŋpe 4pʰra 
31	17-1-45-1	71291640889630345	Manange	mana1288	the earthquake	EARTHQUAKE	6		1suŋkul	1suŋkul 
32	17-1-51-1	71291640921366237	Manange	mana1288	the sky	SKY	1732		3mo	3mo 
33	17-1-52-1	71291640721284168	Manange	mana1288	the sun	SUN	1343		1tiŋi	1tiŋi 
