Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
i	i	kai1shi3, qi1pian4	Mandarin Chinese	1386	U+0069
a	a	gao1yang2, ta1	Mandarin Chinese	1326	U+0061
n	n	sheng1yin1, xuan2zhuan3	Mandarin Chinese	1253	U+006e
u	u	zhua1zhu4, cuo4wu4	Mandarin Chinese	963	U+0075
o	o	you2, hao3	Mandarin Chinese	709	U+006f
g	g	gong1gong4 qi4che1, chang2chang2	Mandarin Chinese	652	U+0067
4$	<?>	bu4, shi4	Mandarin Chinese	555	U+0034 U+0024
1	<?>	shuang1sheng1zi3, gao1yang2	Mandarin Chinese	466	U+0031
e	e	pan4jue2, jie2	Mandarin Chinese	447	U+0065
2$	<?>	you2, pan4jue2	Mandarin Chinese	409	U+0032 U+0024
4	<?>	pan4jue2, bian4se4long2	Mandarin Chinese	408	U+0034
2	<?>	jia4shi3yuan2zhi2zhao4, hu2lu	Mandarin Chinese	385	U+0032
1$	<?>	ta1, shao1	Mandarin Chinese	375	U+0031 U+0024
3	<?>	zhu3ren2, shi3zhong1	Mandarin Chinese	368	U+0033
3$	<?>	hao3, you3	Mandarin Chinese	368	U+0033 U+0024
^sh	sh	shi4, shao1	Mandarin Chinese	155	U+005e U+0073 U+0068
^y	y	you3, you2	Mandarin Chinese	145	U+005e U+0079
z	z	hai2zi, die2zi	Mandarin Chinese	139	U+007a
^x	x	xuan2zhuan3, xiao3mi3	Mandarin Chinese	133	U+005e U+0078
i$	i	hu4shi, hai2zi	Mandarin Chinese	126	U+0069 U+0024
^j	j	ji3, jie2	Mandarin Chinese	125	U+005e U+006a
y	y	gao1yang2, xu1yao4	Mandarin Chinese	120	U+0079
^d	d	duo1shao, du2	Mandarin Chinese	119	U+005e U+0064
^zh	zh	zhu4, zhuan3	Mandarin Chinese	117	U+005e U+007a U+0068
^g	g	gao1yang2, gu3	Mandarin Chinese	116	U+005e U+0067
sh	sh	duo1shao, hu4shi	Mandarin Chinese	115	U+0073 U+0068
m	m	yu3mao2, mu3ma3	Mandarin Chinese	99	U+006d
^b	b	bu4, ba1	Mandarin Chinese	95	U+005e U+0062
l	l	hu2lu, bao3liu2	Mandarin Chinese	95	U+006c
^l	l	liu2, liang2	Mandarin Chinese	95	U+005e U+006c
^t	t	ta1, tu3	Mandarin Chinese	94	U+005e U+0074
^h	h	hao3, hu2lu	Mandarin Chinese	94	U+005e U+0068
j	j	pan4jue2, gong1jian4	Mandarin Chinese	93	U+006a
d	d	lu4di4, tu3di4	Mandarin Chinese	89	U+0064
^m	m	mei2you3, mo1	Mandarin Chinese	86	U+005e U+006d
t	t	pu2taoteng2, da3pen1ti4	Mandarin Chinese	83	U+0074
zh	zh	jia4shi3yuan2zhi2zhao4, jia3zhuang4xian4zhong3	Mandarin Chinese	82	U+007a U+0068
b	b	xiao3bao3bao, dong4bing1	Mandarin Chinese	76	U+0062
^ch	ch	cha1, chuan2	Mandarin Chinese	74	U+005e U+0063 U+0068
q	q	you2qi1, jia1qin2	Mandarin Chinese	69	U+0071
^f	f	fen1kai1, fen4nu4	Mandarin Chinese	65	U+005e U+0066
^n	n	nie1, na2	Mandarin Chinese	65	U+005e U+006e
x	x	xue2xi2, nü3xu	Mandarin Chinese	64	U+0078
h	h	sheng1huo2, zhi4hui4	Mandarin Chinese	61	U+0068
