ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	22-1-1-1	77161647419409746	Mandarin Chinese	mand1415	the world	WORLD	965	世界	shi4jie4	shi4jie4 
2	22-1-21-1	77161647240136770	Mandarin Chinese	mand1415	the land	LAND	626	土地	tu3di4	tu3di4 
3	22-1-21-2	77161647181590018	Mandarin Chinese	mand1415	the land	LAND	626	陆地	lu4di4	lu4di4 
4	22-1-212-1	77161647901405708	Mandarin Chinese	mand1415	the soil	EARTH (SOIL)	1228	土壤	tu3rang3	tu3rang3 
5	22-1-212-2	77161647240136770	Mandarin Chinese	mand1415	the soil	EARTH (SOIL)	1228	土地	tu3di4	tu3di4 
6	22-1-212-3	77161647961647393	Mandarin Chinese	mand1415	the soil	EARTH (SOIL)	1228	土	tu3	tu3 
7	22-1-213-1	77161647118672570	Mandarin Chinese	mand1415	the dust	DUST	2	灰尘 (灰塵)	hui1chen2	hui1chen2 
8	22-1-214-1	77161647621250940	Mandarin Chinese	mand1415	the mud	MUD	640	泥	ni2	ni2 
9	22-1-214-2	77161647775428990	Mandarin Chinese	mand1415	the mud	MUD	640	泥浆	ni2jiang1	ni2jiang1 
10	22-1-214-3	9161054576181344	Mandarin Chinese	mand1415	the mud	MUD	640	泥淖	ni2nao	ni2nao 
11	22-1-214-4	916119970340873	Mandarin Chinese	mand1415	the mud	MUD	640	泥泞, 泥濘	ni2ning4	ni2ning4 
12	22-1-215-1	77161647733418546	Mandarin Chinese	mand1415	the sand	SAND	671	沙子	sha1zi	sha1zi 
13	22-1-215-2	77161647287051991	Mandarin Chinese	mand1415	the sand	SAND	671	沙	sha1 (1)	sha1 (1) 
14	22-1-22-1	77161647366513101	Mandarin Chinese	mand1415	the mountain or hill	MOUNTAIN OR HILL	2118	丘	qiu1	qiu1 
15	22-1-22-2	77161647599794647	Mandarin Chinese	mand1415	the mountain or hill	MOUNTAIN OR HILL	2118	山	shan1	shan1 
16	22-1-22-3	77161647302127146	Mandarin Chinese	mand1415	the mountain or hill	MOUNTAIN OR HILL	2118	丘岭	qiu1ling2	qiu1ling2 
17	22-1-222-1	77161647938253208	Mandarin Chinese	mand1415	the cliff or precipice	PRECIPICE	618	礁	jiao1 (1)	jiao1 (1) 
18	22-1-222-2	77161647213302098	Mandarin Chinese	mand1415	the cliff or precipice	PRECIPICE	618	礁石	jiao1shi2	jiao1shi2 
19	22-1-23-1	77161647786591269	Mandarin Chinese	mand1415	the plain	PLAIN	652	平原	ping2yuan2	ping2yuan2 
20	22-1-23-2	77161647300991388	Mandarin Chinese	mand1415	the plain	PLAIN	652	平地	ping2di4	ping2di4 
21	22-1-24-1	77161647301977442	Mandarin Chinese	mand1415	the valley	VALLEY	921	山谷	shan1gu3	shan1gu3 
22	22-1-25-1	77161647355836256	Mandarin Chinese	mand1415	the island	ISLAND	622	岛	dao3	dao3 
23	22-1-26-1	77161647182914602	Mandarin Chinese	mand1415	the mainland	MAINLAND	166	大陆	da4lu4	da4lu4 
24	22-1-26-2	77161647181590018	Mandarin Chinese	mand1415	the mainland	MAINLAND	166	陆地	lu4di4	lu4di4 
25	22-1-27-1	77161647144135827	Mandarin Chinese	mand1415	the shore	SHORE	113	海岸	hai3an4	hai3an4 
26	22-1-27-2	77161647782945645	Mandarin Chinese	mand1415	the shore	SHORE	113	岸	an4	an4 
27	22-1-28-1	77161647244663515	Mandarin Chinese	mand1415	the cave	CAVE	1155	山洞	shan1dong4	shan1dong4 
28	22-1-31-1	77161647563035633	Mandarin Chinese	mand1415	the water	WATER	948	水	shui3	shui3 
29	22-1-32-1	77161647828268304	Mandarin Chinese	mand1415	the sea	SEA	1474	海	hai3	hai3 
30	22-1-324-1	7716164725729649	Mandarin Chinese	mand1415	the foam	FOAM	1768	泡沫	pao4mo4	pao4mo4 
31	22-1-324-2	77161647219737878	Mandarin Chinese	mand1415	the foam	FOAM	1768	泡	pao4	pao4 
32	22-1-329-1	77161647359013621	Mandarin Chinese	mand1415	the ocean	OCEAN	645	海洋	hai3yang2	hai3yang2 
33	22-1-33-1	77161647968599507	Mandarin Chinese	mand1415	the lake	LAKE	624	湖	hu2 (2)	hu2 (2) 
34	22-1-33-2	7716164747895236	Mandarin Chinese	mand1415	the lake	LAKE	624	湖泊	hu2po1	hu2po1 
35	22-1-34-1	77161647908438548	Mandarin Chinese	mand1415	the bay	BAY	663	海湾	hai3wan1	hai3wan1 
36	22-1-34-2	77161647271420356	Mandarin Chinese	mand1415	the bay	BAY	663	湾, 灣	wan1 (2)	wan1 (2) 
37	22-1-341-1	77161647398274271	Mandarin Chinese	mand1415	the lagoon	LAGOON	623	泻湖	xie4 hu2	xie4 hu2 
38	22-1-341-2	77161647490983065	Mandarin Chinese	mand1415	the lagoon	LAGOON	623	礁湖	jiao1 hu2	jiao1 hu2 
39	22-1-342-1	77161647213302098	Mandarin Chinese	mand1415	the reef	REEF	660	礁石	jiao1shi2	jiao1shi2 
40	22-1-343-1	77161647516029710	Mandarin Chinese	mand1415	the cape	CAPE	1662	海角	hai3jiao3	hai3jiao3 
41	22-1-35-1	77161647788759907	Mandarin Chinese	mand1415	the wave	WAVE	978	浪	lang4	lang4 
42	22-1-35-2	77161647241269021	Mandarin Chinese	mand1415	the wave	WAVE	978	波浪	bo1lang4	bo1lang4 
43	22-1-352-1	77161647517037594	Mandarin Chinese	mand1415	the tide	TIDE	891	潮	chao2 (2)	chao2 (2) 
44	22-1-352-2	77161647876372177	Mandarin Chinese	mand1415	the tide	TIDE	891	潮汐	chao2xi1	chao2xi1 
45	22-1-353-1	77161647817270047	Mandarin Chinese	mand1415	the low tide	LOW TIDE	1026	低潮	di1chao2	di1chao2 
46	22-1-354-1	77161647645606075	Mandarin Chinese	mand1415	the high tide	HIGH TIDE	613	涨潮	zhang4/3chao2	zhang4 
47	22-1-354-2	77161647645606075	Mandarin Chinese	mand1415	the high tide	HIGH TIDE	613	涨潮	zhang4/3chao2	3chao2 
48	22-1-354-3	77161647495959881	Mandarin Chinese	mand1415	the high tide	HIGH TIDE	613	高潮	gao1chao2	gao1chao2 
49	22-1-36-1	77161647298006069	Mandarin Chinese	mand1415	the river or stream	RIVER	666	河	he2 (1)	he2 (1) 
50	22-1-36-2	77161647639807757	Mandarin Chinese	mand1415	the river or stream	RIVER	666	溪	xi1 (3)	xi1 (3) 
51	22-1-36-3	77161647235211859	Mandarin Chinese	mand1415	the river or stream	RIVER	666	川	chuan1 (2)	chuan1 (2) 
52	22-1-362-1	77161647862987812	Mandarin Chinese	mand1415	the whirlpool	WHIRLPOOL	1982	漩涡	xuan2/4 wo1	xuan2 
53	22-1-362-2	77161647862987812	Mandarin Chinese	mand1415	the whirlpool	WHIRLPOOL	1982	漩涡	xuan2/4 wo1	4 wo1 
54	22-1-362-3	7716164761996011	Mandarin Chinese	mand1415	the whirlpool	WHIRLPOOL	1982	水涡	shui3wo1	shui3wo1 
55	22-1-37-1	77161647746119776	Mandarin Chinese	mand1415	the spring or well	SPRING OR WELL	2144	泉	quan2	quan2 
56	22-1-37-2	77161647503562845	Mandarin Chinese	mand1415	the spring or well	SPRING OR WELL	2144	泉源	quan2yuan2	quan2yuan2 
