ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	41-1-1-1	7211254768603039	Mapudungun	mapu1245	the world	WORLD	965		mapu	mapu 
2	41-1-21-1	7211254293462815	Mapudungun	mapu1245	the land	LAND	626		mapu	mapu 
3	41-1-212-1	7211254856055887	Mapudungun	mapu1245	the soil	EARTH (SOIL)	1228		püllü	püllü 
4	41-1-212-2	7211254965908677	Mapudungun	mapu1245	the soil	EARTH (SOIL)	1228		kuyüm	kuyüm 
5	41-1-213-1	7211254600734787	Mapudungun	mapu1245	the dust	DUST	2		trufür	trufür 
6	41-1-213-2	7211254686088233	Mapudungun	mapu1245	the dust	DUST	2		trufken	trufken 
7	41-1-214-1	7211254733136159	Mapudungun	mapu1245	the mud	MUD	640		fotra	fotra 
8	41-1-215-1	721125413964564	Mapudungun	mapu1245	the sand	SAND	671		kuyüm	kuyüm 
9	41-1-215-2	7211254187749522	Mapudungun	mapu1245	the sand	SAND	671		achef kuyüm	achef kuyüm 
10	41-1-22-1	7211254911334680	Mapudungun	mapu1245	the mountain or hill	MOUNTAIN OR HILL	2118		mawiza	mawiza 
11	41-1-22-2	7211254189768552	Mapudungun	mapu1245	the mountain or hill	MOUNTAIN OR HILL	2118		wingkul	wingkul 
12	41-1-22-3	76282317137994250	Mapudungun	mapu1245	the mountain or hill	MOUNTAIN OR HILL	2118		kalel	kalel 
13	41-1-222-1	72112545532125	Mapudungun	mapu1245	the cliff or precipice	PRECIPICE	618		lil	lil 
14	41-1-23-1	7211254821751023	Mapudungun	mapu1245	the plain	PLAIN	652		laf mapu	laf mapu 
15	41-1-23-2	7211254930201495	Mapudungun	mapu1245	the plain	PLAIN	652		lelfün	lelfün 
16	41-1-24-1	7211254952779022	Mapudungun	mapu1245	the valley	VALLEY	921		waw	waw 
17	41-1-25-1	7211254773797158	Mapudungun	mapu1245	the island	ISLAND	622		wapi	wapi 
18	41-1-26-1	7211254293462815	Mapudungun	mapu1245	the mainland	MAINLAND	166		mapu	mapu 
19	41-1-27-1	7211254167724066	Mapudungun	mapu1245	the shore	SHORE	113		inaltu	inaltu 
20	41-1-28-1	7211254452491450	Mapudungun	mapu1245	the cave	CAVE	1155		lolo	lolo 
21	41-1-31-1	7211254516131498	Mapudungun	mapu1245	the water	WATER	948		ko	ko 
22	41-1-32-1	7211254469509001	Mapudungun	mapu1245	the sea	SEA	1474		ḻafkeṉ	ḻafkeṉ 
23	41-1-322-1	7211254191074186	Mapudungun	mapu1245	calm	CALM	258		ñüküf	ñüküf 
24	41-1-322-2	7211254562234099	Mapudungun	mapu1245	calm	CALM	258		tüng	tüng 
25	41-1-323-1	7211254864918821	Mapudungun	mapu1245	rough(2)	ROUGH (OF SEA)	259		illkuley	illkuley 
26	41-1-324-1	7211254115442516	Mapudungun	mapu1245	the foam	FOAM	1768		trorfan	trorfan 
27	41-1-324-2	7211254443119876	Mapudungun	mapu1245	the foam	FOAM	1768		tronün	tronün 
28	41-1-329-1	7211254469509001	Mapudungun	mapu1245	the ocean	OCEAN	645		ḻafkeṉ	ḻafkeṉ 
29	41-1-33-1	7211254469509001	Mapudungun	mapu1245	the lake	LAKE	624		ḻafkeṉ	ḻafkeṉ 
30	41-1-341-1	7211254965931940	Mapudungun	mapu1245	the lagoon	LAGOON	623		pichi ḻafkeṉ	pichi ḻafkeṉ 
31	41-1-341-2	813115809400529	Mapudungun	mapu1245	the lagoon	LAGOON	623		lawna	lawna 
32	41-1-342-1	7211254648940523	Mapudungun	mapu1245	the reef	REEF	660		lil	lil 
33	41-1-35-1	721125413978769	Mapudungun	mapu1245	the wave	WAVE	978		rew	rew 
34	41-1-354-1	7211254341903646	Mapudungun	mapu1245	the high tide	HIGH TIDE	613		tripako	tripako 
35	41-1-36-1	7211254958399900	Mapudungun	mapu1245	the river or stream	RIVER	666		ḻewfü	ḻewfü 
36	41-1-36-2	7211254798864636	Mapudungun	mapu1245	the river or stream	RIVER	666		witrun ko	witrun ko 
37	41-1-362-1	7211254423780259	Mapudungun	mapu1245	the whirlpool	WHIRLPOOL	1982		pewül ko	pewül ko 
38	41-1-37-1	7211254893028163	Mapudungun	mapu1245	the spring or well	SPRING OR WELL	2144		wüf ko	wüf ko 
39	41-1-37-2	7211254685227579	Mapudungun	mapu1245	the spring or well	SPRING OR WELL	2144		rüngan ko	rüngan ko 
40	41-1-38-1	7211254787505252	Mapudungun	mapu1245	the swamp	SWAMP	1145		llozko	llozko 
41	41-1-38-2	721125492126611	Mapudungun	mapu1245	the swamp	SWAMP	1145		menoko	menoko 
42	41-1-39-1	7211254109749953	Mapudungun	mapu1245	the waterfall	WATERFALL	943		traytray ko	traytray ko 
43	41-1-39-2	7211254601557973	Mapudungun	mapu1245	the waterfall	WATERFALL	943		witrun ko	witrun ko 
44	41-1-41-1	7211254504435998	Mapudungun	mapu1245	the woods or forest	FOREST	420		lemu	lemu 
45	41-1-43-1	7211254495146233	Mapudungun	mapu1245	the wood	WOOD	1803		mamüll	mamüll 
46	41-1-44-1	7211254781225771	Mapudungun	mapu1245	the stone or rock	STONE OR ROCK	2125		kura	kura 
47	41-1-44-2	7211254648940523	Mapudungun	mapu1245	the stone or rock	STONE OR ROCK	2125		lil	lil 
48	41-1-45-1	7211254651985606	Mapudungun	mapu1245	the earthquake	EARTHQUAKE	6		nüyüṉ	nüyüṉ 
49	41-1-51-1	7211254155604392	Mapudungun	mapu1245	the sky	SKY	1732		wenu mapu	wenu mapu 
50	41-1-51-2	7211254125523907	Mapudungun	mapu1245	the sky	SKY	1732		wenu	wenu 
51	41-1-52-1	7211254127865203	Mapudungun	mapu1245	the sun	SUN	1343		antü	antü 
52	41-1-53-1	7211254891402585	Mapudungun	mapu1245	the moon	MOON	1313		küyeṉ	küyeṉ 
53	41-1-54-1	7211254867713243	Mapudungun	mapu1245	the star	STAR	1430		wangüḻen	wangüḻen 
54	41-1-55-1	7211254135325383	Mapudungun	mapu1245	the lightning	LIGHTNING	1654		llüfke	llüfke 
55	41-1-56-1	721125453995034	Mapudungun	mapu1245	the thunder	THUNDER	1150		tralkan	tralkan 
56	41-1-57-1	7211254135325383	Mapudungun	mapu1245	the bolt of lightning	BOLT (OF LIGHTNING)	2007		llüfke	llüfke 
57	41-1-58-1	721125414524906	Mapudungun	mapu1245	the storm	STORM	858		lulul wenu	lulul wenu 
58	41-1-58-2	7211254237444400	Mapudungun	mapu1245	the storm	STORM	858		küm küm wenu	küm küm wenu 
59	41-1-59-1	7211254868808842	Mapudungun	mapu1245	the rainbow	RAINBOW	1733		relmu	relmu 
60	41-1-61-1	7211254597156442	Mapudungun	mapu1245	the light	LIGHT (RADIATION)	630		pelon	pelon 
61	41-1-62-1	7211254320452004	Mapudungun	mapu1245	the darkness	DARKNESS	11		zumiñ	zumiñ 
62	41-1-63-1	7211254438175989	Mapudungun	mapu1245	the shade or shadow	SHADE	1388		llawfeñ	llawfeñ 
63	41-1-63-2	7211254468137214	Mapudungun	mapu1245	the shade or shadow	SHADE	1388		aywiñ	aywiñ 
64	41-1-64-1	7211254126511036	Mapudungun	mapu1245	the dew	DEW	1977		iḻwen	iḻwen 
65	41-1-64-2	7211254858080397	Mapudungun	mapu1245	the dew	DEW	1977		müḻfeñ	müḻfeñ 
66	41-1-64-3	7211254220029646	Mapudungun	mapu1245	the dew	DEW	1977		trangliñi	trangliñi 
67	41-1-71-1	7211254236536330	Mapudungun	mapu1245	the air	AIR	27		kürüf	kürüf 
68	41-1-72-1	7211254236536330	Mapudungun	mapu1245	the wind	WIND	960		kürüf	kürüf 
69	41-1-73-1	7211254337989896	Mapudungun	mapu1245	the cloud	CLOUD	1489		tromü	tromü 
70	41-1-74-1	721125481958468	Mapudungun	mapu1245	the fog	FOG	249		trukür	trukür 
71	41-1-75-1	72112545973	Mapudungun	mapu1245	the rain	RAIN (PRECIPITATION)	658		mawüṉ	mawüṉ 
72	41-1-76-1	7211254314212162	Mapudungun	mapu1245	the snow	SNOW	784		pire	pire 
73	41-1-77-1	7211254521815106	Mapudungun	mapu1245	the ice	ICE	617		trangliñ	trangliñ 
74	41-1-78-1	7211254127865203	Mapudungun	mapu1245	the weather	WEATHER	952		antü	antü 
75	41-1-81-1	7211254721450744	Mapudungun	mapu1245	the fire	FIRE	221		kütral	kütral 
76	41-1-82-1	7211254719029477	Mapudungun	mapu1245	the flame	FLAME	889		weywiñ	weywiñ 
77	41-1-83-1	7211254954483457	Mapudungun	mapu1245	the smoke	SMOKE (EXHAUST)	778		fitrun	fitrun 
78	41-1-84-1	7211254686088233	Mapudungun	mapu1245	the ash	ASH	646		trufken	trufken 
79	41-1-84-2	7211254203685990	Mapudungun	mapu1245	the ash	ASH	646		liq kuyüm	liq kuyüm 
80	41-1-841-1	7211254435918448	Mapudungun	mapu1245	the embers	EMBERS	67		ayḻen	ayḻen 
81	41-1-851-1	721125483707680	Mapudungun	mapu1245	to burn(1)	BURN (SOMETHING)	141		pütren	pütren 
82	41-1-851-2	7211254700968358	Mapudungun	mapu1245	to burn(1)	BURN (SOMETHING)	141		lüpümün	lüpümün 
83	41-1-852-1	7211254350926623	Mapudungun	mapu1245	to burn(2)	BURNING	1428		üyün	üyün 
84	41-1-86-1	721125479258948	Mapudungun	mapu1245	to light	LIGHT (IGNITE)	737		üyümün	üyümün 
85	41-1-861-1	7211254313236600	Mapudungun	mapu1245	to extinguish	EXTINGUISH	127		chongümün	chongümün 
86	41-1-87-1	7211254168019121	Mapudungun	mapu1245	the match	MATCH	1133		kütral	kütral 
