Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
i$	i	hai, he̲ki	Otomi	830	U+0069 U+0024
n	n	makwäni, mfeni	Otomi	640	U+006e
t	t̪	ät’i, nt’ut’i nt'o̲t'e	Otomi	526	U+0074
i	i	hingi hei, hingi ho	Otomi	462	U+0069
a	a	hai, maxo̲ts'e	Otomi	446	U+0061
^n	n	ngäts'i, nu'ä	Otomi	427	U+005e U+006e
_	NULL	ya bätsi ne ya 'be̲to, 'ño̲ho̲ 'yo xi hño	Otomi	426	U+005f
o	o	hoki, ñot’i	Otomi	364	U+006f
e	e	mfeni, meni	Otomi	347	U+0065
u	u	hogumui, fuxuhai	Otomi	310	U+0075
ts	ts	maxo̲ts'e, ngäts'i	Otomi	300	U+0074 U+0073
d	d	udi, ndu̲i	Otomi	285	U+0064
ä	ɐ	ngäts'i, makwäni	Otomi	256	U+00e4
u̲	u̲/u	ndu̲i, ju̲xt'i	Otomi	241	U+0075 U+0332
x	x	maxo̲ts'e, txitxi	Otomi	238	U+0078
h	h	'nihi, mihi	Otomi	238	U+0068
e$	e	pe, pale	Otomi	238	U+0065 U+0024
g	g	ngäts'i, he̲gi	Otomi	235	U+0067
o$	o	tiyo, xi hño	Otomi	225	U+006f U+0024
^h	h	hai, he̲ki	Otomi	217	U+005e U+0068
a$	a	uba, ora	Otomi	212	U+0061 U+0024
^m	m	maxo̲ts'e, makwäni	Otomi	194	U+005e U+006d
k	k	he̲ki, hoki	Otomi	181	U+006b
m	m	animä, hogumui	Otomi	179	U+006d
th	θ	nxanthe, nthähi	Otomi	177	U+0074 U+0068
e̲	æ	he̲ki, he̲gi	Otomi	164	U+0065 U+0332
b	b	‘bui, ‘ba̲t'i	Otomi	163	U+0062
^x	x	xi nts'o, xifni	Otomi	161	U+005e U+0078
ä$	ɐ	bo̲jä, hñä	Otomi	158	U+00e4 U+0024
o̲	ə	bo̲jä, maxo̲ts'e	Otomi	136	U+006f U+0332
^t	t̪	tiyo, tihi	Otomi	135	U+005e U+0074
ñ	ɲ	hñä, ts’ixt’u‘ñu	Otomi	130	U+00f1
u$	u	ju, 'bitu	Otomi	125	U+0075 U+0024
r	r	nixtri, barko	Otomi	124	U+0072
j	x	bo̲jä, bo̲jä denjä'i	Otomi	117	U+006a
y	j	hyoya, tiyo	Otomi	112	U+0079
^ts	ts	ts’ixt’u‘ñu, tsibi	Otomi	99	U+005e U+0074 U+0073
^k	k	kät'i, k'ahni	Otomi	96	U+005e U+006b
^p	p	pe, pale	Otomi	95	U+005e U+0070
f	f	mfeni, mafi	Otomi	91	U+0066
a̲	ɔ	‘ba̲t'i, 'ma̲i	Otomi	90	U+0061 U+0332
^d	d	däzabi, do̲ni	Otomi	80	U+005e U+0064
z	z	däzabi, mbozaa	Otomi	76	U+007a
'm	ˀm	he'mi 'mehni, ntso̲'mi	Otomi	69	U+0027 U+006d
^b	b	bo̲jä, bätsi	Otomi	66	U+005e U+0062
^‘b	ˀb	‘bui, ‘ba̲t'i	Otomi	65	U+005e U+2018
p	p	mpa̲ni, mprebeni	Otomi	64	U+0070
l	l	pale, pelikula	Otomi	62	U+006c
^g	g	gehna, ge'ä	Otomi	59	U+005e U+0067
^'b	ˀb	'be̲di, 'bitu	Otomi	58	U+005e U+0027 U+0062
^j	x	ju, juts’i	Otomi	53	U+005e U+006a
