ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	35-1-1-1	72241352701548045	Otomi	mezq1235	the world	WORLD	965		ximha̲i	ximha̲i 
2	35-1-21-1	7224135222597344	Otomi	mezq1235	the land	LAND	626		hai	hai 
3	35-1-212-1	7224135222597344	Otomi	mezq1235	the soil	EARTH (SOIL)	1228		hai	hai 
4	35-1-213-1	7224135250903565	Otomi	mezq1235	the dust	DUST	2		fonthai	fonthai 
5	35-1-214-1	72241352823263603	Otomi	mezq1235	the mud	MUD	640		bo̲ha̲i	bo̲ha̲i 
6	35-1-215-1	72241352124335534	Otomi	mezq1235	the sand	SAND	671		'bomu	'bomu 
7	35-1-22-1	72241352178084528	Otomi	mezq1235	the mountain or hill	MOUNTAIN OR HILL	2118		t'o̲ho̲	t'o̲ho̲ 
8	35-1-22-2	722893356325248	Otomi	mezq1235	the mountain or hill	MOUNTAIN OR HILL	2118		mbots'i (2)	mbots'i (2) 
9	35-1-222-1	72241352826622786	Otomi	mezq1235	the cliff or precipice	PRECIPICE	618		xotha̲i	xotha̲i 
10	35-1-23-1	72241352348649956	Otomi	mezq1235	the plain	PLAIN	652		'batha	'batha 
11	35-1-24-1	72241352426250462	Otomi	mezq1235	the valley	VALLEY	921		ni	ni 
12	35-1-24-2	72241352466090364	Otomi	mezq1235	the valley	VALLEY	921		nidi	nidi 
13	35-1-24-3	72241352348649956	Otomi	mezq1235	the valley	VALLEY	921		'batha	'batha 
14	35-1-25-1	72241352524339926	Otomi	mezq1235	the island	ISLAND	622		hai mbo dehe	hai mbo dehe 
15	35-1-26-1	72241352686209347	Otomi	mezq1235	the mainland	MAINLAND	166		ximhai	ximhai 
16	35-1-26-2	7224135222597344	Otomi	mezq1235	the mainland	MAINLAND	166		hai	hai 
17	35-1-27-1	72241352643554130	Otomi	mezq1235	the shore	SHORE	113		ñänthe	ñänthe 
18	35-1-27-2	7228939892691285	Otomi	mezq1235	the shore	SHORE	113		nenthe	nenthe 
19	35-1-27-3	72241352937401776	Otomi	mezq1235	the shore	SHORE	113		ñäni (2)	ñäni (2) 
20	35-1-27-4	722894159495904	Otomi	mezq1235	the shore	SHORE	113		nengi	nengi 
21	35-1-28-1	72241352551001165	Otomi	mezq1235	the cave	CAVE	1155		nku̲ts'i	nku̲ts'i 
22	35-1-28-2	722895179335502	Otomi	mezq1235	the cave	CAVE	1155		ñu̲ts'i	ñu̲ts'i 
23	35-1-28-3	7228951569600255	Otomi	mezq1235	the cave	CAVE	1155		kweba	kweba 
24	35-1-31-1	72241352513931839	Otomi	mezq1235	the water	WATER	948		dehe	dehe 
25	35-1-32-1	72241352645201532	Otomi	mezq1235	the sea	SEA	1474		däzabi	däzabi 
26	35-1-324-1	7224135234473691	Otomi	mezq1235	the foam	FOAM	1768		fu̲gi	fu̲gi 
27	35-1-329-1	72241352645201532	Otomi	mezq1235	the ocean	OCEAN	645		däzabi	däzabi 
28	35-1-33-1	76221722567616753	Otomi	mezq1235	the lake	LAKE	624		zabi	zabi 
29	35-1-34-1	76221722567616753	Otomi	mezq1235	the bay	BAY	663		zabi	zabi 
30	35-1-343-1	72241352881592896	Otomi	mezq1235	the cape	CAPE	1662		nts'ä hai	nts'ä hai 
31	35-1-35-1	72241352584596179	Otomi	mezq1235	the wave	WAVE	978		munts'i	munts'i 
32	35-1-352-1	7224135282261393	Otomi	mezq1235	the tide	TIDE	891		munts'udehe	munts'udehe 
33	35-1-352-2	72281015924592477	Otomi	mezq1235	the tide	TIDE	891		'ño	'ño 
34	35-1-352-3	73121547314458223	Otomi	mezq1235	the tide	TIDE	891		'nihi	'nihi 
35	35-1-352-4	72281017837165751	Otomi	mezq1235	the tide	TIDE	891		nthihi	nthihi 
36	35-1-352-5	72281017434946860	Otomi	mezq1235	the tide	TIDE	891		'ñäni dehe	'ñäni dehe 
37	35-1-353-1	72241352831807318	Otomi	mezq1235	the low tide	LOW TIDE	1026		dehe hingi hets’i	dehe hingi hets’i 
38	35-1-354-1	72241352187416846	Otomi	mezq1235	the high tide	HIGH TIDE	613		dehe xi hñets’i	dehe xi hñets’i 
39	35-1-36-1	72241352817162863	Otomi	mezq1235	the river or stream	RIVER	666		däthe	däthe 
40	35-1-36-2	7228954730112578	Otomi	mezq1235	the river or stream	RIVER	666		hñe (1)	hñe (1) 
41	35-1-362-1	72241352694568768	Otomi	mezq1235	the whirlpool	WHIRLPOOL	1982		xedi dehe	xedi dehe 
42	35-1-37-1	72241352501096300	Otomi	mezq1235	the spring or well	SPRING OR WELL	2144		pothe (1)	pothe (1) 
43	35-1-37-2	7228955925760691	Otomi	mezq1235	the spring or well	SPRING OR WELL	2144		mehe	mehe 
44	35-1-39-1	7228956569021852	Otomi	mezq1235	the waterfall	WATERFALL	943		nzothe	nzothe 
45	35-1-41-1	72241352330286434	Otomi	mezq1235	the woods or forest	FOREST	420		mbozaa	mbozaa 
46	35-1-43-1	72241352356197711	Otomi	mezq1235	the wood	WOOD	1803		zaa	zaa 
47	35-1-44-1	72241352322550620	Otomi	mezq1235	the stone or rock	STONE OR ROCK	2125		do	do 
48	35-1-44-2	7228959302721001	Otomi	mezq1235	the stone or rock	STONE OR ROCK	2125		ma’ye	ma’ye 
49	35-1-44-3	7228959556224827	Otomi	mezq1235	the stone or rock	STONE OR ROCK	2125		ndo̲do	ndo̲do 
50	35-1-45-1	72241352403567463	Otomi	mezq1235	the earthquake	EARTHQUAKE	6		mpo̲ñha̲i	mpo̲ñha̲i 
51	35-1-45-2	7228101157854330	Otomi	mezq1235	the earthquake	EARTHQUAKE	6		mpo̲ni	mpo̲ni 
52	35-1-51-1	72241352903534020	Otomi	mezq1235	the sky	SKY	1732		mahets'i	mahets'i 
53	35-1-52-1	72241352748206644	Otomi	mezq1235	the sun	SUN	1343		hyadi	hyadi 
54	35-1-53-1	72241352756341079	Otomi	mezq1235	the moon	MOON	1313		zänä	zänä 
55	35-1-54-1	722413529139965	Otomi	mezq1235	the star	STAR	1430		tso̲ho̲ (1)	tso̲ho̲ (1) 
56	35-1-55-1	7224135215467967	Otomi	mezq1235	the lightning	LIGHTNING	1654		jwe̲i	jwe̲i 
57	35-1-56-1	7224135236523063	Otomi	mezq1235	the thunder	THUNDER	1150		nga̲ni	nga̲ni 
58	35-1-56-2	72241352344372948	Otomi	mezq1235	the thunder	THUNDER	1150		ñu̲ni	ñu̲ni 
59	35-1-57-1	7224135215467967	Otomi	mezq1235	the bolt of lightning	BOLT (OF LIGHTNING)	2007		jwe̲i	jwe̲i 
60	35-1-58-1	72241352175353476	Otomi	mezq1235	the storm	STORM	858		bu̲nthi	bu̲nthi 
61	35-1-59-1	72241352803634452	Otomi	mezq1235	the rainbow	RAINBOW	1733		‘be̲jini	‘be̲jini 
62	35-1-61-1	72241352577766958	Otomi	mezq1235	the light	LIGHT (RADIATION)	630		ñot’i	ñot’i 
63	35-1-61-2	72241352724038861	Otomi	mezq1235	the light	LIGHT (RADIATION)	630		tsibi	tsibi 
64	35-1-62-1	72241352379995795	Otomi	mezq1235	the darkness	DARKNESS	11		'be̲xui	'be̲xui 
65	35-1-62-2	7228104547674749	Otomi	mezq1235	the darkness	DARKNESS	11		mpumha̲i	mpumha̲i 
66	35-1-63-1	72241352495135853	Otomi	mezq1235	the shade or shadow	SHADE	1388		xudi	xudi 
67	35-1-64-1	72241352498506428	Otomi	mezq1235	the dew	DEW	1977		xa (1)	xa (1) 
