ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	21-1-1-1	61223170512597810	Japanese	nucl1643	the world	WORLD	965	世界	sekai	sekai 
2	21-1-1-2	61223172757732374	Japanese	nucl1643	the world	WORLD	965	世	yo	yo 
3	21-1-21-1	61223173937063755	Japanese	nucl1643	the land	LAND	626	大陸	tairiku	tairiku 
4	21-1-21-2	61223170762194580	Japanese	nucl1643	the land	LAND	626	陸地	rikuchi	rikuchi 
5	21-1-21-3	783117609701135	Japanese	nucl1643	the land	LAND	626	陸	riku	riku 
6	21-1-212-1	61223170698916771	Japanese	nucl1643	the soil	EARTH (SOIL)	1228	土	tsuchi (1)	tsuchi (1) 
7	21-1-213-1	61223170813917003	Japanese	nucl1643	the dust	DUST	2	埃	hokori	hokori 
8	21-1-214-1	61223170360983426	Japanese	nucl1643	the mud	MUD	640	泥	doro	doro 
9	21-1-215-1	61223170734722122	Japanese	nucl1643	the sand	SAND	671	砂	suna	suna 
10	21-1-22-1	61223170369452816	Japanese	nucl1643	the mountain or hill	MOUNTAIN OR HILL	2118	山	yama	yama 
11	21-1-22-2	61223172843869327	Japanese	nucl1643	the mountain or hill	MOUNTAIN OR HILL	2118	丘	oka	oka 
12	21-1-222-1	61223170910428933	Japanese	nucl1643	the cliff or precipice	PRECIPICE	618	崖	gake	gake 
13	21-1-23-1	61223170716479012	Japanese	nucl1643	the plain	PLAIN	652	平地	heichi	heichi 
14	21-1-23-2	61223172369783237	Japanese	nucl1643	the plain	PLAIN	652	野原	nohara	nohara 
15	21-1-24-1	61223170873596580	Japanese	nucl1643	the valley	VALLEY	921	谷	tani	tani 
16	21-1-25-1	61223170664872725	Japanese	nucl1643	the island	ISLAND	622	島	shima	shima 
17	21-1-26-1	61223170838112574	Japanese	nucl1643	the mainland	MAINLAND	166	内地	naichi	naichi 
18	21-1-26-2	61223173937063755	Japanese	nucl1643	the mainland	MAINLAND	166	大陸	tairiku	tairiku 
19	21-1-27-1	61223170452113804	Japanese	nucl1643	the shore	SHORE	113	岸	kishi	kishi 
20	21-1-27-2	6122317298904135	Japanese	nucl1643	the shore	SHORE	113	海岸	kaigan	kaigan 
21	21-1-27-3	7831110628448490	Japanese	nucl1643	the shore	SHORE	113	河岸	kagan	kagan 
22	21-1-28-1	61223170311727245	Japanese	nucl1643	the cave	CAVE	1155	洞窟	dōkutsu	dōkutsu 
