ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	11-1-1-1	7412137134239049	Old High German	oldh1241	the world	WORLD	965		weralt	weralt 
2	11-1-21-1	76191057575282273	Old High German	oldh1241	the land	LAND	626		lant	lant 
3	11-1-212-1	74121335492440374	Old High German	oldh1241	the soil	EARTH (SOIL)	1228		bodam	bodam 
4	11-1-213-1	74121336180369259	Old High German	oldh1241	the dust	DUST	2		stoub	stoub 
5	11-1-215-1	74121339754743897	Old High German	oldh1241	the sand	SAND	671		sant	sant 
6	11-1-22-1	7412134138472211	Old High German	oldh1241	the mountain or hill	MOUNTAIN OR HILL	2118		berg	berg 
7	11-1-222-1	74121343471431728	Old High German	oldh1241	the cliff or precipice	PRECIPICE	618		kleb	kleb 
8	11-1-23-1	74121344294385809	Old High German	oldh1241	the plain	PLAIN	652		ebanî	ebanî 
9	11-1-24-1	74121348759852115	Old High German	oldh1241	the valley	VALLEY	921		tal	tal 
10	11-1-25-1	74121349626297813	Old High German	oldh1241	the island	ISLAND	622		isila	isila 
11	11-1-28-1	7412140247620239	Old High German	oldh1241	the cave	CAVE	1155		holî	holî 
12	11-1-31-1	741214194856875	Old High German	oldh1241	the water	WATER	948		wazzar	wazzar 
13	11-1-32-1	74121410230852328	Old High German	oldh1241	the sea	SEA	1474		meri	meri 
14	11-1-322-1	76121111371838715	Old High German	oldh1241	calm	CALM	258		stilli	stilli 
15	11-1-323-1	74121414789742690	Old High German	oldh1241	rough(2)	ROUGH (OF SEA)	259		rûh	rûh 
16	11-1-324-1	74121415338082319	Old High German	oldh1241	the foam	FOAM	1768		scûm	scûm 
17	11-1-33-1	741214176382348	Old High German	oldh1241	the lake	LAKE	624		sêo	sêo 
18	11-1-35-1	7412142127304779	Old High German	oldh1241	the wave	WAVE	978		wella	wella 
19	11-1-352-1	74121422885287749	Old High German	oldh1241	the tide	TIDE	891		gizît	gizît 
20	11-1-353-1	86111131875844292	Old High German	oldh1241	the low tide	LOW TIDE	1026		ebbunga	ebbunga 
21	11-1-354-1	74121425535795441	Old High German	oldh1241	the high tide	HIGH TIDE	613		fluot	fluot 
22	11-1-36-1	74121426868710991	Old High German	oldh1241	the river or stream	RIVER	666		fluz	fluz 
