Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	ʃarbakta, ʃa:wukanan	Oroqen	408	U+0061
k	k	ulkəkən, dɪlatʃa tiktəkəki	Oroqen	354	U+006b
n$	n	ukun, ʃa:wukanan	Oroqen	322	U+006e U+0024
-	+	ɔ:-, ga-	Oroqen	310	U+002d
ə	ə	ulkəkən, ətəkən-	Oroqen	276	U+0259
u	u	wurumkun, umun duru-tʃi	Oroqen	265	U+0075
r	r	tur urtərgətʃə, ʃarbakta	Oroqen	263	U+0072
l	l	ulgur, inəŋdulin bɪlga	Oroqen	252	U+006c
i	i	əʃikin, bʊɣaŋi əlginin	Oroqen	233	U+0069
a$	a	ʃarbakta, ga-	Oroqen	173	U+0061 U+0024
ə$	ə	itʃə-, iɲə-	Oroqen	161	U+0259 U+0024
ʊ	ʊ	kʊrdʊr, tʃʊkʊmʊkta	Oroqen	156	U+028a
t	t	ʃarbakta, dɪlatʃa tiktəkəki	Oroqen	155	U+0074
n	n	inəŋ dulin nuktʃitʃə, umun nandar	Oroqen	148	U+006e
g	g	ulgur, ʃɔgdɔnɔ	Oroqen	138	U+0067
m	m	amalan, tama-	Oroqen	133	U+006d
d	d	ʃɔgdɔnɔ, kʊrdʊr	Oroqen	132	U+0064
ɪ	ɪ	ʊmʊktaŋi ʃɪŋarɪnɪn, ɲɪrayɪkan	Oroqen	126	U+026a
ŋ	ŋ	ɔŋɔktɔŋi dɔ:n, kuŋkə:	Oroqen	116	U+014b
i$	i	yakʃiŋki, bi-	Oroqen	111	U+0069 U+0024
^t	t	tama-, tʊkʃakɪ	Oroqen	107	U+005e U+0074
tʃ	tʃ	itʃə-, palatʃɛntʃa	Oroqen	98	U+0074 U+0283
^ʃ	ʃ	ʃarbakta, ʃa:wukanan	Oroqen	97	U+005e U+0283
^a	a	amalan, algan	Oroqen	95	U+005e U+0061
^k	k	kurə:kə:n, kɔtɔ	Oroqen	90	U+005e U+006b
y	y	mayman, dʒu:layi yabʊran	Oroqen	87	U+0079
ɔ	ɔ	ʃɔgdɔnɔ, dɔkɔlɔn-	Oroqen	86	U+0254
^u	u	ulgur, ukun	Oroqen	85	U+005e U+0075
^ə	ə	ətəkən-, əɲəkə	Oroqen	80	U+005e U+0259
^b	b	bi-, bʊwa	Oroqen	74	U+005e U+0062
w	w	ʃa:wukanan, kawukɛ:wuptɪla bəyə	Oroqen	70	U+0077
_	_	aʃɪ taktɪ bəyə, inəŋ dulin nuktʃitʃə	Oroqen	68	U+005f
^d	d	damga, dɔ:ldi-	Oroqen	65	U+005e U+0064
^dʒ	dʒ	dʒu:, dʒəg	Oroqen	62	U+005e U+0064 U+0292
^g	g	ga-, gu:	Oroqen	58	U+005e U+0067
ʃ	ʃ	ʊʃɪkta, əʃikin	Oroqen	58	U+0283
u$	u	ənuku, guntʃulu	Oroqen	56	U+0075 U+0024
^m	m	mɔ:, mayman	Oroqen	56	U+005e U+006d
^i	i	inəŋ, itʃə-	Oroqen	54	U+005e U+0069
a:	aː	ʃa:wukanan, ŋa:la	Oroqen	53	U+0061 U+003a
ɪ$	ɪ	tarɪ, tʃʊrgɪ-	Oroqen	53	U+026a U+0024
b	b	ʃarbakta, tubiɣə	Oroqen	52	U+0062
p	p	lʊpkʊptɪn, guruptən	Oroqen	47	U+0070
r$	r	ulgur, tar-	Oroqen	41	U+0072 U+0024
