ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	28-1-1-1	772514426433613	Malagasy	plat1254	the world	WORLD	965		izào tontòlo izào	izào tontòlo izào 
2	28-1-21-1	7725144837895611	Malagasy	plat1254	the land	LAND	626		tàny	tàny 
3	28-1-212-1	7725144837895611	Malagasy	plat1254	the soil	EARTH (SOIL)	1228		tàny	tàny 
4	28-1-213-1	7725144101161708	Malagasy	plat1254	the dust	DUST	2		vòvoka	vòvoka 
5	28-1-214-1	7725144381799373	Malagasy	plat1254	the mud	MUD	640		fòtaka	fòtaka 
6	28-1-215-1	7725144681163870	Malagasy	plat1254	the sand	SAND	671		fàsika	fàsika 
7	28-1-22-1	7725144782094817	Malagasy	plat1254	the mountain or hill	MOUNTAIN OR HILL	2118		vòhitra	vòhitra 
8	28-1-222-1	7725144536024298	Malagasy	plat1254	the cliff or precipice	PRECIPICE	618		hàntsana	hàntsana 
9	28-1-23-1	7725144128391700	Malagasy	plat1254	the plain	PLAIN	652		tàny lèmaka	tàny lèmaka 
10	28-1-23-2	7725144769596237	Malagasy	plat1254	the plain	PLAIN	652		sàha	sàha 
11	28-1-24-1	7725144893619912	Malagasy	plat1254	the valley	VALLEY	921		loha-sàha	loha-sàha 
12	28-1-25-1	772514461763996	Malagasy	plat1254	the island	ISLAND	622		nòsy	nòsy 
13	28-1-26-1	7725144728500520	Malagasy	plat1254	the mainland	MAINLAND	166		kontinènta	kontinènta 
14	28-1-27-1	772514438436478	Malagasy	plat1254	the shore	SHORE	113		morondràno	morondràno 
15	28-1-28-1	7725144684194057	Malagasy	plat1254	the cave	CAVE	1155		lava-bàto	lava-bàto 
16	28-1-31-1	772514450610088	Malagasy	plat1254	the water	WATER	948		ràno	ràno 
17	28-1-32-1	7725144862243985	Malagasy	plat1254	the sea	SEA	1474		ranomàsina	ranomàsina 
18	28-1-322-1	7725144341366420	Malagasy	plat1254	calm	CALM	258		tòny	tòny 
19	28-1-323-1	7725144288880733	Malagasy	plat1254	rough(2)	ROUGH (OF SEA)	259		manetsikètsika	manetsikètsika 
20	28-1-324-1	7725144973134779	Malagasy	plat1254	the foam	FOAM	1768		vòry	vòry 
21	28-1-324-2	7725144137436184	Malagasy	plat1254	the foam	FOAM	1768		ròatra	ròatra 
22	28-1-329-1	7725144581494598	Malagasy	plat1254	the ocean	OCEAN	645		ranomasimbè	ranomasimbè 
23	28-1-33-1	7725144729544421	Malagasy	plat1254	the lake	LAKE	624		farìhy	farìhy 
