Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
r	r	frate, soră	Romanian	916	U+0072
i	i	liniştit, rit de iniţiere	Romanian	874	U+0069
a	a	frate, cadavru	Romanian	844	U+0061
e	e	femeiesc, nepot	Romanian	807	U+0065
_	_	a purta pe cap, a prinde în cursă	Romanian	643	U+005f
u	u	vultur, a împrumuta	Romanian	613	U+0075
o	o	nepot, dogoritor	Romanian	599	U+006f
^a	a	a învăţa, a bate	Romanian	587	U+005e U+0061
n	n	continent, a îngenunchea	Romanian	579	U+006e
t	t	frate, prostituată	Romanian	564	U+0074
ă$	ă	mătuşă, soră	Romanian	475	U+0103 U+0024
c	c	a conduce, nucă de cocos	Romanian	447	U+0063
e$	e	frate, piele	Romanian	381	U+0065 U+0024
l	l	piele, mijloc	Romanian	377	U+006c
ă	ă	bărbătesc, mătuşă	Romanian	352	U+0103
m	m	a împrumuta, vreme	Romanian	317	U+006d
s	s	broascăţestoasă, castron	Romanian	278	U+0073
d	d	a deschide, verde	Romanian	269	U+0064
p	p	nepot, necopt	Romanian	267	U+0070
a$	a	a învăţa, a săpa	Romanian	263	U+0061 U+0024
i$	i	unchi, noi	Romanian	244	U+0069 U+0024
^c	c	castron, ceas	Romanian	232	U+005e U+0063
t$	t	nepot, necopt	Romanian	187	U+0074 U+0024
â	â	bătrân, pârâu	Romanian	171	U+00e2
^p	p	piele, pană	Romanian	160	U+005e U+0070
^s	s	soră, sticlă	Romanian	150	U+005e U+0073
b	b	a bate, limbă	Romanian	143	U+0062
g	g	a ruga, a striga	Romanian	136	U+0067
v	v	a învăţa, a lovi	Romanian	129	U+0076
^m	m	mătuşă, mijloc	Romanian	127	U+005e U+006d
r$	r	păr, cer	Romanian	126	U+0072 U+0024
ţ	ţ	ţaţă, a învăţa	Romanian	110	U+0163
^b	b	bătrân, bărbătesc	Romanian	99	U+005e U+0062
ş	<?>	mătuşă, moaşă	Romanian	97	U+015f
n$	n	castron, bătrân	Romanian	96	U+006e U+0024
^f	f	frate, fată	Romanian	94	U+005e U+0066
f	f	a fi flămând, a sufla	Romanian	93	U+0066
z	z	miazăzi, pizdă	Romanian	83	U+007a
^d	d	drept, deget	Romanian	77	U+005e U+0064
^v	v	vână, vite	Romanian	76	U+005e U+0076
^t	t	tanti, timp	Romanian	73	U+005e U+0074
^n	n	nepot, noi	Romanian	71	U+005e U+006e
c$	c	mijloc, arc	Romanian	70	U+0063 U+0024
u$	u	cadavru, greu	Romanian	65	U+0075 U+0024
^l	l	lună, limbă	Romanian	65	U+005e U+006c
^g	g	grumaz, gol	Romanian	63	U+005e U+0067
î	î	a învăţa, a împrumuta	Romanian	57	U+00ee
l$	l	gol, el	Romanian	54	U+006c U+0024
^o	o	om, oaie	Romanian	52	U+005e U+006f
j	j	mijloc, a dojeni	Romanian	47	U+006a
^î	î	înalt, însărcinat	Romanian	45	U+005e U+00ee
^r	r	resturi, raft	Romanian	44	U+005e U+0072
ch	ch	unchi, păduche	Romanian	43	U+0063 U+0068
d$	d	fund, blid	Romanian	41	U+0064 U+0024
^i	i	ignamă, inimic	Romanian	40	U+005e U+0069
s$	s	ceas, dos	Romanian	38	U+0073 U+0024
^u	u	unchi, următor	Romanian	36	U+005e U+0075
^ş	<?>	şirag, şcoală	Romanian	27	U+005e U+015f
g$	g	prag, şirag	Romanian	25	U+0067 U+0024
