ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	8-1-1-1	74318329569365	Romanian	roma1327	the world	WORLD	965		lume	lume 
2	8-1-21-1	74318337436041	Romanian	roma1327	the land	LAND	626		ţară	ţară 
3	8-1-212-1	74318542187409	Romanian	roma1327	the soil	EARTH (SOIL)	1228		pământ	pământ 
4	8-1-212-2	74318231369449	Romanian	roma1327	the soil	EARTH (SOIL)	1228		sol	sol 
5	8-1-213-1	74318986974099	Romanian	roma1327	the dust	DUST	2		praf	praf 
6	8-1-213-2	74318550622094	Romanian	roma1327	the dust	DUST	2		pulbere	pulbere 
7	8-1-214-1	74318491816390	Romanian	roma1327	the mud	MUD	640		noroi	noroi 
8	8-1-214-2	74318408628447	Romanian	roma1327	the mud	MUD	640		mâl	mâl 
9	8-1-214-3	74318783472719	Romanian	roma1327	the mud	MUD	640		nǎmol	nǎmol 
10	8-1-214-4	82152223903501153	Romanian	roma1327	the mud	MUD	640		mocirlă	mocirlă 
11	8-1-215-1	74318570378143	Romanian	roma1327	the sand	SAND	671		nisip	nisip 
12	8-1-22-1	74318698507936	Romanian	roma1327	the mountain or hill	MOUNTAIN OR HILL	2118		munte	munte 
13	8-1-22-2	74318815352595	Romanian	roma1327	the mountain or hill	MOUNTAIN OR HILL	2118		deal	deal 
14	8-1-22-3	7431877470757	Romanian	roma1327	the mountain or hill	MOUNTAIN OR HILL	2118		colină	colină 
15	8-1-22-4	74318317913059	Romanian	roma1327	the mountain or hill	MOUNTAIN OR HILL	2118		măgură	măgură 
16	8-1-222-1	74318347458145	Romanian	roma1327	the cliff or precipice	PRECIPICE	618		falezǎ	falezǎ 
17	8-1-222-2	74318403824438	Romanian	roma1327	the cliff or precipice	PRECIPICE	618		prǎpastie	prǎpastie 
18	8-1-222-3	74318180478953	Romanian	roma1327	the cliff or precipice	PRECIPICE	618		abis	abis 
19	8-1-222-4	74318559290941	Romanian	roma1327	the cliff or precipice	PRECIPICE	618		hǎu	hǎu 
20	8-1-23-1	74318614977133	Romanian	roma1327	the plain	PLAIN	652		şes	şes 
21	8-1-24-1	74318117422726	Romanian	roma1327	the valley	VALLEY	921		vale	vale 
22	8-1-25-1	74318240538993	Romanian	roma1327	the island	ISLAND	622		insulǎ	insulǎ 
23	8-1-25-2	7431888171575	Romanian	roma1327	the island	ISLAND	622		ostrov	ostrov 
24	8-1-26-1	74318918045609	Romanian	roma1327	the mainland	MAINLAND	166		continent	continent 
