ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	36-1-1-1	71312149602169547	Saramaccan	sara1340	the world	WORLD	965		goónlíba	goónlíba 
2	36-1-21-1	71312149315480646	Saramaccan	sara1340	the land	LAND	626		téla	téla 
3	36-1-212-1	71312149770944471	Saramaccan	sara1340	the soil	EARTH (SOIL)	1228		goón	goón 
4	36-1-213-1	71312149532175057	Saramaccan	sara1340	the dust	DUST	2		gudugúdu	gudugúdu 
5	36-1-213-2	71312149473478979	Saramaccan	sara1340	the dust	DUST	2		súndju	súndju 
6	36-1-214-1	7131214994826526	Saramaccan	sara1340	the mud	MUD	640		pötöpötö	pötöpötö 
7	36-1-215-1	71312149242827263	Saramaccan	sara1340	the sand	SAND	671		sándu	sándu 
8	36-1-22-1	71312149559762832	Saramaccan	sara1340	the mountain or hill	MOUNTAIN OR HILL	2118		kúnunu	kúnunu 
9	36-1-222-1	7131214997320565	Saramaccan	sara1340	the cliff or precipice	PRECIPICE	618		benga	benga 
10	36-1-24-1	71312149874862257	Saramaccan	sara1340	the valley	VALLEY	921		básúkúnunu	básúkúnunu 
11	36-1-25-1	71312149741419941	Saramaccan	sara1340	the island	ISLAND	622		djégi	djégi 
12	36-1-25-2	71312149569738704	Saramaccan	sara1340	the island	ISLAND	622		paatí	paatí 
13	36-1-27-1	7131214916550504	Saramaccan	sara1340	the shore	SHORE	113		télábúka	télábúka 
14	36-1-28-1	71312149861639599	Saramaccan	sara1340	the cave	CAVE	1155		sitónúbaáku	sitónúbaáku 
15	36-1-31-1	71312149717165207	Saramaccan	sara1340	the water	WATER	948		wáta	wáta 
16	36-1-32-1	71312149118697114	Saramaccan	sara1340	the sea	SEA	1474		zé	zé 
17	36-1-322-1	71312149207177706	Saramaccan	sara1340	calm	CALM	258		sáápi	sáápi 
18	36-1-323-1	71312149253562445	Saramaccan	sara1340	rough(2)	ROUGH (OF SEA)	259		séki	séki 
19	36-1-324-1	71312149694390688	Saramaccan	sara1340	the foam	FOAM	1768		pululú	pululú 
20	36-1-324-2	71312149161406352	Saramaccan	sara1340	the foam	FOAM	1768		sukúma	sukúma 
21	36-1-329-1	71312149118697114	Saramaccan	sara1340	the ocean	OCEAN	645		zé	zé 
22	36-1-33-1	71312149118697114	Saramaccan	sara1340	the lake	LAKE	624		zé	zé 
23	36-1-34-1	8841448352531736	Saramaccan	sara1340	the bay	BAY	663		gódo	gódo 
24	36-1-341-1	8841448352531736	Saramaccan	sara1340	the lagoon	LAGOON	623		gódo	gódo 
25	36-1-35-1	71312149786796431	Saramaccan	sara1340	the wave	WAVE	978		pakapaka	pakapaka 
26	36-1-354-1	71312149324709295	Saramaccan	sara1340	the high tide	HIGH TIDE	613		foóou	foóou 
27	36-1-36-1	71312149183520679	Saramaccan	sara1340	the river or stream	RIVER	666		lío	lío 
28	36-1-362-1	7131214932081116	Saramaccan	sara1340	the whirlpool	WHIRLPOOL	1982		biáwáta	biáwáta 
29	36-1-37-1	7131214915107449	Saramaccan	sara1340	the spring or well	SPRING OR WELL	2144		baákúwáta	baákúwáta 
30	36-1-38-1	71312149638272927	Saramaccan	sara1340	the swamp	SWAMP	1145		suwámpu	suwámpu 
31	36-1-39-1	71312149734029195	Saramaccan	sara1340	the waterfall	WATERFALL	943		dán	dán 
32	36-1-41-1	71312149390417839	Saramaccan	sara1340	the woods or forest	FOREST	420		mátu	mátu 
33	36-1-43-1	71312149356955678	Saramaccan	sara1340	the wood	WOOD	1803		páu	páu 
34	36-1-44-1	71312149807941962	Saramaccan	sara1340	the stone or rock	STONE OR ROCK	2125		sitónu	sitónu 
35	36-1-51-1	71312149687521754	Saramaccan	sara1340	the sky	SKY	1732		gaángádu	gaángádu 
36	36-1-52-1	71312149650822127	Saramaccan	sara1340	the sun	SUN	1343		sónu	sónu 
37	36-1-53-1	71312149823972446	Saramaccan	sara1340	the moon	MOON	1313		líba	líba 
38	36-1-54-1	71312149475887234	Saramaccan	sara1340	the star	STAR	1430		teéja	teéja 
39	36-1-55-1	71312149323972409	Saramaccan	sara1340	the lightning	LIGHTNING	1654		gádu kóti fája	gádu kóti fája 
40	36-1-56-1	71312149374504883	Saramaccan	sara1340	the thunder	THUNDER	1150		gaángádú bái	gaángádú bái 
41	36-1-57-1	71312149323972409	Saramaccan	sara1340	the bolt of lightning	BOLT (OF LIGHTNING)	2007		gádu kóti fája	gádu kóti fája 
42	36-1-58-1	71312149156425733	Saramaccan	sara1340	the storm	STORM	858		taángávë́ntu	taángávë́ntu 
43	36-1-59-1	71312149937665062	Saramaccan	sara1340	the rainbow	RAINBOW	1733		mutjáma	mutjáma 
44	36-1-61-1	71312149612401518	Saramaccan	sara1340	the light	LIGHT (RADIATION)	630		fája	fája 
45	36-1-62-1	71312149371358588	Saramaccan	sara1340	the darkness	DARKNESS	11		sugúu	sugúu 
46	36-1-63-1	71312149901956136	Saramaccan	sara1340	the shade or shadow	SHADE	1388		sómba	sómba 
47	36-1-63-2	71312149717776785	Saramaccan	sara1340	the shade or shadow	SHADE	1388		jejé	jejé 
48	36-1-64-1	71312149975406737	Saramaccan	sara1340	the dew	DEW	1977		adjíwáta	adjíwáta 
49	36-1-64-2	71312149359268731	Saramaccan	sara1340	the dew	DEW	1977		dö́ö́wáta	dö́ö́wáta 
50	36-1-71-1	71312149845917163	Saramaccan	sara1340	the air	AIR	27		vë́ntu	vë́ntu 
51	36-1-72-1	71312149845917163	Saramaccan	sara1340	the wind	WIND	960		vë́ntu	vë́ntu 
52	36-1-73-1	71312149760486266	Saramaccan	sara1340	the cloud	CLOUD	1489		wö́lúku	wö́lúku 
53	36-1-74-1	71312149971154686	Saramaccan	sara1340	the fog	FOG	249		bundji	bundji 
54	36-1-75-1	7131214928327543	Saramaccan	sara1340	the rain	RAIN (PRECIPITATION)	658		tjúba	tjúba 
55	36-1-77-1	71312149936545381	Saramaccan	sara1340	the ice	ICE	617		ë́ísi	ë́ísi 
56	36-1-78-1	71312149413829293	Saramaccan	sara1340	the weather	WEATHER	952		wéi (1)	wéi (1) 
57	36-1-81-1	71312149612401518	Saramaccan	sara1340	the fire	FIRE	221		fája	fája 
58	36-1-82-1	71312149717565256	Saramaccan	sara1340	the flame	FLAME	889		fájátö́ngö	fájátö́ngö 
59	36-1-83-1	71312149399838271	Saramaccan	sara1340	the smoke	SMOKE (EXHAUST)	778		sumúku	sumúku 
60	36-1-84-1	71312149405898801	Saramaccan	sara1340	the ash	ASH	646		síndja	síndja 
61	36-1-841-1	71312149840378376	Saramaccan	sara1340	the embers	EMBERS	67		zonká	zonká 
62	36-1-851-1	71312149699737294	Saramaccan	sara1340	to burn(1)	BURN (SOMETHING)	141		tjumá	tjumá 
63	36-1-852-1	71312149699737294	Saramaccan	sara1340	to burn(2)	BURNING	1428		tjumá	tjumá 
64	36-1-86-1	71312149629897411	Saramaccan	sara1340	to light	LIGHT (IGNITE)	737		kísi	kísi 
65	36-1-861-1	71312149758896909	Saramaccan	sara1340	to extinguish	EXTINGUISH	127		tapá	tapá 
66	36-1-87-1	71312149319146678	Saramaccan	sara1340	the match	MATCH	1133		suwálufu	suwálufu 
67	36-1-88-1	7131214935104597	Saramaccan	sara1340	the firewood	FIREWOOD	10		údu	údu 
68	36-1-89-1	7131214988646892	Saramaccan	sara1340	the charcoal	CHARCOAL	1188		koofája	koofája 
69	36-2-1-1	71312149353181579	Saramaccan	sara1340	the person	PERSON	683		sëmbë	sëmbë 
70	36-2-21-1	71312149762475174	Saramaccan	sara1340	the man	MAN	1554		wómi	wómi 
71	36-2-22-1	7131214925968396	Saramaccan	sara1340	the woman	WOMAN	962		mujë́ë	mujë́ë 
72	36-2-23-1	71312149762475174	Saramaccan	sara1340	male(1)	MALE (OF ANIMAL)	2263		wómi	wómi 
73	36-2-24-1	7131214925968396	Saramaccan	sara1340	female(1)	FEMALE (OF PERSON)	2260		mujë́ë	mujë́ë 
74	36-2-25-1	71312149981803861	Saramaccan	sara1340	the boy	BOY	1366		kamísama	kamísama 
75	36-2-251-1	71312149748283638	Saramaccan	sara1340	the young man	YOUNG MAN	76		kijóo	kijóo 
76	36-2-26-1	7131214983678794	Saramaccan	sara1340	the girl	GIRL	1646		koósuma	koósuma 
77	36-2-27-1	71312149960328324	Saramaccan	sara1340	the child(1)	CHILD (YOUNG HUMAN)	1304		mií	mií 
78	36-2-28-1	71312149347749551	Saramaccan	sara1340	the baby	BABY	1289		miíi	miíi 
79	36-2-31-1	71312149353512806	Saramaccan	sara1340	the husband	HUSBAND	1200		mánu	mánu 
80	36-2-32-1	7131214983678794	Saramaccan	sara1340	the wife	WIFE	1199		koósuma	koósuma 
81	36-2-33-1	71312149227161443	Saramaccan	sara1340	to marry	MARRY	203		töö́u	töö́u 
82	36-2-34-1	71312149227161443	Saramaccan	sara1340	the wedding	WEDDING	1259		töö́u	töö́u 
83	36-2-341-1	71312149155262553	Saramaccan	sara1340	the divorce	DIVORCE	1134		túwë	túwë 
84	36-2-35-1	71312149524548326	Saramaccan	sara1340	the father	FATHER	1217		taatá	taatá 
85	36-2-36-1	71312149902003289	Saramaccan	sara1340	the mother	MOTHER	1216		mamá	mamá 
86	36-2-37-1	71312149205774230	Saramaccan	sara1340	the parents	PARENTS	505		gaánsëmbë	gaánsëmbë 
87	36-2-41-1	71312149707860578	Saramaccan	sara1340	the son	SON	1620		wómímíí	wómímíí 
88	36-2-42-1	71312149708748196	Saramaccan	sara1340	the daughter	DAUGHTER	1357		mujë́ë́míí	mujë́ë́míí 
89	36-2-43-1	71312149960328324	Saramaccan	sara1340	the child(2)	CHILD (DESCENDANT)	1801		mií	mií 
90	36-2-44-1	71312149834979997	Saramaccan	sara1340	the brother	BROTHER	1262		baáa	baáa 
91	36-2-45-1	7131214910089675	Saramaccan	sara1340	the sister	SISTER	1263		sísa	sísa 
92	36-2-454-1	71312149497218527	Saramaccan	sara1340	the older sister	OLDER SISTER	1758		gaínsa	gaínsa 
93	36-2-458-1	71312149891191639	Saramaccan	sara1340	the twins	TWINS	1005		túlíngi	túlíngi 
94	36-2-458-2	7131214925929911	Saramaccan	sara1340	the twins	TWINS	1005		túmíi	túmíi 
95	36-2-461-1	71312149313420531	Saramaccan	sara1340	the old man	OLD MAN	406		tatá	tatá 
96	36-2-511-1	71312149556998136	Saramaccan	sara1340	the mother's brother	MOTHER'S BROTHER	1984		tío	tío 
97	36-2-512-1	71312149524548326	Saramaccan	sara1340	the father's brother	FATHER'S BROTHER	1985		taatá	taatá 
98	36-2-52-1	713121496838208	Saramaccan	sara1340	the aunt	AUNT	1272		mamásísa	mamásísa 
99	36-2-521-1	71312149950283333	Saramaccan	sara1340	the mother's sister	MOTHER'S SISTER	171		maamá	maamá 
100	36-2-56-1	71312149363695798	Saramaccan	sara1340	the ancestors	ANCESTORS	1669		avóavo	avóavo 
101	36-2-57-1	71312149423575687	Saramaccan	sara1340	the descendants	DESCENDANTS	490		böngö	böngö 
102	36-2-57-2	71312149469674506	Saramaccan	sara1340	the descendants	DESCENDANTS	490		paansú	paansú 
103	36-2-61-1	71312149370492125	Saramaccan	sara1340	the father-in-law (of a man)	FATHER-IN-LAW (OF MAN)	2255		pái	pái 
104	36-2-611-1	71312149370492125	Saramaccan	sara1340	the father-in-law (of a woman)	FATHER-IN-LAW (OF WOMAN)	2254		pái	pái 
105	36-2-62-1	7131214992066981	Saramaccan	sara1340	the mother-in-law (of a man)	MOTHER-IN-LAW (OF WOMAN)	2256		mái	mái 
106	36-2-621-1	7131214992066981	Saramaccan	sara1340	the mother-in-law (of a woman)	MOTHER-IN-LAW (OF MAN)	2257		mái	mái 
107	36-2-63-1	71312149370492125	Saramaccan	sara1340	the son-in-law (of a man)	SON-IN-LAW (OF MAN)	2267		pái	pái 
108	36-2-631-1	71312149370492125	Saramaccan	sara1340	the son-in-law (of a woman)	SON-IN-LAW (OF WOMAN)	2266		pái	pái 
109	36-2-64-1	7131214992066981	Saramaccan	sara1340	the daughter-in-law (of a man)	DAUGHTER-IN-LAW (OF MAN)	2265		mái	mái 
110	36-2-641-1	7131214992066981	Saramaccan	sara1340	the daughter-in-law (of a woman)	DAUGHTER-IN-LAW (OF WOMAN)	2264		mái	mái 
111	36-2-81-1	71312149255430064	Saramaccan	sara1340	the relatives	RELATIVES	1644		famíi	famíi 
112	36-2-82-1	7131214915116285	Saramaccan	sara1340	the family	FAMILY	194		djúbë́ë	djúbë́ë 
113	36-2-91-1	71312149673516196	Saramaccan	sara1340	I	I	1209		mi	mi 
114	36-2-92-1	71312149815021355	Saramaccan	sara1340	you (singular)	THOU	1215		i	i 
115	36-2-93-1	71312149682041266	Saramaccan	sara1340	he/she/it	HE OR SHE OR IT	262		a	a 
116	36-2-93-2	71312149714850671	Saramaccan	sara1340	he/she/it	HE OR SHE OR IT	262		ë́n	ë́n 
117	36-2-94-1	71312149287598123	Saramaccan	sara1340	we	WE	1212		u	u 
118	36-2-941-1	71312149287598123	Saramaccan	sara1340	we (inclusive)	WE (INCLUSIVE)	1131		u	u 
119	36-2-942-1	71312149287598123	Saramaccan	sara1340	we (exclusive)	WE (EXCLUSIVE)	1130		u	u 
120	36-2-95-1	71312149273059007	Saramaccan	sara1340	you (plural)	YOU	1213		un	un 
121	36-2-96-1	71312149854031904	Saramaccan	sara1340	they	THEY	817		de	de 
122	36-3-11-1	71312149822284073	Saramaccan	sara1340	the animal	ANIMAL	619		mbéti	mbéti 
123	36-3-12-1	71312149762475174	Saramaccan	sara1340	male(2)	MALE (OF PERSON)	2261		wómi	wómi 
124	36-3-13-1	7131214925968396	Saramaccan	sara1340	female(2)	FEMALE (OF ANIMAL)	2262		mujë́ë	mujë́ë 
125	36-3-15-1	7131214942775172	Saramaccan	sara1340	the livestock	LIVESTOCK	631		hía (1)	hía (1) 
126	36-3-16-1	71312149770944471	Saramaccan	sara1340	the pasture	PASTURE	649		goón	goón 
127	36-3-19-1	71312149347776135	Saramaccan	sara1340	the stable or stall	STABLE	851		mbétíwósu	mbétíwósu 
128	36-3-21-1	71312149495341743	Saramaccan	sara1340	the bull	BULL	1008		káu	káu 
129	36-3-22-1	71312149379257359	Saramaccan	sara1340	the ox	OX	1169		wómíkáu	wómíkáu 
130	36-3-23-1	71312149495341743	Saramaccan	sara1340	the cow	COW	1007		káu	káu 
131	36-3-24-1	71312149844525568	Saramaccan	sara1340	the calf	CALF	1989		káúmííi	káúmííi 
132	36-3-25-1	71312149123665152	Saramaccan	sara1340	the sheep	SHEEP	1331		sikápu	sikápu 
133	36-3-25-2	71312149123665153	Saramaccan	sara1340	the sheep	SHEEP	1331		sikáfu	sikáfu 
134	36-3-26-1	71312149670913611	Saramaccan	sara1340	the ram	RAM	1344		wómísíkáfu	wómísíkáfu 
135	36-3-28-1	71312149851363618	Saramaccan	sara1340	the ewe	EWE	1345		mujë́ë́síkápu	mujë́ë́síkápu 
136	36-3-29-1	71312149724379870	Saramaccan	sara1340	the lamb	LAMB	820		sikápúmíi	sikápúmíi 
137	36-3-32-1	71312149926529564	Saramaccan	sara1340	the boar	BOAR	1348		píngo	píngo 
138	36-3-32-2	71312149633417503	Saramaccan	sara1340	the boar	BOAR	1348		gunsá	gunsá 
139	36-3-34-1	71312149184464840	Saramaccan	sara1340	the sow	SOW (FEMALE PIG)	1351		hágu	hágu 
140	36-3-35-1	71312149184464840	Saramaccan	sara1340	the pig	PIG	1337		hágu	hágu 
141	36-3-36-1	71312149639760639	Saramaccan	sara1340	the goat	GOAT	1502		kaabíta	kaabíta 
142	36-3-37-1	71312149639760639	Saramaccan	sara1340	the he-goat	HE-GOAT	264		kaabíta	kaabíta 
143	36-3-38-1	71312149639760639	Saramaccan	sara1340	the kid	KID	1972		kaabíta	kaabíta 
144	36-3-41-1	71312149534965674	Saramaccan	sara1340	the horse	HORSE	615		hási	hási 
145	36-3-42-1	71312149534965674	Saramaccan	sara1340	the stallion	STALLION	936		hási	hási 
146	36-3-44-1	71312149534965674	Saramaccan	sara1340	the mare	MARE	938		hási	hási 
147	36-3-45-1	71312149552276889	Saramaccan	sara1340	the foal or colt	FOAL	1647		ásímííi	ásímííi 
148	36-3-46-1	71312149193680064	Saramaccan	sara1340	the donkey	DONKEY	1862		bulíki	bulíki 
149	36-3-5-1	71312149543042187	Saramaccan	sara1340	the fowl	FOWL	265		fóu	fóu 
150	36-3-52-1	71312149130798556	Saramaccan	sara1340	the cock/rooster	ROOSTER	1511		wómígánía	wómígánía 
151	36-3-54-1	7131214935714619	Saramaccan	sara1340	the hen	HEN	1514		ganían	ganían 
152	36-3-55-1	7131214935714619	Saramaccan	sara1340	the chicken	CHICKEN	1318		ganían	ganían 
153	36-3-56-1	71312149148497896	Saramaccan	sara1340	the goose	GOOSE	1187		gánsi	gánsi 
154	36-3-57-1	71312149989857871	Saramaccan	sara1340	the duck	DUCK	1360		patupátu	patupátu 
155	36-3-58-1	7131214984772880	Saramaccan	sara1340	the nest	NEST	539		në́si	në́si 
156	36-3-581-1	71312149543042187	Saramaccan	sara1340	the bird	BIRD	937		fóu	fóu 
157	36-3-583-1	71312149816582089	Saramaccan	sara1340	the heron	HERON	758		akamawái	akamawái 
158	36-3-584-1	7131214964474944	Saramaccan	sara1340	the eagle	EAGLE	1905		gbaniní	gbaniní 
159	36-3-585-1	7131214981761457	Saramaccan	sara1340	the hawk	HAWK	307		gabián	gabián 
160	36-3-586-1	71312149873635936	Saramaccan	sara1340	the vulture	VULTURE	1185		tíngífóo	tíngífóo 
161	36-3-591-1	71312149497480535	Saramaccan	sara1340	the bat	BAT	1793		pukusu	pukusu 
