ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	7-1-1-1	72141525241268054	Seychelles Creole	sese1246	the world	WORLD	965		lemonn	lemonn 
2	7-1-21-1	72141525671714152	Seychelles Creole	sese1246	the land	LAND	626		later	later 
3	7-1-212-1	72141525671714152	Seychelles Creole	sese1246	the soil	EARTH (SOIL)	1228		later	later 
4	7-1-213-1	72141525562226325	Seychelles Creole	sese1246	the dust	DUST	2		lapousyer	lapousyer 
5	7-1-214-1	72141525788214826	Seychelles Creole	sese1246	the mud	MUD	640		labou	labou 
6	7-1-215-1	7214152593029552	Seychelles Creole	sese1246	the sand	SAND	671		disab	disab 
7	7-1-22-1	72141525859951271	Seychelles Creole	sese1246	the mountain or hill	MOUNTAIN OR HILL	2118		montanny	montanny 
8	7-1-22-2	72141525857000647	Seychelles Creole	sese1246	the mountain or hill	MOUNTAIN OR HILL	2118		oter	oter 
9	7-1-222-1	72141525748016449	Seychelles Creole	sese1246	the cliff or precipice	PRECIPICE	618		kap	kap 
10	7-1-222-2	72141525246079781	Seychelles Creole	sese1246	the cliff or precipice	PRECIPICE	618		kap ros	kap ros 
11	7-1-23-1	72141525801661890	Seychelles Creole	sese1246	the plain	PLAIN	652		laplenn	laplenn 
12	7-1-23-2	72141525543627678	Seychelles Creole	sese1246	the plain	PLAIN	652		countryside	countryside 
13	7-1-24-1	7214152525705366	Seychelles Creole	sese1246	the valley	VALLEY	921		vale	vale 
14	7-1-25-1	72141525475145192	Seychelles Creole	sese1246	the island	ISLAND	622		zil	zil 
15	7-1-26-1	72141525418124992	Seychelles Creole	sese1246	the mainland	MAINLAND	166		kontinan	kontinan 
16	7-1-27-1	72141525488453438	Seychelles Creole	sese1246	the shore	SHORE	113		lakot	lakot 
17	7-1-27-2	72141525312005366	Seychelles Creole	sese1246	the shore	SHORE	113		borlanmer	borlanmer 
18	7-1-28-1	72141525337778478	Seychelles Creole	sese1246	the cave	CAVE	1155		lagrot	lagrot 
19	7-1-28-2	72141525397499873	Seychelles Creole	sese1246	the cave	CAVE	1155		anba ros	anba ros 
20	7-1-31-1	72141525992949614	Seychelles Creole	sese1246	the water	WATER	948		delo, dilo	delo 
21	7-1-31-2	72141525992949614	Seychelles Creole	sese1246	the water	WATER	948		delo, dilo	dilo 
22	7-1-32-1	72141525699912317	Seychelles Creole	sese1246	the sea	SEA	1474		lanmer	lanmer 
23	7-1-322-1	72141525659017355	Seychelles Creole	sese1246	calm	CALM	258		kalm	kalm 
24	7-1-322-2	72141525126147576	Seychelles Creole	sese1246	calm	CALM	258		etal	etal 
25	7-1-323-1	7214152533943740	Seychelles Creole	sese1246	rough(2)	ROUGH (OF SEA)	259		boulverse	boulverse 
26	7-1-323-2	72141525720923586	Seychelles Creole	sese1246	rough(2)	ROUGH (OF SEA)	259		mouvmante	mouvmante 
