Grapheme	IPA	Languages
^(be) silent$	???	English
^(finger)nail$	???	English
^(good) luck$	???	English
^(sea)gull$	???	English
^(sting)ray$	???	English
^(tree-)stump$	???	English
^Friday$	f r aɪ d ɪ	English
^I$	aɪ	English
^Monday$	m ʌ n d ɪ	English
^Saturday$	s æ t ə d ɪ	English
^Sunday$	s ʌ n d ɪ	English
^Thursday$	θ ɜː z d ɪ	English
^Tuesday$	t j uː z d ɪ	English
^Wednesday$	w ɛ n z d ɪ	English
^above$	ə b ʌ v	English
^accuse$	ə k j uː z	English
^acorn$	eɪ k ɔː n	English
^acquit$	ə k w ɪ t	English
^address$	ə d r ɛ s	English
^adjudicate$	ə dʒ uː d ɪ k eɪ t	English
^admit$	ə d m ɪ t	English
^adobe$	ə d əʊ b ɪ	English
^adultery$	ə d ʌ l t ə r ɪ	English
^adze$	æ d z	English
^aeroplane$	ɛə r ə p l eɪ n	English
^after$	ɑː f t ə ɹ	English
^afternoon$	ɑː f t ə n uː n	English
^again$	ə ɡ ɛ n	English
^age$	eɪ dʒ	English
^air$	ɛə ɹ	English
^alcohol$	æ l k ə h ɒ l	English
^alike$	ə l aɪ k	English
^alive$	ə l aɪ v	English
^all$	ɔː l	English
^alligator$	æ l ɪ ɡ eɪ t ə ɹ	English
^allow$	ə l aʊ	English
^alone$	ə l əʊ n	English
^altar$	ɔː l t ə ɹ	English
^always$	ɔː l w eɪ z	English
^ambush$	æ m b ʊ ʃ	English
^ancestor$	æ n s ɛ s t ə ɹ	English
^anchor$	æ ŋ k ə ɹ	English
^and$	æ n d	English
^anger$	æ ŋ ɡ ə ɹ	English
^animal$	æ n ɪ m l̩	English
^ankle$	æ ŋ k l̩	English
^announce$	ə n aʊ n s	English
^answer$	ɑː n s ə ɹ	English
^ant$	æ n t	English
^anteater$	æ n t iː t ə ɹ	English
^anvil$	æ n v ɪ l	English
^anxiety$	æ ŋ z aɪ ə t ɪ	English
^approach$	ə p r əʊ tʃ	English
^arch$	ɑː tʃ	English
^arm$	ɑː m	English
^armour$	ɑː m ə ɹ	English
^armpit$	ɑː m p ɪ t	English
^army$	ɑː m ɪ	English
^arrive$	ə r aɪ v	English
^arrow$	æ r əʊ	English
^arse$	ɑː s	English
^arson$	ɑː s n̩	English
^artery$	ɑː t ə r ɪ	English
^ash$	æ ʃ	English
^ask (1)$	ɑː s k	English
^ask (2)$	ɑː s k	English
^astonished$	ə s t ɒ n ɪ ʃ t	English
^at$	æ t	English
^attack$	ə t æ k	English
^aunt$	ɑː n t	English
^autumn$	ɔː t ə m	English
^awl$	ɔː l	English
^axe$	æ k s	English
^axle$	æ k s l̩	English
^baby$	b eɪ b ɪ	English
^back$	b æ k	English
^bad$	b æ d	English
^bag$	b æ ɡ	English
^bait$	b eɪ t	English
