ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	13-1-1-1	72212319366322667	English	stan1293	the world	WORLD	965		world	world 
2	13-1-21-1	7221231950882841	English	stan1293	the land	LAND	626		land	land 
3	13-1-212-1	72212319996483626	English	stan1293	the soil	EARTH (SOIL)	1228		soil	soil 
4	13-1-213-1	72212319560735876	English	stan1293	the dust	DUST	2		dust	dust 
5	13-1-214-1	72212319296371268	English	stan1293	the mud	MUD	640		mud	mud 
6	13-1-215-1	7221231926356015	English	stan1293	the sand	SAND	671		sand	sand 
7	13-1-22-1	72212319830637400	English	stan1293	the mountain or hill	MOUNTAIN OR HILL	2118		mountain	mountain 
8	13-1-22-2	72212319252829224	English	stan1293	the mountain or hill	MOUNTAIN OR HILL	2118		hill	hill 
9	13-1-222-1	72212319547579431	English	stan1293	the cliff or precipice	PRECIPICE	618		cliff	cliff 
10	13-1-222-2	72212319588761357	English	stan1293	the cliff or precipice	PRECIPICE	618		precipice	precipice 
11	13-1-23-1	7221231958638727	English	stan1293	the plain	PLAIN	652		plain	plain 
12	13-1-24-1	72212319628862359	English	stan1293	the valley	VALLEY	921		valley	valley 
13	13-1-25-1	72212319819988255	English	stan1293	the island	ISLAND	622		island	island 
14	13-1-26-1	72212319640001547	English	stan1293	the mainland	MAINLAND	166		mainland	mainland 
15	13-1-27-1	72212319448599484	English	stan1293	the shore	SHORE	113		shore	shore 
16	13-1-28-1	7221231928258719	English	stan1293	the cave	CAVE	1155		cave	cave 
17	13-1-31-1	72212319381262396	English	stan1293	the water	WATER	948		water	water 
18	13-1-32-1	7221231970023147	English	stan1293	the sea	SEA	1474		sea	sea 
19	13-1-322-1	7221231925420135	English	stan1293	calm	CALM	258		calm	calm 
20	13-1-323-1	72212319661561157	English	stan1293	rough(2)	ROUGH (OF SEA)	259		rough	rough 
21	13-1-324-1	72212319914231609	English	stan1293	the foam	FOAM	1768		foam	foam 
22	13-1-329-1	72212319820271674	English	stan1293	the ocean	OCEAN	645		ocean	ocean 
23	13-1-33-1	72212319836302606	English	stan1293	the lake	LAKE	624		lake	lake 
24	13-1-34-1	72212319780494994	English	stan1293	the bay	BAY	663		bay	bay 
25	13-1-341-1	72212319768898780	English	stan1293	the lagoon	LAGOON	623		lagoon	lagoon 
26	13-1-342-1	72212319309497967	English	stan1293	the reef	REEF	660		reef	reef 
27	13-1-343-1	72212319755238027	English	stan1293	the cape	CAPE	1662		cape	cape 
28	13-1-35-1	7221231946819062	English	stan1293	the wave	WAVE	978		wave	wave 
29	13-1-352-1	7221231928493375	English	stan1293	the tide	TIDE	891		tide	tide 
30	13-1-353-1	72212319298188384	English	stan1293	the low tide	LOW TIDE	1026		low tide	low tide 
31	13-1-354-1	72212319357863784	English	stan1293	the high tide	HIGH TIDE	613		high tide	high tide 
32	13-1-36-1	72212319815492175	English	stan1293	the river or stream	RIVER	666		river	river 
33	13-1-36-2	72212319733849875	English	stan1293	the river or stream	RIVER	666		stream	stream 
34	13-1-362-1	72212319756239930	English	stan1293	the whirlpool	WHIRLPOOL	1982		whirlpool	whirlpool 
35	13-1-37-1	72212319922910265	English	stan1293	the spring or well	SPRING OR WELL	2144		spring	spring 
36	13-1-37-2	72212319186552654	English	stan1293	the spring or well	SPRING OR WELL	2144		well	well 
37	13-1-38-1	72212319504884225	English	stan1293	the swamp	SWAMP	1145		swamp	swamp 
38	13-1-39-1	7221231919434383	English	stan1293	the waterfall	WATERFALL	943		waterfall	waterfall 
39	13-1-41-1	72212319231666484	English	stan1293	the woods or forest	FOREST	420		forest	forest 
40	13-1-41-2	72212319993632163	English	stan1293	the woods or forest	FOREST	420		wood(s)	wood(s) 
41	13-1-43-1	72212319687197834	English	stan1293	the wood	WOOD	1803		wood	wood 
42	13-1-44-1	72212319162017906	English	stan1293	the stone or rock	STONE OR ROCK	2125		stone	stone 
43	13-1-44-2	72212319644629983	English	stan1293	the stone or rock	STONE OR ROCK	2125		rock	rock 
44	13-1-45-1	7221231951446059	English	stan1293	the earthquake	EARTHQUAKE	6		earthquake	earthquake 
45	13-1-51-1	72212319170700024	English	stan1293	the sky	SKY	1732		sky	sky 
46	13-1-52-1	72212319390162792	English	stan1293	the sun	SUN	1343		sun	sun 
47	13-1-53-1	72212319334313591	English	stan1293	the moon	MOON	1313		moon	moon 
48	13-1-54-1	72212319116669321	English	stan1293	the star	STAR	1430		star	star 
49	13-1-55-1	72212319449218223	English	stan1293	the lightning	LIGHTNING	1654		lightning	lightning 
50	13-1-56-1	72212319591415213	English	stan1293	the thunder	THUNDER	1150		thunder	thunder 
51	13-1-57-1	72212319386299673	English	stan1293	the bolt of lightning	BOLT (OF LIGHTNING)	2007		lightning bolt	lightning bolt 
52	13-1-58-1	72212319438772650	English	stan1293	the storm	STORM	858		storm	storm 
53	13-1-59-1	72212319865680287	English	stan1293	the rainbow	RAINBOW	1733		rainbow	rainbow 
54	13-1-61-1	72212319746248128	English	stan1293	the light	LIGHT (RADIATION)	630		light	light 
55	13-1-62-1	7221231923791912	English	stan1293	the darkness	DARKNESS	11		darkness	darkness 
56	13-1-63-1	72212319829293286	English	stan1293	the shade or shadow	SHADE	1388		shadow	shadow 
57	13-1-63-2	72212319605598304	English	stan1293	the shade or shadow	SHADE	1388		shade	shade 
