Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	mwana wa kambo, majira ya kupukutika kwa majani	Swahili	1002	U+0061
a$	a	mwana, mkubwa	Swahili	725	U+0061 U+0024
i	i	miali ya kaskazini ya dunia, -fikiri	Swahili	672	U+0069
n	n	mwana, konokono	Swahili	525	U+006e
u	u	ndugu, mkubwa	Swahili	516	U+0075
-	+	-refu, -funga	Swahili	512	U+002d
i$	i	chini, jani	Swahili	480	U+0069 U+0024
m	m	-embamba, umeme	Swahili	356	U+006d
e	e	ukelele, kelele	Swahili	316	U+0065
k	k	mkubwa, kaka	Swahili	295	U+006b
^m	m	mkwe, mdogo	Swahili	275	U+005e U+006d
o	o	mdogo, konokono	Swahili	268	U+006f
g	ɠ	ndugu, mdogo	Swahili	260	U+0067
^k	k	kaka, -kaa	Swahili	250	U+005e U+006b
r	r	-tiririka, -ororo	Swahili	217	U+0072
l	l	ukelele, kelele	Swahili	212	U+006c
b	ɓ	-embamba, mjomba	Swahili	211	U+0062
o$	o	mdogo, mdomo	Swahili	199	U+006f U+0024
t	t	mtoto, moto	Swahili	198	U+0074
u$	u	ndugu, -refu	Swahili	196	U+0075 U+0024
_	_	mwana wa kambo, majira ya kupukutika kwa majani	Swahili	164	U+005f
d	ɗ	ndugu, mdogo	Swahili	158	U+0064
z	z	mzee, shangazi	Swahili	139	U+007a
s	s	sisi, kosa	Swahili	130	U+0073
e$	e	mkwe, yeye	Swahili	127	U+0065 U+0024
y	j	unyoya, yeye	Swahili	125	U+0079
^n	n	ndugu, njaa	Swahili	122	U+005e U+006e
^s	s	sisi, sepeto	Swahili	104	U+005e U+0073
^t	t	titi, -tia rangi	Swahili	98	U+005e U+0074
p	p	kipepeo, -fupi	Swahili	97	U+0070
^u	u	unyoya, ukelele	Swahili	96	U+005e U+0075
j	dʒ	mjukuu, mjomba	Swahili	92	U+006a
^b	ɓ	baba, bahari	Swahili	87	U+005e U+0062
^p	p	-pata, pepo	Swahili	83	U+005e U+0070
^ch	tʃ	chini, chawa	Swahili	79	U+005e U+0063 U+0068
f	f	-refu, mafuta	Swahili	77	U+0066
w	w	chawa, -chelewa	Swahili	75	U+0077
^j	dʒ	juu, jani	Swahili	63	U+005e U+006a
ch	tʃ	chakula cha mchana, -acha	Swahili	59	U+0063 U+0068
^f	f	-funga, -fupi	Swahili	58	U+005e U+0066
v	v	mviringo, -bivu	Swahili	58	U+0076
h	h	rahisi, bahari	Swahili	57	U+0068
sh	ʃ	mwisho, beleshi	Swahili	53	U+0073 U+0068
^h	h	-hifadhi, haraka	Swahili	47	U+005e U+0068
^mw	m w	mwana, mwisho	Swahili	43	U+005e U+006d U+0077
^a	a	-acha, -amka	Swahili	43	U+005e U+0061
^sh	ʃ	shangazi, -shika	Swahili	39	U+005e U+0073 U+0068
aa$	aː	-kaa, jamaa	Swahili	35	U+0061 U+0061 U+0024
^r	r	-refu, -ruka	Swahili	34	U+005e U+0072
^g	ɠ	-gawanya, -gumu	Swahili	31	U+005e U+0067
^w	w	-wa, wao	Swahili	31	U+005e U+0077
^d	ɗ	dada, duara	Swahili	30	U+005e U+0064
^l	l	-laani, -lala	Swahili	28	U+005e U+006c
^e	e	-elea, -embamba	Swahili	22	U+005e U+0065
^o	o	-oga, -ona	Swahili	20	U+005e U+006f
^i	i	-inua, -ita	Swahili	19	U+005e U+0069
