ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	1-1-1-1	72141734767181903	Swahili	swah1253	the world	WORLD	965		dunia	dunia 
2	1-1-1-2	72141734906279624	Swahili	swah1253	the world	WORLD	965		ulimwengu	ulimwengu 
3	1-1-21-1	72141734812482057	Swahili	swah1253	the land	LAND	626		nchi kavu	nchi kavu 
4	1-1-212-1	72141734313640252	Swahili	swah1253	the soil	EARTH (SOIL)	1228		udongo	udongo 
5	1-1-213-1	72141734161606575	Swahili	swah1253	the dust	DUST	2		vumbi	vumbi 
6	1-1-214-1	7214173473864537	Swahili	swah1253	the mud	MUD	640		matope	matope 
7	1-1-215-1	7214173446337910	Swahili	swah1253	the sand	SAND	671		mchanga	mchanga 
8	1-1-22-1	72141734865344128	Swahili	swah1253	the mountain or hill	MOUNTAIN OR HILL	2118		mlima	mlima 
9	1-1-22-2	72141734232914260	Swahili	swah1253	the mountain or hill	MOUNTAIN OR HILL	2118		kilima	kilima 
10	1-1-222-1	72141734597716169	Swahili	swah1253	the cliff or precipice	PRECIPICE	618		mwamba (1)	mwamba (1) 
11	1-1-23-1	72141734806652882	Swahili	swah1253	the plain	PLAIN	652		tambarare	tambarare 
12	1-1-24-1	72141734799967364	Swahili	swah1253	the valley	VALLEY	921		bonde	bonde 
13	1-1-25-1	72141734651705783	Swahili	swah1253	the island	ISLAND	622		kisiwa	kisiwa 
14	1-1-26-1	72141734897507294	Swahili	swah1253	the mainland	MAINLAND	166		bara	bara 
15	1-1-27-1	72141734405266778	Swahili	swah1253	the shore	SHORE	113		ufuko	ufuko 
16	1-1-27-2	72141734468573235	Swahili	swah1253	the shore	SHORE	113		pwani	pwani 
17	1-1-28-1	72141734235986354	Swahili	swah1253	the cave	CAVE	1155		pango	pango 
18	1-1-31-1	72141734413919236	Swahili	swah1253	the water	WATER	948		maji	maji 
19	1-1-32-1	72141734733972818	Swahili	swah1253	the sea	SEA	1474		bahari	bahari 
20	1-1-322-1	72141734753797503	Swahili	swah1253	calm	CALM	258		shwari, shuwari	shwari 
21	1-1-322-2	72141734753797503	Swahili	swah1253	calm	CALM	258		shwari, shuwari	shuwari 
22	1-1-323-1	72141734366787286	Swahili	swah1253	rough(2)	ROUGH (OF SEA)	259		-chafuka	-chafuka 
23	1-1-324-1	72141734241171082	Swahili	swah1253	the foam	FOAM	1768		povu	povu 
24	1-1-329-1	72141734733972818	Swahili	swah1253	the ocean	OCEAN	645		bahari	bahari 
25	1-1-33-1	72141734587220793	Swahili	swah1253	the lake	LAKE	624		ziwa (1)	ziwa (1) 
26	1-1-34-1	72141734990270818	Swahili	swah1253	the bay	BAY	663		ghuba	ghuba 
27	1-1-341-1	72141734220900917	Swahili	swah1253	the lagoon	LAGOON	623		wangwa	wangwa 
28	1-1-342-1	72141734597716169	Swahili	swah1253	the reef	REEF	660		mwamba (1)	mwamba (1) 
29	1-1-343-1	72141734569661780	Swahili	swah1253	the cape	CAPE	1662		rasi	rasi 
30	1-1-35-1	7214173422706281	Swahili	swah1253	the wave	WAVE	978		wimbi (1)	wimbi (1) 
31	1-1-352-1	72141734969817644	Swahili	swah1253	the tide	TIDE	891		maji (ya) kujaa na kupwa	maji (ya) kujaa na kupwa 
32	1-1-353-1	72141734705744186	Swahili	swah1253	the low tide	LOW TIDE	1026		maji kupwa	maji kupwa 
33	1-1-354-1	72141734247346367	Swahili	swah1253	the high tide	HIGH TIDE	613		maji kujaa	maji kujaa 
34	1-1-36-1	72141734322162883	Swahili	swah1253	the river or stream	RIVER	666		mto (1)	mto (1) 
35	1-1-37-1	72141734356008133	Swahili	swah1253	the spring or well	SPRING OR WELL	2144		chemchemi	chemchemi 
36	1-1-37-2	72141734591558666	Swahili	swah1253	the spring or well	SPRING OR WELL	2144		kisima	kisima 
37	1-1-38-1	72141734764488356	Swahili	swah1253	the swamp	SWAMP	1145		kinamasi	kinamasi 
38	1-1-39-1	72141734459410620	Swahili	swah1253	the waterfall	WATERFALL	943		maporomoko (ya maji)	maporomoko (ya maji) 
39	1-1-41-1	72141734600802401	Swahili	swah1253	the woods or forest	FOREST	420		msitu	msitu 
40	1-1-41-2	72141734926941862	Swahili	swah1253	the woods or forest	FOREST	420		mwitu	mwitu 
41	1-1-43-1	72141734640277976	Swahili	swah1253	the wood	WOOD	1803		mti	mti 
42	1-1-44-1	72141734232643620	Swahili	swah1253	the stone or rock	STONE OR ROCK	2125		jiwe	jiwe 
