ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	29-1-1-1	71312238241247833	Takia	taki1248	the world	WORLD	965		tan tlyane-k	tan tlyane-k 
2	29-1-21-1	71312238546002552	Takia	taki1248	the land	LAND	626		tan	tan 
3	29-1-213-1	71312238365764983	Takia	taki1248	the dust	DUST	2		gfgaf	gfgaf 
4	29-1-214-1	71312238540140737	Takia	taki1248	the mud	MUD	640		geo-geo	geo-geo 
5	29-1-215-1	7131223822851750	Takia	taki1248	the sand	SAND	671		lul	lul 
6	29-1-22-1	71312238443761428	Takia	taki1248	the mountain or hill	MOUNTAIN OR HILL	2118		did	did 
7	29-1-222-1	71312238839424324	Takia	taki1248	the cliff or precipice	PRECIPICE	618		mal-pao-n	mal-pao-n 
8	29-1-23-1	71312238379713825	Takia	taki1248	the plain	PLAIN	652		ate-	ate- 
9	29-1-24-1	71312238920212552	Takia	taki1248	the valley	VALLEY	921		ilo-	ilo- 
10	29-1-25-1	71312238297340506	Takia	taki1248	the island	ISLAND	622		nwi	nwi 
11	29-1-26-1	71312238296290944	Takia	taki1248	the mainland	MAINLAND	166		tan tni-n	tan tni-n 
12	29-1-26-2	71312238123269680	Takia	taki1248	the mainland	MAINLAND	166		tan tbu-n	tan tbu-n 
13	29-1-27-1	71312238319114046	Takia	taki1248	the shore	SHORE	113		fon na	fon na 
14	29-1-27-2	71312238231126780	Takia	taki1248	the shore	SHORE	113		loŋ	loŋ 
15	29-1-28-1	71312238743806647	Takia	taki1248	the cave	CAVE	1155		gib	gib 
16	29-1-31-1	71312238564960480	Takia	taki1248	the water	WATER	948		you	you 
17	29-1-32-1	71312238337591326	Takia	taki1248	the sea	SEA	1474		beig	beig 
18	29-1-322-1	71312238597845963	Takia	taki1248	calm	CALM	258		malin	malin 
19	29-1-323-1	71312238433101128	Takia	taki1248	rough(2)	ROUGH (OF SEA)	259		saen-saen	saen-saen 
20	29-1-324-1	7131223857292989	Takia	taki1248	the foam	FOAM	1768		sblbal	sblbal 
21	29-1-329-1	71312238769412905	Takia	taki1248	the ocean	OCEAN	645		beig awa-n tbu-n	beig awa-n tbu-n 
22	29-1-33-1	71312238808484191	Takia	taki1248	the lake	LAKE	624		you i-tlanti	you i-tlanti 
23	29-1-34-1	71312238920212552	Takia	taki1248	the bay	BAY	663		ilo-	ilo- 
24	29-1-341-1	71312238808484191	Takia	taki1248	the lagoon	LAGOON	623		you i-tlanti	you i-tlanti 
25	29-1-342-1	71312238569778382	Takia	taki1248	the reef	REEF	660		mal	mal 
26	29-1-343-1	71312238952182794	Takia	taki1248	the cape	CAPE	1662		damo-	damo- 
27	29-1-35-1	7131223898113806	Takia	taki1248	the wave	WAVE	978		lalol	lalol 
28	29-1-352-1	7131223863698476	Takia	taki1248	the tide	TIDE	891		you brruk	you brruk 
29	29-1-353-1	71312238928526751	Takia	taki1248	the low tide	LOW TIDE	1026		grgor	grgor 
30	29-1-354-1	71312238104756393	Takia	taki1248	the high tide	HIGH TIDE	613		sir	sir 
31	29-1-36-1	71312238564960480	Takia	taki1248	the river or stream	RIVER	666		you	you 
32	29-1-362-1	71312238707992898	Takia	taki1248	the whirlpool	WHIRLPOOL	1982		you mala-n	you mala-n 
33	29-1-37-1	71312238197441895	Takia	taki1248	the spring or well	SPRING OR WELL	2144		you i-banai da	you i-banai da 
34	29-1-38-1	7131223817140683	Takia	taki1248	the swamp	SWAMP	1145		geo	geo 
35	29-1-39-1	71312238296709009	Takia	taki1248	the waterfall	WATERFALL	943		you i-skalik da	you i-skalik da 
36	29-1-41-1	71312238104459078	Takia	taki1248	the woods or forest	FOREST	420		dagu	dagu 
37	29-1-43-1	71312238658703992	Takia	taki1248	the wood	WOOD	1803		ai (1)	ai (1) 
38	29-1-44-1	7131223889261989	Takia	taki1248	the stone or rock	STONE OR ROCK	2125		pat	pat 
39	29-1-45-1	71312238672269739	Takia	taki1248	the earthquake	EARTHQUAKE	6		knawrig	knawrig 
40	29-1-51-1	71312238526902536	Takia	taki1248	the sky	SKY	1732		keit	keit 
41	29-1-52-1	71312238318605010	Takia	taki1248	the sun	SUN	1343		ad	ad 
42	29-1-53-1	71312238192749018	Takia	taki1248	the moon	MOON	1313		kalam	kalam 
43	29-1-54-1	71312238850434279	Takia	taki1248	the star	STAR	1430		patui	patui 
44	29-1-55-1	71312238521944475	Takia	taki1248	the lightning	LIGHTNING	1654		weil i-raklawi da	weil i-raklawi da 
45	29-1-56-1	71312238219751845	Takia	taki1248	the thunder	THUNDER	1150		weil	weil 
46	29-1-57-1	71312238988637624	Takia	taki1248	the bolt of lightning	BOLT (OF LIGHTNING)	2007		weil i-fni	weil i-fni 
47	29-1-58-1	71312238937258108	Takia	taki1248	the storm	STORM	858		dwadaw	dwadaw 
48	29-1-59-1	71312238182813529	Takia	taki1248	the rainbow	RAINBOW	1733		galab	galab 
49	29-1-61-1	71312238148248666	Takia	taki1248	the light	LIGHT (RADIATION)	630		llaman	llaman 
50	29-1-62-1	71312238452327432	Takia	taki1248	the darkness	DARKNESS	11		trarou	trarou 
51	29-1-63-1	71312238449736062	Takia	taki1248	the shade or shadow	SHADE	1388		mryaw	mryaw 
52	29-1-64-1	71312238906705308	Takia	taki1248	the dew	DEW	1977		bug	bug 
53	29-1-64-2	71312238248980954	Takia	taki1248	the dew	DEW	1977		dog	dog 
54	29-1-71-1	71312238308918761	Takia	taki1248	the air	AIR	27		ur (1)	ur (1) 
55	29-1-72-1	71312238648910888	Takia	taki1248	the wind	WIND	960		tim	tim 
56	29-1-73-1	71312238384362993	Takia	taki1248	the cloud	CLOUD	1489		tim tae-n	tim tae-n 
57	29-1-74-1	71312238958443833	Takia	taki1248	the fog	FOG	249		kawkaw	kawkaw 
58	29-1-75-1	71312238303726562	Takia	taki1248	the rain	RAIN (PRECIPITATION)	658		ui	ui 
59	29-1-76-1	71312238890542079	Takia	taki1248	the snow	SNOW	784		sno	sno 
60	29-1-77-1	7131223846239053	Takia	taki1248	the ice	ICE	617		eis	eis 
61	29-1-78-1	7131223872808643	Takia	taki1248	the weather	WEATHER	952		saen	saen 
62	29-1-81-1	71312238616205755	Takia	taki1248	the fire	FIRE	221		yai	yai 
63	29-1-82-1	71312238317473128	Takia	taki1248	the flame	FLAME	889		yai bale-n	yai bale-n 
64	29-1-83-1	71312238859660917	Takia	taki1248	the smoke	SMOKE (EXHAUST)	778		yai-kas, ya-kas	yai-kas 
65	29-1-83-2	71312238859660917	Takia	taki1248	the smoke	SMOKE (EXHAUST)	778		yai-kas, ya-kas	ya-kas 
66	29-1-84-1	71312238447990996	Takia	taki1248	the ash	ASH	646		yai tae-n	yai tae-n 
67	29-1-841-1	71312238348960521	Takia	taki1248	the embers	EMBERS	67		mdger	mdger 
68	29-1-851-1	71312238435328704	Takia	taki1248	to burn(1)	BURN (SOMETHING)	141		-mari	-mari 
69	29-1-852-1	71312238500680907	Takia	taki1248	to burn(2)	BURNING	1428		-ani (1)	-ani (1) 
70	29-1-86-1	71312238109986780	Takia	taki1248	to light	LIGHT (IGNITE)	737		-tni	-tni 
71	29-1-861-1	71312238427295695	Takia	taki1248	to extinguish	EXTINGUISH	127		-fni	-fni 
72	29-1-87-1	71312238530205941	Takia	taki1248	the match	MATCH	1133		masis	masis 
73	29-1-87-2	71312238787814575	Takia	taki1248	the match	MATCH	1133		snub	snub 
74	29-1-88-1	71312238658703992	Takia	taki1248	the firewood	FIREWOOD	10		ai (1)	ai (1) 
75	29-1-89-1	71312238451979699	Takia	taki1248	the charcoal	CHARCOAL	1188		sas	sas 
76	29-2-1-1	71312238224504508	Takia	taki1248	the person	PERSON	683		tamol-pein, tal-pein	tamol-pein 
77	29-2-1-2	71312238224504508	Takia	taki1248	the person	PERSON	683		tamol-pein, tal-pein	tal-pein 
78	29-2-21-1	71312238439636639	Takia	taki1248	the man	MAN	1554		tamol	tamol 
79	29-2-22-1	71312238630206159	Takia	taki1248	the woman	WOMAN	962		pein	pein 
80	29-2-23-1	71312238439636639	Takia	taki1248	male(1)	MALE (OF ANIMAL)	2263		tamol	tamol 
81	29-2-24-1	71312238630206159	Takia	taki1248	female(1)	FEMALE (OF PERSON)	2260		pein	pein 
82	29-2-25-1	71312238918599784	Takia	taki1248	the boy	BOY	1366		nanu-k	nanu-k 
83	29-2-251-1	71312238424501169	Takia	taki1248	the young man	YOUNG MAN	76		pnein	pnein 
84	29-2-26-1	71312238918599784	Takia	taki1248	the girl	GIRL	1646		nanu-k	nanu-k 
85	29-2-261-1	71312238895437527	Takia	taki1248	the young woman	YOUNG WOMAN	77		kbakan	kbakan 
86	29-2-27-1	71312238918599784	Takia	taki1248	the child(1)	CHILD (YOUNG HUMAN)	1304		nanu-k	nanu-k 
87	29-2-28-1	71312238247935091	Takia	taki1248	the baby	BABY	1289		nanuk swa te	nanuk swa te 
88	29-2-31-1	71312238585596792	Takia	taki1248	the husband	HUSBAND	1200		iwo-	iwo- 
89	29-2-32-1	71312238585596792	Takia	taki1248	the wife	WIFE	1199		iwo-	iwo- 
90	29-2-33-1	71312238248224131	Takia	taki1248	to marry	MARRY	203		nug -ŋa	nug -ŋa 
91	29-2-34-1	7131223881485223	Takia	taki1248	the wedding	WEDDING	1259		nug ŋane-k	nug ŋane-k 
92	29-2-341-1	71312238217647674	Takia	taki1248	the divorce	DIVORCE	1134		nug -moy	nug -moy 
93	29-2-35-1	71312238500288103	Takia	taki1248	the father	FATHER	1217		tama-	tama- 
94	29-2-36-1	71312238434620510	Takia	taki1248	the mother	MOTHER	1216		tna-	tna- 
95	29-2-37-1	71312238689622906	Takia	taki1248	the parents	PARENTS	505		tnan-n-taman-n	tnan-n-taman-n 
96	29-2-38-1	71312238944071545	Takia	taki1248	the married man	MARRIED MAN	424		tamol iwo-n da ya	tamol iwo-n da ya 
97	29-2-39-1	71312238734041539	Takia	taki1248	the married woman	MARRIED WOMAN	426		pein iwo-n da ya	pein iwo-n da ya 
98	29-2-41-1	71312238918652926	Takia	taki1248	the son	SON	1620		nanu-	nanu- 
99	29-2-42-1	71312238918652926	Takia	taki1248	the daughter	DAUGHTER	1357		nanu-	nanu- 
100	29-3-662-1	71312238670285141	Takia	taki1248	the porpoise or dolphin	DOLPHIN	1479		lous	lous 
101	29-2-43-1	71312238918652926	Takia	taki1248	the child(2)	CHILD (DESCENDANT)	1801		nanu-	nanu- 
102	29-2-44-1	71312238179015054	Takia	taki1248	the brother	BROTHER	1262		tei-	tei- 
103	29-2-444-1	71312238179015054	Takia	taki1248	the older brother	OLDER BROTHER	1759		tei-	tei- 
104	29-2-445-1	71312238179015054	Takia	taki1248	the younger brother	YOUNGER BROTHER	1760		tei-	tei- 
105	29-2-45-1	71312238179015054	Takia	taki1248	the sister	SISTER	1263		tei-	tei- 
106	29-2-454-1	71312238179015054	Takia	taki1248	the older sister	OLDER SISTER	1758		tei-	tei- 
107	29-2-455-1	71312238179015054	Takia	taki1248	the younger sister	YOUNGER SISTER	1761		tei-	tei- 
