Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
ə	ə	řfəřfəř itəqqsən, xəmməř	Tarifiyt Berber	851	U+0259
a	a	ŧammua’ŧ, ŧayyawŧ	Tarifiyt Berber	718	U+0061
i	i	ŧisiynəfŧ, ařiyzim	Tarifiyt Berber	426	U+0069
’	<?>	at’t’as, t’t’əƀs’i	Tarifiyt Berber	385	U+2019
^a	a	aħənžia, ađ’əggwař	Tarifiyt Berber	334	U+005e U+0061
u	u	ssɣuyy, ŧammua’ŧ	Tarifiyt Berber	274	U+0075
a$	a	aħənžia, ƀđ’a	Tarifiyt Berber	246	U+0061 U+0024
^ŧ	ŧ	ŧisiynəfŧ, ŧamziyđa	Tarifiyt Berber	245	U+005e U+0167
m	m	ŧamziyđa, aməqqr’an	Tarifiyt Berber	232	U+006d
n	n	aħənžia, ŧisiynəfŧ	Tarifiyt Berber	204	U+006e
đ	đ	ađ’əggwař, ƀđ’a	Tarifiyt Berber	189	U+0111
ŧ$	ŧ	ŧisiynəfŧ, ŧayyawŧ	Tarifiyt Berber	174	U+0167 U+0024
r	r	anəggaru, ar’r’uz’	Tarifiyt Berber	143	U+0072
t	t	at’t’as, ŧamšət’t’	Tarifiyt Berber	136	U+0074
z	z	aziyza, ʕzizi	Tarifiyt Berber	135	U+007a
ā	ā	ŧiɣā’ɣā’ŧ, fāz	Tarifiyt Berber	132	U+0101
ř	ř	đ’řəq, aʕřa	Tarifiyt Berber	131	U+0159
^ř	ř	řəƀr’uq, řəƀħā	Tarifiyt Berber	128	U+005e U+0159
i$	i	đi, ʕzizi	Tarifiyt Berber	128	U+0069 U+0024
n$	n	aʕəffan, aməqqr’an	Tarifiyt Berber	121	U+006e U+0024
s	s	ŧisiynəfŧ, ŧasiaŧ	Tarifiyt Berber	118	U+0073
y	y	ŧisiynəfŧ, đəɣya	Tarifiyt Berber	114	U+0079
ƀ	ƀ	ŧaƀrat, řəƀr’uq	Tarifiyt Berber	113	U+0180
ā$	ā	az’wā, awəssā	Tarifiyt Berber	109	U+0101 U+0024
š	š	ŧšaššəšŧ, nišan	Tarifiyt Berber	104	U+0161
’$	<?>	āz’, ŧamšət’t’	Tarifiyt Berber	103	U+2019 U+0024
f	f	ŧisiynəfŧ, ŧafřəwŧ	Tarifiyt Berber	95	U+0066
ɣ	ɣ	ŧiɣā’ɣā’ŧ, đəɣya	Tarifiyt Berber	92	U+0263
ř$	ř	ađ’əggwař, šař	Tarifiyt Berber	90	U+0159 U+0024
q	q	ŧqā’qr’a, řqəws	Tarifiyt Berber	89	U+0071
_	_	wwəŧ s uqāt’as’, ŧaxəddant n s’pit’ā	Tarifiyt Berber	80	U+005f
ʕ	ʕ	aʕəffan, aʕřa	Tarifiyt Berber	77	U+0295
u$	u	ā’xu, anəggaru	Tarifiyt Berber	73	U+0075 U+0024
ħ	ħ	aħənžia, ŧħanətt	Tarifiyt Berber	71	U+0127
m$	m	ħkəm, açsum	Tarifiyt Berber	71	U+006d U+0024
^ss	ss	ssɣuyy, ssənsřəŧ	Tarifiyt Berber	64	U+005e U+0073 U+0073
s$	s	at’t’as, qqəs	Tarifiyt Berber	61	U+0073 U+0024
ž	ž	aħənžia, ŧaħžižat	Tarifiyt Berber	57	U+017e
^i	i	iřəf, iɣɣəđ	Tarifiyt Berber	55	U+005e U+0069
l	l	falta, familya	Tarifiyt Berber	51	U+006c
