ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	6-1-1-1	7212058305706511	Tarifiyt Berber	tari1263	the world	WORLD	965		ddənya	ddənya 
2	6-1-21-1	7212058923850418	Tarifiyt Berber	tari1263	the land	LAND	626		ŧammua’ŧ	ŧammua’ŧ 
3	6-1-212-1	7212058455918984	Tarifiyt Berber	tari1263	the soil	EARTH (SOIL)	1228		šař	šař 
4	6-1-213-1	7212058860784276	Tarifiyt Berber	tari1263	the dust	DUST	2		ŧaʕəžžašŧ	ŧaʕəžžašŧ 
5	6-1-213-2	7212059695009536	Tarifiyt Berber	tari1263	the dust	DUST	2		ŧaɣəbbā’ŧ	ŧaɣəbbā’ŧ 
6	6-1-214-1	7212058550487808	Tarifiyt Berber	tari1263	the mud	MUD	640		aƀəǧǧaʕ	aƀəǧǧaʕ 
7	6-1-215-1	7212058354792967	Tarifiyt Berber	tari1263	the sand	SAND	671		ižđi	ižđi 
8	6-1-22-1	7212058625749046	Tarifiyt Berber	tari1263	the mountain or hill	MOUNTAIN OR HILL	2118		ađrā	ađrā 
9	6-1-22-2	7212059811957930	Tarifiyt Berber	tari1263	the mountain or hill	MOUNTAIN OR HILL	2118		ađmā	ađmā 
10	6-1-222-1	7212059665782615	Tarifiyt Berber	tari1263	the cliff or precipice	PRECIPICE	618		žžā’f	žžā’f 
11	6-1-222-2	7212059362971360	Tarifiyt Berber	tari1263	the cliff or precipice	PRECIPICE	618		addā	addā 
12	6-1-23-1	7212058849945729	Tarifiyt Berber	tari1263	the plain	PLAIN	652		řgəʕđəŧ	řgəʕđəŧ 
13	6-1-23-2	7212059309120181	Tarifiyt Berber	tari1263	the plain	PLAIN	652		řəwđ’a	řəwđ’a 
14	6-1-24-1	7212058928711349	Tarifiyt Berber	tari1263	the valley	VALLEY	921		ŧizi	ŧizi 
15	6-1-25-1	7212058135112343	Tarifiyt Berber	tari1263	the island	ISLAND	622		ŧayəzzāŧ	ŧayəzzāŧ 
16	6-1-25-2	7212059298284558	Tarifiyt Berber	tari1263	the island	ISLAND	622		lǧazira	lǧazira 
17	6-1-26-1	7212058388084504	Tarifiyt Berber	tari1263	the mainland	MAINLAND	166		řƀā’	řƀā’ 
18	6-1-27-1	7212059230937189	Tarifiyt Berber	tari1263	the shore	SHORE	113		ŧma	ŧma 
19	6-1-28-1	7212058993493812	Tarifiyt Berber	tari1263	the cave	CAVE	1155		ifri	ifri 
20	6-1-31-1	7212058143452488	Tarifiyt Berber	tari1263	the water	WATER	948		aman	aman 
21	6-1-32-1	7212058354812764	Tarifiyt Berber	tari1263	the sea	SEA	1474		řəƀħā	řəƀħā 
22	6-1-322-1	72120584993871	Tarifiyt Berber	tari1263	calm	CALM	258		ās	ās 
23	6-1-323-1	7212058189576691	Tarifiyt Berber	tari1263	rough(2)	ROUGH (OF SEA)	259		hwəř	hwəř 
24	6-1-323-2	7212059521650167	Tarifiyt Berber	tari1263	rough(2)	ROUGH (OF SEA)	259		haž	haž 
25	6-1-324-1	721205820877663	Tarifiyt Berber	tari1263	the foam	FOAM	1768		kuffu	kuffu 
26	6-1-329-1	7212058354812764	Tarifiyt Berber	tari1263	the ocean	OCEAN	645		řəƀħā	řəƀħā 
27	6-1-33-1	721205847308371	Tarifiyt Berber	tari1263	the lake	LAKE	624		ařimam	ařimam 
28	6-1-33-2	7212059229183381	Tarifiyt Berber	tari1263	the lake	LAKE	624		ŧanda	ŧanda 
29	6-1-35-1	7212058135981095	Tarifiyt Berber	tari1263	the wave	WAVE	978		řmužžəŧ	řmužžəŧ 
30	6-1-36-1	7212058998254994	Tarifiyt Berber	tari1263	the river or stream	RIVER	666		iɣzā	iɣzā 
31	6-1-362-1	721205850612640	Tarifiyt Berber	tari1263	the whirlpool	WHIRLPOOL	1982		ŧasrafŧ	ŧasrafŧ 
32	6-1-37-1	7212058736319347	Tarifiyt Berber	tari1263	the spring or well	SPRING OR WELL	2144		ŧařa	ŧařa 
33	6-1-37-2	7212059735949047	Tarifiyt Berber	tari1263	the spring or well	SPRING OR WELL	2144		anu	anu 
34	6-1-37-3	7212059856419029	Tarifiyt Berber	tari1263	the spring or well	SPRING OR WELL	2144		řʕuns’ā	řʕuns’ā 
35	6-1-39-1	7212058712815176	Tarifiyt Berber	tari1263	the waterfall	WATERFALL	943		šāšā	šāšā 
36	6-1-41-1	7212058834038019	Tarifiyt Berber	tari1263	the woods or forest	FOREST	420		řɣaƀəŧ	řɣaƀəŧ 
