Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	malaeaeŋ, lǎansǎaw	Thai	1024	U+0061
n$	n	man, khʉ̂n	Thai	308	U+006e U+0024
e	e	khǎeŋraeaeŋ, bàeaek	Thai	234	U+0065
y$	j	lûukkhə̌əy, phaay	Thai	228	U+0079 U+0024
aa	aː	pùuyâataayaay, naaŋphayaabaan	Thai	223	U+0061 U+0061
ŋ$	ŋ	luŋ, lǎŋ	Thai	222	U+014b U+0024
à	à/a	plàaw, màak	Thai	217	U+00e0
r	r	khrɔ́ráay, khrʉ̂aŋpradàp	Thai	210	U+0072
â	â/a	nâa, râak	Thai	210	U+00e2
t$	t	phát, phìt	Thai	200	U+0074 U+0024
ǎ	ǎ/a	lǎansǎaw, lǎŋ	Thai	185	U+01ce
^kh	kʰ	kháo, khɔɔ	Thai	172	U+005e U+006b U+0068
k$	k	rîak, râak	Thai	168	U+006b U+0024
á	á/a	kháo, phát	Thai	166	U+00e1
^s	s	sǐa, sǐaŋ	Thai	164	U+005e U+0073
n	n	thanǒn, khonplàeknâa	Thai	160	U+006e
l	l	plàaw, plùuk	Thai	159	U+006c
^k	k	kèp, koŋ	Thai	137	U+005e U+006b
^ph	pʰ	phát, phìt	Thai	134	U+005e U+0070 U+0068
u	u	lûukbuntham, luŋ	Thai	133	U+0075
a$	a	nâa, wua	Thai	133	U+0061 U+0024
m	m	dooymâymii, yaimaeaeŋmum	Thai	133	U+006d
m$	m	tham, ŋâam	Thai	128	U+006d U+0024
^m	m	man, màak	Thai	122	U+005e U+006d
^n	n	nâa, nûat	Thai	117	U+005e U+006e
^th	tʰ	thəə, thanǒn	Thai	116	U+005e U+0074 U+0068
k	k	lûukkhə̌əy, lûuklíaŋ	Thai	115	U+006b
^l	l	luŋ, lǎŋ	Thai	112	U+005e U+006c
ɔ	ɔ	nɔ́ɔŋsǎaw, kɔ̀ɔn	Thai	112	U+0254
i	i	patithin, diaw	Thai	109	U+0069
^p	p	plàaw, pâa	Thai	108	U+005e U+0070
o	o	koŋ, loŋthôot	Thai	101	U+006f
t	t	phìtlûukphìtmia, rátthamontrii	Thai	100	U+0074
y	j	pùuyâataayaay, dooymâymii	Thai	99	U+0079
^?	ʔ	?aa, ?aakàat	Thai	93	U+005e U+003f
^r	r	rao, ráksǎa	Thai	90	U+005e U+0072
ŋ	ŋ	khɔ̂ŋcay, khǎeŋraeaeŋ	Thai	88	U+014b
^t	t	too, taay	Thai	87	U+005e U+0074
p$	p	kèp, càp	Thai	80	U+0070 U+0024
ù	ù/u	yùu, plùuk	Thai	79	U+00f9
ì	ì/i	phìt, dìp	Thai	78	U+00ec
û	û/u	nûat, lûuksapháy	Thai	76	U+00fb
ph	pʰ	lûuksapháy, thúpphíkkhaphay	Thai	74	U+0070 U+0068
^b	b	bàeaek, bâan	Thai	72	U+005e U+0062
th	tʰ	prathaanaathíbɔdii, ?aathít	Thai	69	U+0074 U+0068
^h	h	hûuk, hěn	Thai	68	U+005e U+0068
kh	kʰ	lûukkhə̌əy, baykhàpkhìi	Thai	67	U+006b U+0068
w$	w	plàaw, lǎansǎaw	Thai	66	U+0077 U+0024
í	í/i	lûuklíaŋ, ?aathít	Thai	64	U+00ed
^ch	tɕ	cháaw, chûay	Thai	63	U+005e U+0063 U+0068
aa$	aː	?aa, chiiwaa	Thai	63	U+0061 U+0061 U+0024
