ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	23-1-1-1	7681752449881593	Thai	thai1261	the world	WORLD	965	โลก	lôok	lôok 
2	23-1-1-2	7681752656636718	Thai	thai1261	the world	WORLD	965	หล้า	lâa (1)	lâa (1) 
3	23-1-1-3	7681752680443950	Thai	thai1261	the world	WORLD	965	พื้น	phʉ́ʉn	phʉ́ʉn 
4	23-1-1-4	7681752891711584	Thai	thai1261	the world	WORLD	965	พิภพ	phíphóp	phíphóp 
5	23-1-1-5	7681752433272612	Thai	thai1261	the world	WORLD	965	ภพ	phóp (1)	phóp (1) 
6	23-1-21-1	7681752660643246	Thai	thai1261	the land	LAND	626	บก	bòk	bòk 
7	23-1-212-1	7681752390507735	Thai	thai1261	the soil	EARTH (SOIL)	1228	ดิน	din	din 
8	23-1-213-1	7681752720643790	Thai	thai1261	the dust	DUST	2	ฝุ่น	fùn	fùn 
9	23-1-213-2	843028952819991	Thai	thai1261	the dust	DUST	2	ละออง	la?ɔɔŋ	la?ɔɔŋ 
10	23-1-213-3	7627110754053328	Thai	thai1261	the dust	DUST	2	ผง	phǒŋ	phǒŋ 
11	23-1-214-1	7681752853074413	Thai	thai1261	the mud	MUD	640	โคลน	khloon	khloon 
12	23-1-214-2	7627114102625232	Thai	thai1261	the mud	MUD	640	ตม	tom	tom 
13	23-1-214-3	7627115697408060	Thai	thai1261	the mud	MUD	640	หล่ม	lòm	lòm 
14	23-1-215-1	7681752724736729	Thai	thai1261	the sand	SAND	671	ทราย	saay (1)	saay (1) 
15	23-1-22-1	7681752993892210	Thai	thai1261	the mountain or hill	MOUNTAIN OR HILL	2118	เขา	khǎo	khǎo 
16	23-1-22-2	7681752404681455	Thai	thai1261	the mountain or hill	MOUNTAIN OR HILL	2118	ภู	phuu	phuu 
17	23-1-22-3	7681752139602488	Thai	thai1261	the mountain or hill	MOUNTAIN OR HILL	2118	ภูเขา	phuukhǎo	phuukhǎo 
18	23-1-22-4	7681752353290988	Thai	thai1261	the mountain or hill	MOUNTAIN OR HILL	2118	ดอย	dɔɔy	dɔɔy 
19	23-1-22-5	7681752343749822	Thai	thai1261	the mountain or hill	MOUNTAIN OR HILL	2118	โคก	khôok	khôok 
20	23-1-222-1	7681752279799745	Thai	thai1261	the cliff or precipice	PRECIPICE	618	ผา	phǎa	phǎa 
21	23-1-23-1	7681752616787409	Thai	thai1261	the plain	PLAIN	652	ทุ่ง	thûŋ	thûŋ 
22	23-1-24-1	7681752500715868	Thai	thai1261	the valley	VALLEY	921	หุบเขา	hùpkhǎo	hùpkhǎo 
23	23-1-25-1	7681752977487123	Thai	thai1261	the island	ISLAND	622	เกาะ	kɔ̀	kɔ̀ 
24	23-1-26-1	7681752516480538	Thai	thai1261	the mainland	MAINLAND	166	แผ่นดินใหญ่	phàendinyày	phàendinyày 
25	23-1-27-1	7681752690432435	Thai	thai1261	the shore	SHORE	113	ฝั่ง	fàŋ	fàŋ 
26	23-1-28-1	7681752479580832	Thai	thai1261	the cave	CAVE	1155	ถ้ำ	thâm	thâm 
27	23-1-31-1	7681752832550386	Thai	thai1261	the water	WATER	948	นำ้	náam	náam 
28	23-1-31-2	77131622282168117	Thai	thai1261	the water	WATER	948	ชล	chon	chon 
29	23-1-31-3	77131627455674023	Thai	thai1261	the water	WATER	948	อุทก	?ùthók	?ùthók 
30	23-1-31-4	7713182129156782	Thai	thai1261	the water	WATER	948	ธารา	thaaraa	thaaraa 
31	23-1-32-1	7681752377294569	Thai	thai1261	the sea	SEA	1474	ทะเล	thalee	thalee 
32	23-1-322-1	7681752189844664	Thai	thai1261	calm	CALM	258	เรียบ	rîap	rîap 
33	23-1-323-1	7681752136232415	Thai	thai1261	rough(2)	ROUGH (OF SEA)	259	เรียบ	miikhlʉ̂ʉn	miikhlʉ̂ʉn 
34	23-1-324-1	7681752907220675	Thai	thai1261	the foam	FOAM	1768	ฟอง	fɔɔŋ	fɔɔŋ 
35	23-1-329-1	7681752533568136	Thai	thai1261	the ocean	OCEAN	645	มหาสมุทร	mahǎasamùt	mahǎasamùt 
36	23-1-33-1	7681752182738285	Thai	thai1261	the lake	LAKE	624	ทะเลสาบ	thaleesàap	thaleesàap 
37	23-1-34-1	7681752352385763	Thai	thai1261	the bay	BAY	663	อ่าว	?àaw	?àaw 
38	23-1-341-1	7681752254645030	Thai	thai1261	the lagoon	LAGOON	623	ลากูน	laakuun	laakuun 
39	23-1-342-1	7681752195832927	Thai	thai1261	the reef	REEF	660	แนวปะการัง	naewpakaaraŋ	naewpakaaraŋ 
40	23-1-342-2	77131756775358309	Thai	thai1261	the reef	REEF	660	หินโสโครก	hǐnsǒokhrôok	hǐnsǒokhrôok 
41	23-1-343-1	768175246389014	Thai	thai1261	the cape	CAPE	1662	แหลม	lǎeaem	lǎeaem 
42	23-1-35-1	7681752964089191	Thai	thai1261	the wave	WAVE	978	คลื่น	khlʉ̂ʉn	khlʉ̂ʉn 
43	23-1-35-2	76271117980177136	Thai	thai1261	the wave	WAVE	978		fɔ̂ɔŋ	fɔ̂ɔŋ 
