ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	33-1-1-1	7214231572332013	Zinacantán Tzotzil	tzot1259	the world	WORLD	965		balamil	balamil 
2	33-1-21-1	7214231572332013	Zinacantán Tzotzil	tzot1259	the land	LAND	626		balamil	balamil 
3	33-1-21-2	72142315209283187	Zinacantán Tzotzil	tzot1259	the land	LAND	626		7osil	7osil 
4	33-1-212-1	72142315230767094	Zinacantán Tzotzil	tzot1259	the soil	EARTH (SOIL)	1228		puksat balamil	puksat balamil 
5	33-1-213-1	72142315975768276	Zinacantán Tzotzil	tzot1259	the dust	DUST	2		7ik'ubal	7ik'ubal 
6	33-1-213-2	72142315148797240	Zinacantán Tzotzil	tzot1259	the dust	DUST	2		pukuk	pukuk 
7	33-1-214-1	72142315975768276	Zinacantán Tzotzil	tzot1259	the mud	MUD	640		7ik'ubal	7ik'ubal 
8	33-1-214-2	72142315212494634	Zinacantán Tzotzil	tzot1259	the mud	MUD	640		tatal	tatal 
9	33-1-214-3	72142315997451686	Zinacantán Tzotzil	tzot1259	the mud	MUD	640		7ach'el	7ach'el 
10	33-1-215-1	72142315421799807	Zinacantán Tzotzil	tzot1259	the sand	SAND	671		yi'	yi' 
11	33-1-22-1	72142315796873010	Zinacantán Tzotzil	tzot1259	the mountain or hill	MOUNTAIN OR HILL	2118		vitz	vitz 
12	33-1-222-1	72142315310961666	Zinacantán Tzotzil	tzot1259	the cliff or precipice	PRECIPICE	618		ch'en	ch'en 
13	33-1-222-2	72142315742680421	Zinacantán Tzotzil	tzot1259	the cliff or precipice	PRECIPICE	618		k'ulebal	k'ulebal 
14	33-1-23-1	72142315728282076	Zinacantán Tzotzil	tzot1259	the plain	PLAIN	652		pach'altik	pach'altik 
15	33-1-24-1	72142315757689169	Zinacantán Tzotzil	tzot1259	the valley	VALLEY	921		pul'osil	pul'osil 
16	33-1-24-2	72142315384984866	Zinacantán Tzotzil	tzot1259	the valley	VALLEY	921		pulav	pulav 
17	33-1-27-1	7214231567752609	Zinacantán Tzotzil	tzot1259	the shore	SHORE	113		ti' _________	ti' _________ 
18	33-1-28-1	72142315310961666	Zinacantán Tzotzil	tzot1259	the cave	CAVE	1155		ch'en	ch'en 
19	33-1-28-2	72142315726320499	Zinacantán Tzotzil	tzot1259	the cave	CAVE	1155		nail ch'en	nail ch'en 
20	33-1-28-3	72142315742680421	Zinacantán Tzotzil	tzot1259	the cave	CAVE	1155		k'ulebal	k'ulebal 
21	33-1-31-1	72142315501822912	Zinacantán Tzotzil	tzot1259	the water	WATER	948		vo'	vo' 
22	33-1-31-2	72142315878964733	Zinacantán Tzotzil	tzot1259	the water	WATER	948		7a'al	7a'al 
23	33-1-32-1	72142315998095923	Zinacantán Tzotzil	tzot1259	the sea	SEA	1474		nab	nab 
24	33-1-322-1	72142315250881217	Zinacantán Tzotzil	tzot1259	calm	CALM	258		vashal	vashal 
25	33-1-324-1	72142315482593781	Zinacantán Tzotzil	tzot1259	the foam	FOAM	1768		vok	vok 
26	33-1-329-1	72142315998095923	Zinacantán Tzotzil	tzot1259	the ocean	OCEAN	645		nab	nab 
27	33-1-33-1	72142315998095923	Zinacantán Tzotzil	tzot1259	the lake	LAKE	624		nab	nab 
28	33-1-36-1	72142315998095923	Zinacantán Tzotzil	tzot1259	the river or stream	RIVER	666		nab	nab 
