ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	24-1-1-1	7215023866830705	Vietnamese	viet1252	the world	WORLD	965		thế giới	thế giới 
2	24-1-21-1	7215023710038378	Vietnamese	viet1252	the land	LAND	626		đất (1)	đất (1) 
3	24-1-212-1	7215023826312771	Vietnamese	viet1252	the soil	EARTH (SOIL)	1228		đất (2)	đất (2) 
4	24-1-213-1	7215023935236407	Vietnamese	viet1252	the dust	DUST	2		bụi	bụi 
5	24-1-214-1	7215023120185628	Vietnamese	viet1252	the mud	MUD	640		bùn	bùn 
6	24-1-215-1	7215023506783343	Vietnamese	viet1252	the sand	SAND	671		cát	cát 
7	24-1-22-1	7215023873550156	Vietnamese	viet1252	the mountain or hill	MOUNTAIN OR HILL	2118		núi	núi 
8	24-1-22-2	7215023616888234	Vietnamese	viet1252	the mountain or hill	MOUNTAIN OR HILL	2118		đồi	đồi 
9	24-1-222-1	7215023104538439	Vietnamese	viet1252	the cliff or precipice	PRECIPICE	618		vách đá	vách đá 
10	24-1-23-1	7215023186225445	Vietnamese	viet1252	the plain	PLAIN	652		đồng bằng	đồng bằng 
11	24-1-24-1	721502367407419	Vietnamese	viet1252	the valley	VALLEY	921		thung lũng	thung lũng 
12	24-1-24-2	7215023764103155	Vietnamese	viet1252	the valley	VALLEY	921		lưu vực	lưu vực 
13	24-1-25-1	721502340947831	Vietnamese	viet1252	the island	ISLAND	622		đảo	đảo 
14	24-1-25-2	7215023943451379	Vietnamese	viet1252	the island	ISLAND	622		cù lao	cù lao 
15	24-1-26-1	7215023167545975	Vietnamese	viet1252	the mainland	MAINLAND	166		đại lục	đại lục 
16	24-1-27-1	7215023825167303	Vietnamese	viet1252	the shore	SHORE	113		bờ	bờ 
17	24-1-28-1	7215023788733894	Vietnamese	viet1252	the cave	CAVE	1155		hang	hang 
18	24-1-31-1	721502379439364	Vietnamese	viet1252	the water	WATER	948		nước	nước 
19	24-1-32-1	7215023298576466	Vietnamese	viet1252	the sea	SEA	1474		biển	biển 
20	24-1-322-1	7215023566972433	Vietnamese	viet1252	calm	CALM	258		không nổi sóng	không nổi sóng 
21	24-1-323-1	7215023803474358	Vietnamese	viet1252	rough(2)	ROUGH (OF SEA)	259		động	động 
22	24-1-324-1	7215023898374872	Vietnamese	viet1252	the foam	FOAM	1768		bọt	bọt 
23	24-1-329-1	721502324210100	Vietnamese	viet1252	the ocean	OCEAN	645		đại dương	đại dương 
24	24-1-33-1	721502379018900	Vietnamese	viet1252	the lake	LAKE	624		hồ	hồ 
25	24-1-34-1	7215023446678652	Vietnamese	viet1252	the bay	BAY	663		vịnh	vịnh 
26	24-1-341-1	7215023494127447	Vietnamese	viet1252	the lagoon	LAGOON	623		phá	phá 
27	24-1-342-1	7215023505871442	Vietnamese	viet1252	the reef	REEF	660		đá ngầm	đá ngầm 
28	24-1-343-1	7215023144420723	Vietnamese	viet1252	the cape	CAPE	1662		mũi đất	mũi đất 
29	24-1-35-1	7215023650492821	Vietnamese	viet1252	the wave	WAVE	978		sóng	sóng 
30	24-1-352-1	7215023359152363	Vietnamese	viet1252	the tide	TIDE	891		triều	triều 
31	24-1-353-1	7215023760703556	Vietnamese	viet1252	the low tide	LOW TIDE	1026		triều thấp	triều thấp 
32	24-1-354-1	7215023683674546	Vietnamese	viet1252	the high tide	HIGH TIDE	613		triều cao	triều cao 
33	24-1-36-1	7215023303685891	Vietnamese	viet1252	the river or stream	RIVER	666		sông	sông 
34	24-1-362-1	721502372214422	Vietnamese	viet1252	the whirlpool	WHIRLPOOL	1982		dòng nước xoáy	dòng nước xoáy 
35	24-1-37-1	7215023143394986	Vietnamese	viet1252	the spring or well	SPRING OR WELL	2144		giếng	giếng 
36	24-1-38-1	7215023157428652	Vietnamese	viet1252	the swamp	SWAMP	1145		đầm lầy	đầm lầy 
37	24-1-39-1	7215023113473841	Vietnamese	viet1252	the waterfall	WATERFALL	943		thác nước	thác nước 
38	24-1-41-1	7215023833630542	Vietnamese	viet1252	the woods or forest	FOREST	420		rừng	rừng 
39	24-1-43-1	7215023293068163	Vietnamese	viet1252	the wood	WOOD	1803		gỗ	gỗ 
40	24-1-44-1	7215023789213743	Vietnamese	viet1252	the stone or rock	STONE OR ROCK	2125		đá (1)	đá (1) 
41	24-1-45-1	7215023847386207	Vietnamese	viet1252	the earthquake	EARTHQUAKE	6		địa động	địa động 
42	24-1-51-1	7215023996201727	Vietnamese	viet1252	the sky	SKY	1732		trời	trời 
43	24-1-52-1	721502330568616	Vietnamese	viet1252	the sun	SUN	1343		mặt trời	mặt trời 
44	24-1-53-1	7215023694817551	Vietnamese	viet1252	the moon	MOON	1313		mặt trăng	mặt trăng 
45	24-1-54-1	7215023181554081	Vietnamese	viet1252	the star	STAR	1430		sao (1)	sao (1) 
46	24-1-55-1	7215023159212488	Vietnamese	viet1252	the lightning	LIGHTNING	1654		chớp	chớp 
47	24-1-56-1	7215023401930750	Vietnamese	viet1252	the thunder	THUNDER	1150		sấm	sấm 
48	24-1-57-1	7215023159212488	Vietnamese	viet1252	the bolt of lightning	BOLT (OF LIGHTNING)	2007		chớp	chớp 
49	24-1-58-1	7215023743514975	Vietnamese	viet1252	the storm	STORM	858		bão	bão 
50	24-1-59-1	7215023624423739	Vietnamese	viet1252	the rainbow	RAINBOW	1733		cầu vồng	cầu vồng 
51	24-1-61-1	7215023739637343	Vietnamese	viet1252	the light	LIGHT (RADIATION)	630		ánh sáng	ánh sáng 
52	24-1-62-1	721502361272742	Vietnamese	viet1252	the darkness	DARKNESS	11		bóng tối	bóng tối 
53	24-1-63-1	721502353716615	Vietnamese	viet1252	the shade or shadow	SHADE	1388		bóng (1)	bóng (1) 
54	24-1-64-1	7215023576900913	Vietnamese	viet1252	the dew	DEW	1977		sương	sương 
55	24-1-71-1	7215023634039454	Vietnamese	viet1252	the air	AIR	27		không khí	không khí 
56	24-1-71-2	721502358867376	Vietnamese	viet1252	the air	AIR	27		hơi	hơi 
57	24-1-72-1	7215023492512552	Vietnamese	viet1252	the wind	WIND	960		gío	gío 
58	24-1-73-1	7215023362340160	Vietnamese	viet1252	the cloud	CLOUD	1489		mây	mây 
59	24-1-74-1	7215023386885311	Vietnamese	viet1252	the fog	FOG	249		sương mù	sương mù 
60	24-1-75-1	7215023328407961	Vietnamese	viet1252	the rain	RAIN (PRECIPITATION)	658		mưa	mưa 
61	24-1-76-1	7215023172000576	Vietnamese	viet1252	the snow	SNOW	784		tuyết	tuyết 
62	24-1-77-1	7215023688066962	Vietnamese	viet1252	the ice	ICE	617		đá (2)	đá (2) 
63	24-1-78-1	7215023109166412	Vietnamese	viet1252	the weather	WEATHER	952		thời tiết	thời tiết 
64	24-1-81-1	7215023725045168	Vietnamese	viet1252	the fire	FIRE	221		lửa	lửa 
65	24-1-82-1	7215023458717760	Vietnamese	viet1252	the flame	FLAME	889		ngọn lửa	ngọn lửa 
66	24-1-83-1	7215023500819256	Vietnamese	viet1252	the smoke	SMOKE (EXHAUST)	778		khói	khói 
67	24-1-84-1	7215023797472383	Vietnamese	viet1252	the ash	ASH	646		tro	tro 
68	24-1-841-1	7215023458861141	Vietnamese	viet1252	the embers	EMBERS	67		than hồng	than hồng 
69	24-1-851-1	7215023951032889	Vietnamese	viet1252	to burn(1)	BURN (SOMETHING)	141		đốt cháy	đốt cháy 
70	24-1-852-1	7215023420612911	Vietnamese	viet1252	to burn(2)	BURNING	1428		cháy	cháy 
71	24-1-86-1	7215023627828831	Vietnamese	viet1252	to light	LIGHT (IGNITE)	737		đốt	đốt 
72	24-1-861-1	7215023681766167	Vietnamese	viet1252	to extinguish	EXTINGUISH	127		tắt	tắt 
73	24-1-87-1	721502392906261	Vietnamese	viet1252	the match	MATCH	1133		diêm	diêm 
74	24-1-88-1	7215023824876945	Vietnamese	viet1252	the firewood	FIREWOOD	10		củi	củi 
75	24-1-89-1	7215023645579143	Vietnamese	viet1252	the charcoal	CHARCOAL	1188		than	than 
76	24-2-1-1	7215023392509700	Vietnamese	viet1252	the person	PERSON	683		người	người 
77	24-2-21-1	7215023341485720	Vietnamese	viet1252	the man	MAN	1554		đàn ông	đàn ông 
78	24-2-22-1	7215023459685971	Vietnamese	viet1252	the woman	WOMAN	962		đàn bà	đàn bà 
79	24-2-23-1	721502348595683	Vietnamese	viet1252	male(1)	MALE (OF ANIMAL)	2263		trai	trai 
80	24-2-24-1	7215023174645905	Vietnamese	viet1252	female(1)	FEMALE (OF PERSON)	2260		gái	gái 
81	24-2-25-1	721502392689726	Vietnamese	viet1252	the boy	BOY	1366		con trai (1)	con trai (1) 
82	24-2-251-1	7215023214454752	Vietnamese	viet1252	the young man	YOUNG MAN	76		người bạn trai	người bạn trai 
83	24-2-26-1	7215023844339070	Vietnamese	viet1252	the girl	GIRL	1646		con gái (1)	con gái (1) 
84	24-2-261-1	7215023666254893	Vietnamese	viet1252	the young woman	YOUNG WOMAN	77		thiếu nữ	thiếu nữ 
85	24-2-27-1	7215023979862639	Vietnamese	viet1252	the child(1)	CHILD (YOUNG HUMAN)	1304		con (1)	con (1) 
86	24-2-28-1	7215023593348327	Vietnamese	viet1252	the baby	BABY	1289		con bé	con bé 
87	24-2-31-1	7215023899777206	Vietnamese	viet1252	the husband	HUSBAND	1200		chồng	chồng 
88	24-2-32-1	7215023430058160	Vietnamese	viet1252	the wife	WIFE	1199		vợ	vợ 
89	24-2-33-1	7215023708188454	Vietnamese	viet1252	to marry	MARRY	203		cưới	cưới 
90	24-2-33-2	7215023636614641	Vietnamese	viet1252	to marry	MARRY	203		lấy (1)	lấy (1) 
91	24-2-33-3	7215023266252005	Vietnamese	viet1252	to marry	MARRY	203		gả	gả 
92	24-2-34-1	7215023919792227	Vietnamese	viet1252	the wedding	WEDDING	1259		đám cưới	đám cưới 
93	24-2-341-1	7215023638716841	Vietnamese	viet1252	the divorce	DIVORCE	1134		ly dị	ly dị 
94	24-2-35-1	7215023181813860	Vietnamese	viet1252	the father	FATHER	1217		bố	bố 
95	24-2-36-1	7215023761836967	Vietnamese	viet1252	the mother	MOTHER	1216		mẹ	mẹ 
