Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
(	NULL				
)	NULL				
1	NULL				
2	NULL				
~	NULL				
-	+				
e	e	pumen, termelinen	Selice Romani	804	U+0065
a	a	čalaven, paťan	Selice Romani	641	U+0061
n	n	ňuminen, ďúrinen	Selice Romani	581	U+006e
i	i	dilino, cipa	Selice Romani	509	U+0069
r	r	ikren, čhoren	Selice Romani	505	U+0072
o$	o	šúžo, čepo	Selice Romani	461	U+006f U+0024
n$	n	pumen, muken	Selice Romani	406	U+006e U+0024
o	o	šošoj, žugorotno	Selice Romani	345	U+006f
l	l	čalaven, világošno	Selice Romani	307	U+006c
á	á/a	világošno, báránka	Selice Romani	301	U+00e1
k	k	muken, ikren	Selice Romani	290	U+006b
a$	a	cipa, šarka	Selice Romani	282	U+0061 U+0024
t	t	uštiden, váltostatinen	Selice Romani	249	U+0074
u	u	pumen, muken	Selice Romani	212	U+0075
d	d	uštiden, ódalbordo	Selice Romani	204	U+0064
v	v	díve, čalaven	Selice Romani	198	U+0076
i$	i	čúči, kiťi	Selice Romani	195	U+0069 U+0024
š	ʃ	kašt, uštiden	Selice Romani	192	U+0161
í	í/i	díve, phíren	Selice Romani	184	U+00ed
g	g	világošno, bíróšágo	Selice Romani	179	U+0067
^k	k	kašt, kamen	Selice Romani	165	U+005e U+006b
^p	p	pumen, pijen	Selice Romani	141	U+005e U+0070
m	m	pumen, kamen	Selice Romani	132	U+006d
p	p	cipa, epaš	Selice Romani	129	U+0070
ė	ė/e	vėzėtinen, kėrpėlėcė	Selice Romani	123	U+0117
s	s	astaren, ostinen	Selice Romani	117	U+0073
^b	b	bíróšágo, but	Selice Romani	108	U+005e U+0062
^s	s	sikjon, sástro	Selice Romani	102	U+005e U+0073
ó	ó/o	zór, lóvo	Selice Romani	102	U+00f3
^m	m	muken, meňėčkė	Selice Romani	100	U+005e U+006d
^d	d	dí, díve	Selice Romani	90	U+005e U+0064
b	b	hiba, hábe	Selice Romani	88	U+0062
_	_	ciden ári, džan upre	Selice Romani	86	U+005f
j	j	pijen, hajon	Selice Romani	86	U+006a
^t	t	táto, terďon	Selice Romani	85	U+005e U+0074
ň	ň	aňóškiňa, meňėčkė	Selice Romani	84	U+0148
z	z	ėvėzó, vėzėtinen	Selice Romani	81	U+007a
é	é/e	kávéfézó, séllóva	Selice Romani	78	U+00e9
^š	ʃ	šúžo, šarka	Selice Romani	77	U+005e U+0161
^č	tʃ	čalaven, čúči	Selice Romani	77	U+005e U+010d
^v	v	világošno, vídinen	Selice Romani	77	U+005e U+0076
ó$	ó/o	čomó, ėvėzó	Selice Romani	76	U+00f3 U+0024
e$	e	díve, hábe	Selice Romani	76	U+0065 U+0024
^h	h	hiba, hajon	Selice Romani	71	U+005e U+0068
^l	l	lóvo, lošanen	Selice Romani	66	U+005e U+006c
č	tʃ	čúči, meňėčkė	Selice Romani	58	U+010d
ll	ll	fullánka, vella	Selice Romani	56	U+006c U+006c
ú	ú/u	ďúrinen, čúči	Selice Romani	56	U+00fa
^a	a	astaren, akharen	Selice Romani	55	U+005e U+0061
ž	ʒ 	džan, šúžo	Selice Romani	52	U+017e
^f	f	fullánka, fėštinen	Selice Romani	51	U+005e U+0066
^r	r	ráni, rom	Selice Romani	48	U+005e U+0072
^g	g	gódi, gój	Selice Romani	46	U+005e U+0067
