ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	9-1-1-1	75101356629862098	Selice Romani	west2376	the world	WORLD	965		világo	világo 
2	9-1-21-1	75101356356993989	Selice Romani	west2376	the land	LAND	626		phú	phú 
3	9-1-212-1	75101356356993989	Selice Romani	west2376	the soil	EARTH (SOIL)	1228		phú	phú 
4	9-1-213-1	75101356503465252	Selice Romani	west2376	the dust	DUST	2		praho	praho 
5	9-1-214-1	75101356536035680	Selice Romani	west2376	the mud	MUD	640		čik	čik 
6	9-1-215-1	75101356993183101	Selice Romani	west2376	the sand	SAND	671		póši	póši 
7	9-1-22-1	75101356569043968	Selice Romani	west2376	the mountain or hill	MOUNTAIN OR HILL	2118		heďo	heďo 
8	9-1-22-2	75101356146375003	Selice Romani	west2376	the mountain or hill	MOUNTAIN OR HILL	2118		dombo	dombo 
9	9-1-23-1	75101356722146893	Selice Romani	west2376	the plain	PLAIN	652		igeňeššígo	igeňeššígo 
10	9-1-25-1	75101356349380029	Selice Romani	west2376	the island	ISLAND	622		sigeto	sigeto 
11	9-1-27-1	75101356291149270	Selice Romani	west2376	the shore	SHORE	113		parto	parto 
12	9-1-28-1	75101356251980757	Selice Romani	west2376	the cave	CAVE	1155		barlango	barlango 
13	9-1-31-1	75101356910209862	Selice Romani	west2376	the water	WATER	948		páňi	páňi 
14	9-1-32-1	75101356934632213	Selice Romani	west2376	the sea	SEA	1474		tengeri	tengeri 
15	9-1-322-1	75101356313231957	Selice Romani	west2376	calm	CALM	258		ňugotno	ňugotno 
16	9-1-323-1	75101356699524852	Selice Romani	west2376	rough(2)	ROUGH (OF SEA)	259		zavarošno	zavarošno 
17	9-1-324-1	75101356164091190	Selice Romani	west2376	the foam	FOAM	1768		habo	habo 
18	9-1-341-1	75101356468659394	Selice Romani	west2376	the lagoon	LAGOON	623		lagúna	lagúna 
19	9-1-35-1	75101356101491467	Selice Romani	west2376	the wave	WAVE	978		hullámo	hullámo 
20	9-1-36-1	75101356910209862	Selice Romani	west2376	the river or stream	RIVER	666		páňi	páňi 
21	9-1-36-2	75101356989935917	Selice Romani	west2376	the river or stream	RIVER	666		fojó	fojó 
22	9-1-36-3	75101356929393430	Selice Romani	west2376	the river or stream	RIVER	666		patako	patako 
23	9-1-362-1	75101356697535414	Selice Romani	west2376	the whirlpool	WHIRLPOOL	1982		forgó (1)	forgó (1) 
24	9-1-37-1	75101356627092378	Selice Romani	west2376	the spring or well	SPRING OR WELL	2144		haňig	haňig 
25	9-1-37-2	75101356148544427	Selice Romani	west2376	the spring or well	SPRING OR WELL	2144		féhaňig	féhaňig 
26	9-1-38-1	75101356268168034	Selice Romani	west2376	the swamp	SWAMP	1145		močára	močára 
27	9-1-39-1	75101356541647605	Selice Romani	west2376	the waterfall	WATERFALL	943		ešíši	ešíši 
28	9-1-41-1	75101356919060238	Selice Romani	west2376	the woods or forest	FOREST	420		véš	véš 
29	9-1-43-1	75101356499589042	Selice Romani	west2376	the wood	WOOD	1803		kašt	kašt 
30	9-1-44-1	75101356181330603	Selice Romani	west2376	the stone or rock	STONE OR ROCK	2125		bár (1)	bár (1) 
31	9-1-44-2	75101356511919004	Selice Romani	west2376	the stone or rock	STONE OR ROCK	2125		kėvėčo	kėvėčo 
32	9-1-45-1	75101356332836431	Selice Romani	west2376	the earthquake	EARTHQUAKE	6		feldrengíši	feldrengíši 
33	9-1-51-1	75101356118277078	Selice Romani	west2376	the sky	SKY	1732		nebo	nebo 
34	9-1-52-1	75101356510788358	Selice Romani	west2376	the sun	SUN	1343		kham	kham 
35	9-1-53-1	75101356776366196	Selice Romani	west2376	the moon	MOON	1313		čhon	čhon 
36	9-1-53-2	75101356180181074	Selice Romani	west2376	the moon	MOON	1313		hódačka	hódačka 
37	9-1-54-1	75101356122617146	Selice Romani	west2376	the star	STAR	1430		čillaga	čillaga 
38	9-1-55-1	75101356926263721	Selice Romani	west2376	the lightning	LIGHTNING	1654		villámo	villámo 
