ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	40-1-1-1	7221330855827254	Wichí	wich1264	the world	WORLD	965		hunhat	hunhat 
2	40-1-21-1	7221330855827254	Wichí	wich1264	the land	LAND	626		hunhat	hunhat 
3	40-1-212-1	7221330855827254	Wichí	wich1264	the soil	EARTH (SOIL)	1228		hunhat	hunhat 
4	40-1-213-1	7221330472630591	Wichí	wich1264	the dust	DUST	2		hulu	hulu 
5	40-1-213-2	7221330351327236	Wichí	wich1264	the dust	DUST	2		lamukw	lamukw 
6	40-1-214-1	722133065574805	Wichí	wich1264	the mud	MUD	640		iyhot	iyhot 
7	40-1-215-1	722133071393456	Wichí	wich1264	the sand	SAND	671		alena	alena 
8	40-1-22-1	7221330424496977	Wichí	wich1264	the mountain or hill	MOUNTAIN OR HILL	2118		tachenaj	tachenaj 
9	40-1-222-1	7221330259865215	Wichí	wich1264	the cliff or precipice	PRECIPICE	618		tewuk katchenaj	tewuk katchenaj 
10	40-1-23-1	7221330250465747	Wichí	wich1264	the plain	PLAIN	652		alhu	alhu 
11	40-1-24-1	7221330521658793	Wichí	wich1264	the valley	VALLEY	921		lakawayhi	lakawayhi 
12	40-1-25-1	7221330885090716	Wichí	wich1264	the island	ISLAND	622		lhiletaj	lhiletaj 
13	40-1-27-1	7221330426441944	Wichí	wich1264	the shore	SHORE	113		tewuk lhip	tewuk lhip 
14	40-1-28-1	7221330106128595	Wichí	wich1264	the cave	CAVE	1155		chuwej	chuwej 
15	40-1-31-1	722133052671670	Wichí	wich1264	the water	WATER	948		inot	inot 
16	40-1-32-1	7221330974871307	Wichí	wich1264	the sea	SEA	1474		inot litak	inot litak 
17	40-1-322-1	7221330788448125	Wichí	wich1264	calm	CALM	258		iwutamsecha	iwutamsecha 
18	40-1-323-1	7221330986766092	Wichí	wich1264	rough(2)	ROUGH (OF SEA)	259		nilhek’alhi	nilhek’alhi 
19	40-1-324-1	7221330372909737	Wichí	wich1264	the foam	FOAM	1768		lakuj	lakuj 
20	40-1-329-1	7221330974871307	Wichí	wich1264	the ocean	OCEAN	645		inot litak	inot litak 
21	40-1-33-1	7221330309482648	Wichí	wich1264	the lake	LAKE	624		lawumek	lawumek 
22	40-1-33-2	7221330959902584	Wichí	wich1264	the lake	LAKE	624		lhemchitaj	lhemchitaj 
23	40-1-341-1	7221330309482648	Wichí	wich1264	the lagoon	LAGOON	623		lawumek	lawumek 
24	40-1-35-1	7221330910617130	Wichí	wich1264	the wave	WAVE	978		komoktaj	komoktaj 
25	40-1-36-1	7221330872657244	Wichí	wich1264	the river or stream	RIVER	666		tewuk	tewuk 
26	40-1-362-1	722133023730750	Wichí	wich1264	the whirlpool	WHIRLPOOL	1982		lalenchitaj	lalenchitaj 
27	40-1-38-1	7221330438552928	Wichí	wich1264	the swamp	SWAMP	1145		inotw’et	inotw’et 
28	40-1-39-1	722133083878829	Wichí	wich1264	the waterfall	WATERFALL	943		inot n’oyij	inot n’oyij 
