ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	19-1-1-1	71312352264579269	Sakha	yaku1245	the world	WORLD	965		aːn doydu	aːn doydu 
2	19-1-21-1	71312353241788241	Sakha	yaku1245	the land	LAND	626		sir	sir 
3	19-1-212-1	71312352328860609	Sakha	yaku1245	the soil	EARTH (SOIL)	1228		buor	buor 
4	19-1-213-1	713123526465803	Sakha	yaku1245	the dust	DUST	2		bɨːl	bɨːl 
5	19-1-213-2	71312352328860609	Sakha	yaku1245	the dust	DUST	2		buor	buor 
6	19-1-214-1	7131235299858927	Sakha	yaku1245	the mud	MUD	640		badaraːn	badaraːn 
7	19-1-214-2	71312352929029130	Sakha	yaku1245	the mud	MUD	640		bɨrɨː	bɨrɨː 
8	19-1-215-1	71312352820054462	Sakha	yaku1245	the sand	SAND	671		kumaχ	kumaχ 
9	19-1-22-1	71312352714284158	Sakha	yaku1245	the mountain or hill	MOUNTAIN OR HILL	2118		χaya	χaya 
10	19-1-22-2	71312352933354702	Sakha	yaku1245	the mountain or hill	MOUNTAIN OR HILL	2118		mɨraːn	mɨraːn 
11	19-1-22-3	71312352223714614	Sakha	yaku1245	the mountain or hill	MOUNTAIN OR HILL	2118		sɨːr (1)	sɨːr (1) 
12	19-1-222-1	71312352714284158	Sakha	yaku1245	the cliff or precipice	PRECIPICE	618		χaya	χaya 
13	19-1-222-2	71312352223714614	Sakha	yaku1245	the cliff or precipice	PRECIPICE	618		sɨːr (1)	sɨːr (1) 
14	19-1-23-1	7131235268157009	Sakha	yaku1245	the plain	PLAIN	652		χonuː	χonuː 
15	19-1-23-2	71312352156316276	Sakha	yaku1245	the plain	PLAIN	652		sɨhɨː	sɨhɨː 
16	19-1-24-1	71312352624266777	Sakha	yaku1245	the valley	VALLEY	921		χočo	χočo 
17	19-1-25-1	71312352686839910	Sakha	yaku1245	the island	ISLAND	622		arɨː (1)	arɨː (1) 
18	19-1-27-1	7131235370894625	Sakha	yaku1245	the shore	SHORE	113		kɨtɨː	kɨtɨː 
19	19-1-27-2	71312352773253472	Sakha	yaku1245	the shore	SHORE	113		kɨtɨl	kɨtɨl 
20	19-1-28-1	71312352747319878	Sakha	yaku1245	the cave	CAVE	1155		χaya χaspaɣa	χaya χaspaɣa 
21	19-1-31-1	71312352804219754	Sakha	yaku1245	the water	WATER	948		uː	uː 
22	19-1-32-1	71312352476610059	Sakha	yaku1245	the sea	SEA	1474		muora	muora 
23	19-1-32-2	71312352390780058	Sakha	yaku1245	the sea	SEA	1474		bayɣal	bayɣal 
24	19-1-324-1	7131235232549620	Sakha	yaku1245	the foam	FOAM	1768		küːgen	küːgen 
25	19-1-329-1	71312352835739134	Sakha	yaku1245	the ocean	OCEAN	645		akɨyaːn	akɨyaːn 
26	19-1-33-1	71312352732105933	Sakha	yaku1245	the lake	LAKE	624		küöl	küöl 
27	19-1-34-1	71312352867920972	Sakha	yaku1245	the bay	BAY	663		χomo	χomo 
28	19-1-343-1	71312352325971092	Sakha	yaku1245	the cape	CAPE	1662		tumus	tumus 
29	19-1-35-1	71312352886535641	Sakha	yaku1245	the wave	WAVE	978		dolgun	dolgun 
30	19-1-36-1	71312352399097886	Sakha	yaku1245	the river or stream	RIVER	666		örüs	örüs 
31	19-1-36-2	71312352510476514	Sakha	yaku1245	the river or stream	RIVER	666		üreχ	üreχ 
32	19-1-362-1	7131235264288037	Sakha	yaku1245	the whirlpool	WHIRLPOOL	1982		burulɣan	burulɣan 
33	19-1-37-1	71312352193659239	Sakha	yaku1245	the spring or well	SPRING OR WELL	2144		ʤüːkte	ʤüːkte 
34	19-1-37-2	713123524671262	Sakha	yaku1245	the spring or well	SPRING OR WELL	2144		χoluoʤas	χoluoʤas 
35	19-1-38-1	71312352474066709	Sakha	yaku1245	the swamp	SWAMP	1145		kuta	kuta 
36	19-1-38-2	71312352775808796	Sakha	yaku1245	the swamp	SWAMP	1145		ʤebere, ʤabara	ʤebere 
37	19-1-38-3	71312352775808796	Sakha	yaku1245	the swamp	SWAMP	1145		ʤebere, ʤabara	ʤabara 
38	19-1-39-1	71312352524479529	Sakha	yaku1245	the waterfall	WATERFALL	943		kürülgen	kürülgen 
39	19-1-41-1	71312352222331951	Sakha	yaku1245	the woods or forest	FOREST	420		oyuːr	oyuːr 
40	19-1-41-2	71312352123878113	Sakha	yaku1245	the woods or forest	FOREST	420		tɨa	tɨa 
41	19-1-43-1	71312353282549239	Sakha	yaku1245	the wood	WOOD	1803		mas	mas 
42	19-1-44-1	71312352457154963	Sakha	yaku1245	the stone or rock	STONE OR ROCK	2125		taːs (1)	taːs (1) 
43	19-1-45-1	71312352577317906	Sakha	yaku1245	the earthquake	EARTHQUAKE	6		sir χamsaːhɨna	sir χamsaːhɨna 
