Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	jakara, bepa’aria	Yaqui	1003	U+0061
i	i	na’ikimte, kuchichi’iti nooka	Yaqui	670	U+0069
a$	a	jakara, beea	Yaqui	601	U+0061 U+0024
o	o	mo’one, ko’okoe	Yaqui	597	U+006f
e	e	mambebeme’eku, rebei	Yaqui	469	U+0065
u	u	su’utoja, usi ju’ubwa yo’otume	Yaqui	447	U+0075
t	t	chitabetalai, na’ikimte	Yaqui	411	U+0074
k	k	jakara, ako	Yaqui	370	U+006b
’	<?>	ji’ika, na’ikimte	Yaqui	362	U+2019
m	m	wojmamni ama mamni, na’ikimte	Yaqui	278	U+006d
r	r	jakara, konrenaroa	Yaqui	266	U+0072
e$	e	na’ikimte, jippue	Yaqui	250	U+0065 U+0024
n	n	konrenaroa, nana’ana	Yaqui	237	U+006e
_	_	kaa a mabeta, usi ju’ubwa yo’otume	Yaqui	213	U+005f
i$	i	kopalai, jiapsi	Yaqui	207	U+0069 U+0024
^k	k	kopalai, kusia	Yaqui	195	U+005e U+006b
^j	j	jakara, jita	Yaqui	186	U+005e U+006a
j	j	bajut, su’utoja	Yaqui	183	U+006a
s	s	bwise, wikosa	Yaqui	176	U+0073
b	b	inie betchi’ibo, jabire	Yaqui	175	U+0062
m$	m	nakam, masam	Yaqui	175	U+006d U+0024
^t	t	tejwa, tomi	Yaqui	162	U+005e U+0074
^b	b	beea, bepa’aria	Yaqui	162	U+005e U+0062
o$	o	ako, aapo	Yaqui	161	U+006f U+0024
l	l	kopalai, saila	Yaqui	160	U+006c
aa	aa	bwaana, waakas	Yaqui	137	U+0061 U+0061
p	p	bepa’aria, kopalai	Yaqui	137	U+0070
ch	ch	kuchichi’iti nooka, eecha	Yaqui	126	U+0063 U+0068
w	w	naawa, teuwa	Yaqui	110	U+0077
^s	s	su’utoja, sai	Yaqui	107	U+005e U+0073
^m	m	mo’one, meecha	Yaqui	95	U+005e U+006d
^p	p	puepplo, pajti	Yaqui	86	U+005e U+0070
^w	w	wikosa, waakas	Yaqui	81	U+005e U+0077
ee	ee	beea, meecha	Yaqui	72	U+0065 U+0065
oo	oo	jooa, joona	Yaqui	70	U+006f U+006f
y	y	juya, taya	Yaqui	69	U+0079
^n	n	na’ikimte, nautoja	Yaqui	63	U+005e U+006e
^a	a	ako, apa	Yaqui	62	U+005e U+0061
^y	y	yoemia, yo’o	Yaqui	57	U+005e U+0079
u$	u	o’ou, ja’amu	Yaqui	56	U+0075 U+0024
ii	ii	wii’i, biika	Yaqui	55	U+0069 U+0069
^ch	ch	chukta, chi’ila	Yaqui	55	U+005e U+0063 U+0068
^bw	bw	bwaana, bwa’ame	Yaqui	48	U+005e U+0062 U+0077
^e	e	ete, emo eiya	Yaqui	41	U+005e U+0065
^l	l	lu’utek, lionoka	Yaqui	38	U+005e U+006c
uu	uu	kuuna, juube	Yaqui	38	U+0075 U+0075
^r	r	rajtiom, ramaa	Yaqui	33	U+005e U+0072
^o	o	o’ou, oko	Yaqui	32	U+005e U+006f
^i	i	itepo, inie betchi’ibo	Yaqui	26	U+005e U+0069
tt	tt	totta, bittua	Yaqui	26	U+0074 U+0074
s$	s	waakas, seis	Yaqui	24	U+0073 U+0024
bw	bw	usi ju’ubwa yo’otume, ase’ebwa	Yaqui	23	U+0062 U+0077
