ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
1	32-1-1-1	722142907651632	Yaqui	yaqu1251	the world	WORLD	965		ania (1)	ania (1) 
2	32-1-21-1	722142811917597	Yaqui	yaqu1251	the land	LAND	626		bwia	bwia 
3	32-1-212-1	722142811917597	Yaqui	yaqu1251	the soil	EARTH (SOIL)	1228		bwia	bwia 
4	32-1-213-1	722142729938530	Yaqui	yaqu1251	the dust	DUST	2		toochia	toochia 
5	32-1-214-1	72214256683231	Yaqui	yaqu1251	the mud	MUD	640		techoa	techoa 
6	32-1-215-1	722142267781974	Yaqui	yaqu1251	the sand	SAND	671		see’e	see’e 
7	32-1-22-1	722142816500891	Yaqui	yaqu1251	the mountain or hill	MOUNTAIN OR HILL	2118		kawi	kawi 
8	32-1-222-1	722142140612219	Yaqui	yaqu1251	the cliff or precipice	PRECIPICE	618		siiba	siiba 
9	32-1-23-1	722142987308351	Yaqui	yaqu1251	the plain	PLAIN	652		pa’aria	pa’aria 
10	32-1-24-1	722142844696202	Yaqui	yaqu1251	the valley	VALLEY	921		pa’ala bwia	pa’ala bwia 
11	32-1-25-1	722142973112212	Yaqui	yaqu1251	the island	ISLAND	622		chopo’oria	chopo’oria 
12	32-1-26-1	722142861120300	Yaqui	yaqu1251	the mainland	MAINLAND	166		kontinente	kontinente 
13	32-1-27-1	722142937519637	Yaqui	yaqu1251	the shore	SHORE	113		bawe mayoa	bawe mayoa 
14	32-1-28-1	722142765367540	Yaqui	yaqu1251	the cave	CAVE	1155		teeso	teeso 
15	32-1-31-1	722142965453420	Yaqui	yaqu1251	the water	WATER	948		ba’am	ba’am 
16	32-1-32-1	722142248235934	Yaqui	yaqu1251	the sea	SEA	1474		baawe	baawe 
17	32-1-322-1	722142876717286	Yaqui	yaqu1251	calm	CALM	258		kopalai	kopalai 
18	32-1-323-1	722142353036896	Yaqui	yaqu1251	rough(2)	ROUGH (OF SEA)	259		ba’amojakte	ba’amojakte 
19	32-1-324-1	722142545488411	Yaqui	yaqu1251	the foam	FOAM	1768		somo’ichia	somo’ichia 
20	32-1-329-1	722142549538250	Yaqui	yaqu1251	the ocean	OCEAN	645		bwe’u baawe	bwe’u baawe 
21	32-1-33-1	722142729649670	Yaqui	yaqu1251	the lake	LAKE	624		bauba’a	bauba’a 
22	32-1-34-1	722142923974272	Yaqui	yaqu1251	the bay	BAY	663		wolpo	wolpo 
23	32-1-341-1	722142729649670	Yaqui	yaqu1251	the lagoon	LAGOON	623		bauba’a	bauba’a 
24	32-1-342-1	722142366917726	Yaqui	yaqu1251	the reef	REEF	660		tetmajau	tetmajau 
25	32-1-343-1	722142717691518	Yaqui	yaqu1251	the cape	CAPE	1662		punta	punta 
26	32-1-35-1	722142483215756	Yaqui	yaqu1251	the wave	WAVE	978		bawero’aktim	bawero’aktim 
27	32-1-352-1	722142483215756	Yaqui	yaqu1251	the tide	TIDE	891		bawero’aktim	bawero’aktim 
28	32-1-353-1	722142820775942	Yaqui	yaqu1251	the low tide	LOW TIDE	1026		sumia	sumia 
29	32-1-354-1	722142234059	Yaqui	yaqu1251	the high tide	HIGH TIDE	613		bawe jikat bo’oka	bawe jikat bo’oka 
30	32-1-36-1	722142592688714	Yaqui	yaqu1251	the river or stream	RIVER	666		batwe	batwe 
31	32-1-36-2	72214272343063	Yaqui	yaqu1251	the river or stream	RIVER	666		jakia	jakia 
32	32-1-362-1	722142205856227	Yaqui	yaqu1251	the whirlpool	WHIRLPOOL	1982		ba’a emo kuria	ba’a emo kuria 
33	32-1-362-2	72214253794840	Yaqui	yaqu1251	the whirlpool	WHIRLPOOL	1982		baikuria	baikuria 
34	32-1-37-1	722142595554764	Yaqui	yaqu1251	the spring or well	SPRING OR WELL	2144		sene’eka	sene’eka 
35	32-1-37-2	7221428099251	Yaqui	yaqu1251	the spring or well	SPRING OR WELL	2144		pooso	pooso 
36	32-1-38-1	722142497770271	Yaqui	yaqu1251	the swamp	SWAMP	1145		ba’ajeelo	ba’ajeelo 
37	32-1-39-1	722142268465187	Yaqui	yaqu1251	the waterfall	WATERFALL	943		ba’akomwechia	ba’akomwechia 
38	32-1-41-1	722142681832223	Yaqui	yaqu1251	the woods or forest	FOREST	420		juya	juya 
39	32-1-43-1	722142879333377	Yaqui	yaqu1251	the wood	WOOD	1803		kuta	kuta 
40	32-1-44-1	722142179299485	Yaqui	yaqu1251	the stone or rock	STONE OR ROCK	2125		teta	teta 
41	32-1-45-1	722142571067101	Yaqui	yaqu1251	the earthquake	EARTHQUAKE	6		bwia emo yoa	bwia emo yoa 
42	32-1-51-1	722142929786894	Yaqui	yaqu1251	the sky	SKY	1732		teeka	teeka 
43	32-1-52-1	722142139668060	Yaqui	yaqu1251	the sun	SUN	1343		taa’a	taa’a 
44	32-1-53-1	722142763652435	Yaqui	yaqu1251	the moon	MOON	1313		meecha	meecha 
45	32-1-54-1	722142637644978	Yaqui	yaqu1251	the star	STAR	1430		choki	choki 
46	32-1-55-1	722142373547526	Yaqui	yaqu1251	the lightning	LIGHTNING	1654		yuku be’oktia	yuku be’oktia 
47	32-1-56-1	722142223222138	Yaqui	yaqu1251	the thunder	THUNDER	1150		yuku jimaari	yuku jimaari 
48	32-1-57-1	722142223222138	Yaqui	yaqu1251	the bolt of lightning	BOLT (OF LIGHTNING)	2007		yuku jimaari	yuku jimaari 
49	32-1-58-1	722142127909868	Yaqui	yaqu1251	the storm	STORM	858		yuku jeka	yuku jeka 
50	32-1-59-1	722142109378201	Yaqui	yaqu1251	the rainbow	RAINBOW	1733		kurues	kurues 
51	32-1-61-1	722142264366163	Yaqui	yaqu1251	the light	LIGHT (RADIATION)	630		tachiria	tachiria 
52	32-1-62-1	722142603996357	Yaqui	yaqu1251	the darkness	DARKNESS	11		kutwaate	kutwaate 
53	32-1-63-1	7221424878986	Yaqui	yaqu1251	the shade or shadow	SHADE	1388		jekka	jekka 
54	32-1-64-1	722142383464587	Yaqui	yaqu1251	the dew	DEW	1977		siijo’ote	siijo’ote 
55	32-1-71-1	722142375349724	Yaqui	yaqu1251	the air	AIR	27		jeeka	jeeka 
56	32-1-72-1	722142375349724	Yaqui	yaqu1251	the wind	WIND	960		jeeka	jeeka 
57	32-1-73-1	722142787368092	Yaqui	yaqu1251	the cloud	CLOUD	1489		naamu	naamu 
58	32-1-74-1	72214255659456	Yaqui	yaqu1251	the fog	FOG	249		bajewa	bajewa 
59	32-1-75-1	722142815436052	Yaqui	yaqu1251	the rain	RAIN (PRECIPITATION)	658		yuku	yuku 
60	32-1-76-1	722142895784035	Yaqui	yaqu1251	the snow	SNOW	784		sapam	sapam 
61	32-1-77-1	722142895784035	Yaqui	yaqu1251	the ice	ICE	617		sapam	sapam 
62	32-1-78-1	722142450224086	Yaqui	yaqu1251	the weather	WEATHER	952		tiempo	tiempo 
63	32-1-81-1	722142275186737	Yaqui	yaqu1251	the fire	FIRE	221		taji	taji 
64	32-1-82-1	72214242486239	Yaqui	yaqu1251	the flame	FLAME	889		buaktia	buaktia 
65	32-1-83-1	722142197996603	Yaqui	yaqu1251	the smoke	SMOKE (EXHAUST)	778		bwichia	bwichia 
66	32-1-84-1	722142653953028	Yaqui	yaqu1251	the ash	ASH	646		naposa	naposa 
67	32-1-841-1	722142643859878	Yaqui	yaqu1251	the embers	EMBERS	67		oubam	oubam 
68	32-1-851-1	722142326419523	Yaqui	yaqu1251	to burn(1)	BURN (SOMETHING)	141		taya	taya 
69	32-1-852-1	722142651338027	Yaqui	yaqu1251	to burn(2)	BURNING	1428		beete	beete 
70	32-1-86-1	722142326419523	Yaqui	yaqu1251	to light	LIGHT (IGNITE)	737		taya	taya 
71	32-1-861-1	722142308490143	Yaqui	yaqu1251	to extinguish	EXTINGUISH	127		tuucha	tuucha 
72	32-1-87-1	722142491125335	Yaqui	yaqu1251	the match	MATCH	1133		seriom	seriom 
73	32-1-87-2	722142304351028	Yaqui	yaqu1251	the match	MATCH	1133		pojporo	pojporo 
74	32-1-88-1	722142660125476	Yaqui	yaqu1251	the firewood	FIREWOOD	10		kutam	kutam 
75	32-1-89-1	722142145552010	Yaqui	yaqu1251	the charcoal	CHARCOAL	1188		maatum	maatum 
76	32-2-1-1	722142326846741	Yaqui	yaqu1251	the person	PERSON	683		bato’i	bato’i 
77	32-2-21-1	722142477464075	Yaqui	yaqu1251	the man	MAN	1554		o’ou	o’ou 
78	32-2-22-1	722142220182564	Yaqui	yaqu1251	the woman	WOMAN	962		jamut	jamut 
79	32-2-23-1	722142477464075	Yaqui	yaqu1251	male(1)	MALE (OF ANIMAL)	2263		o’ou	o’ou 
80	32-2-24-1	722142220182564	Yaqui	yaqu1251	female(1)	FEMALE (OF PERSON)	2260		jamut	jamut 
81	32-2-25-1	72214286772620	Yaqui	yaqu1251	the boy	BOY	1366		usi ju’ubwa yo’otume	usi ju’ubwa yo’otume 
